id_escola,codigo_inep,nome_canonico,assessora_gerencial_2026,ano_escolar,componente,previstos_2026,avaliados_2026,taxa_participacao_2026,proficiencia_media_2026,pct_defasagem_2026,pct_intermediario_2026,pct_adequado_2026,posicao_relativa_menor_proficiencia_2026,posicao_relativa_maior_defasagem_2026,posicao_relativa_menor_participacao_2026,painel_resultado_balanceado,delta_participacao,delta_proficiencia,variacao_relativa_previstos,aumento_participacao_10pp,queda_participacao_10pp,mudanca_previstos_20pct,alerta_composicao_serie,uso_no_indice_carga_operacional,peso_no_indice_carga_operacional,natureza
ESC_002,43105505,EMEB DR LIBERATO SALZANO VIEIRA DA CUNHA,clarissa,1,Língua Portuguesa,75,57,76,39.49122807017544,48.80701754385965,24.31578947368421,27.05263157894737,30.769230769230774,44.23076923076923,84.61538461538461,TRUE,-7.333333333333329,0.9578947368421068,-16.666666666666668,FALSE,FALSE,FALSE,FALSE,FALSE,0,"diagnóstico educacional paralelo, não causal; base para camada gerencial posterior"
ESC_002,43105505,EMEB DR LIBERATO SALZANO VIEIRA DA CUNHA,clarissa,2,Língua Portuguesa,81,74,91.35802469135804,38.08108108108108,47,36.98648648648648,16.243243243243242,90.38461538461539,84.61538461538461,21.15384615384616,TRUE,12.94893378226712,-27.629063846455153,-7.954545454545454,TRUE,FALSE,FALSE,TRUE,FALSE,0,"diagnóstico educacional paralelo, não causal; base para camada gerencial posterior"
ESC_002,43105505,EMEB DR LIBERATO SALZANO VIEIRA DA CUNHA,clarissa,3,Língua Portuguesa,98,82,83.6734693877551,43.74390243902439,36.48780487804878,34.28048780487805,28.914634146341463,71.15384615384616,61.53846153846154,55.76923076923077,TRUE,4.292026088786031,-9.372980677858727,1.0309278350515465,FALSE,FALSE,FALSE,FALSE,FALSE,0,"diagnóstico educacional paralelo, não causal; base para camada gerencial posterior"
ESC_002,43105505,EMEB DR LIBERATO SALZANO VIEIRA DA CUNHA,clarissa,4,Língua Portuguesa,92,81,88.04347826086956,57.44444444444444,31.061728395061728,22.506172839506178,46.13580246913581,40.38461538461539,51.92307692307692,57.69230769230769,TRUE,7.23539745278876,0.8569444444444443,-7.070707070707071,FALSE,FALSE,FALSE,FALSE,FALSE,0,"diagnóstico educacional paralelo, não causal; base para camada gerencial posterior"
ESC_002,43105505,EMEB DR LIBERATO SALZANO VIEIRA DA CUNHA,clarissa,5,Língua Portuguesa,99,90,90.9090909090909,60.71111111111111,27.38888888888889,23.755555555555556,49.08888888888889,53.84615384615385,73.07692307692308,41.34615384615385,TRUE,15.299334811529931,-3.5953405017921227,20.73170731707317,TRUE,FALSE,TRUE,TRUE,FALSE,0,"diagnóstico educacional paralelo, não causal; base para camada gerencial posterior"
ESC_003,43105440,EMEF AFONSO GUERREIRO LIMA,graziela,1,Língua Portuguesa,94,77,81.91489361702128,14.48051948051948,81.6103896103896,14.155844155844155,4.48051948051948,84.61538461538461,86.53846153846153,51.92307692307692,TRUE,8.351675226216685,-38.45698051948052,8.045977011494253,FALSE,FALSE,FALSE,FALSE,FALSE,0,"diagnóstico educacional paralelo, não causal; base para camada gerencial posterior"
ESC_003,43105440,EMEF AFONSO GUERREIRO LIMA,graziela,2,Língua Portuguesa,81,73,90.12345679012346,47.83561643835616,39.917808219178085,27,33.082191780821915,61.53846153846154,63.46153846153846,32.69230769230769,TRUE,13.834796996309024,-22.313032210292484,-16.49484536082474,TRUE,FALSE,FALSE,TRUE,FALSE,0,"diagnóstico educacional paralelo, não causal; base para camada gerencial posterior"
ESC_003,43105440,EMEF AFONSO GUERREIRO LIMA,graziela,3,Língua Portuguesa,120,94,78.33333333333333,56.702127659574465,23.48936170212766,31.606382978723403,44.712765957446805,25,25,84.61538461538461,TRUE,-1.8319559228650208,3.4134678657600332,-0.8264462809917356,FALSE,FALSE,FALSE,FALSE,FALSE,0,"diagnóstico educacional paralelo, não causal; base para camada gerencial posterior"
ESC_003,43105440,EMEF AFONSO GUERREIRO LIMA,graziela,4,Língua Portuguesa,108,94,87.03703703703704,62.07446808510638,22.79787234042553,28.872340425531913,48.53191489361702,30.769230769230774,30.76923076923077,65.38461538461539,TRUE,3.830930166808031,-6.099843841499116,-17.557251908396946,FALSE,FALSE,FALSE,FALSE,FALSE,0,"diagnóstico educacional paralelo, não causal; base para camada gerencial posterior"
ESC_003,43105440,EMEF AFONSO GUERREIRO LIMA,graziela,5,Língua Portuguesa,117,105,89.74358974358974,66.44761904761904,15.904761904761903,33.63809523809524,50.00952380952381,28.84615384615384,36.53846153846154,50,TRUE,4.558404558404547,6.346169772256722,44.44444444444444,FALSE,FALSE,TRUE,TRUE,FALSE,0,"diagnóstico educacional paralelo, não causal; base para camada gerencial posterior"
