cenario,descricao_cenario,assessora_gerencial,tipo_carteira,carteira_nominal,numero_escolas,carga_potencial_total_cenario,indice_medio_cenario,indice_mediano_cenario,carga_total_rede_cenario,participacao_carga_rede_cenario_pct,ordem_carga_total_todas_categorias,ordem_carga_total_carteiras_nominais,percentil_carga_total_cenario_carteiras_nominais,faixa_carga_total_cenario_carteiras_nominais,carga_total_equilibrado,ordem_equilibrado_nominais,faixa_equilibrado_nominais,diferenca_carga_total_para_equilibrado,mudanca_ordem_nominais_para_equilibrado,mudou_faixa_carga_total_carteira
operacional,Maior ênfase no volume e na estrutura operacional.,eliane,Carteira nominal,TRUE,5,215.4521043771044,43.090420875420875,41.876178451178454,2458.347980813667,8.76410117927218,5,5,60,Faixa 3 — intermediária superior entre carteiras nominais,191.5909090909091,7,Faixa 2 — intermediária inferior entre carteiras nominais,23.86119528619531,-2,TRUE
operacional,Maior ênfase no volume e na estrutura operacional.,nathalia,Carteira nominal,TRUE,6,211.7071548821549,35.28452581369248,36.046001683501686,2458.347980813667,8.611765158327334,6,6,50,Faixa 2 — intermediária inferior entre carteiras nominais,192.59806397306397,6,Faixa 2 — intermediária inferior entre carteiras nominais,19.109090909090924,0,FALSE
operacional,Maior ênfase no volume e na estrutura operacional.,julia,Carteira nominal,TRUE,5,205.27247474747475,41.05449494949495,32.23888888888889,2458.347980813667,8.350017017506747,7,7,40,Faixa 2 — intermediária inferior entre carteiras nominais,199.34490740740742,4,Faixa 3 — intermediária superior entre carteiras nominais,5.927567340067327,3,TRUE
operacional,Maior ênfase no volume e na estrutura operacional.,priscila,Carteira nominal,TRUE,4,190.30563037785262,47.576407594463156,45.221759259259265,2458.347980813667,7.741199857103428,8,8,30,Faixa 2 — intermediária inferior entre carteiras nominais,180.5602787130565,8,Faixa 2 — intermediária inferior entre carteiras nominais,9.745351664796118,0,FALSE
operacional,Maior ênfase no volume e na estrutura operacional.,graziela,Carteira nominal,TRUE,4,188.86717171717174,47.216792929292936,47.05572390572391,2458.347980813667,7.682686633104733,9,9,20,Faixa 1 — menor carga relativa entre carteiras nominais,165.674031986532,9,Faixa 1 — menor carga relativa entre carteiras nominais,23.193139730639757,0,FALSE
operacional,Maior ênfase no volume e na estrutura operacional.,marian,Carteira nominal,TRUE,4,169.80193602693603,42.45048400673401,43.375042087542084,2458.347980813667,6.907156242816965,10,10,10,Faixa 1 — menor carga relativa entre carteiras nominais,148.13152356902356,11,Faixa 1 — menor carga relativa entre carteiras nominais,21.670412457912477,-1,FALSE
operacional,Maior ênfase no volume e na estrutura operacional.,ruti,Carteira nominal,TRUE,4,169.036531986532,42.259132996633,38.51376262626263,2458.347980813667,6.876021348718258,11,11,0,Faixa 1 — menor carga relativa entre carteiras nominais,154.95854377104376,10,Faixa 1 — menor carga relativa entre carteiras nominais,14.077988215488233,1,FALSE
operacional,Maior ênfase no volume e na estrutura operacional.,Sem vinculação informada,Sem vinculação informada,FALSE,1,38.92480460715755,38.92480460715755,38.92480460715755,2458.347980813667,1.5833724481216107,13,,,,47.10180995475113,,,-8.177005347593585,,
desafio_educacional,Maior ênfase no desafio educacional observado.,outras,Agrupamento residual,FALSE,2,77.69772727272728,38.84886363636364,38.84886363636364,2474.551905683278,3.1398705799736795,12,,,,77.1925505050505,,,0.5051767676767724,,
desafio_educacional,Maior ênfase no desafio educacional observado.,jalize,Carteira nominal,TRUE,5,258.53458660680883,51.70691732136177,54.407323232323236,2474.551905683278,10.447733426526035,1,1,100,Faixa 4 — maior carga relativa entre carteiras nominais,233.41650299289188,1,Faixa 4 — maior carga relativa entre carteiras nominais,25.11808361391695,0,FALSE
desafio_educacional,Maior ênfase no desafio educacional observado.,clarissa,Carteira nominal,TRUE,6,248.78367003367003,41.46394500561168,40.184132996633,2474.551905683278,10.053685657685785,2,2,90,Faixa 4 — maior carga relativa entre carteiras nominais,230.7685185185185,2,Faixa 4 — maior carga relativa entre carteiras nominais,18.01515151515153,0,FALSE
desafio_educacional,Maior ênfase no desafio educacional observado.,andreia,Carteira nominal,TRUE,5,234.98400673400673,46.99680134680135,54.444612794612794,2474.551905683278,9.496022540255524,3,3,80,Faixa 4 — maior carga relativa entre carteiras nominais,214.14856902356902,3,Faixa 4 — maior carga relativa entre carteiras nominais,20.835437710437702,0,FALSE
desafio_educacional,Maior ênfase no desafio educacional observado.,nathalia,Carteira nominal,TRUE,6,226.47281144781147,37.74546857463525,40.284259259259265,2474.551905683278,9.152073590684182,4,4,70,Faixa 3 — intermediária superior entre carteiras nominais,192.59806397306397,6,Faixa 2 — intermediária inferior entre carteiras nominais,33.874747474747494,-2,TRUE
desafio_educacional,Maior ênfase no desafio educacional observado.,amanda,Carteira nominal,TRUE,5,219.83897306397307,43.96779461279461,45.00841750841751,2474.551905683278,8.883991180749579,5,5,60,Faixa 3 — intermediária superior entre carteiras nominais,192.94002525252526,5,Faixa 3 — intermediária superior entre carteiras nominais,26.898947811447812,0,FALSE
desafio_educacional,Maior ênfase no desafio educacional observado.,eliane,Carteira nominal,TRUE,5,215.34301346801348,43.0686026936027,40.074326599326604,2474.551905683278,8.702303353323783,6,6,50,Faixa 2 — intermediária inferior entre carteiras nominais,191.5909090909091,7,Faixa 2 — intermediária inferior entre carteiras nominais,23.752104377104388,-1,FALSE
desafio_educacional,Maior ênfase no desafio educacional observado.,julia,Carteira nominal,TRUE,5,206.11271043771043,41.22254208754209,34.42558922558922,2474.551905683278,8.329294284122046,7,7,40,Faixa 2 — intermediária inferior entre carteiras nominais,199.34490740740742,4,Faixa 3 — intermediária superior entre carteiras nominais,6.767803030303014,3,TRUE
