id_escola,codigo_inep,nome_canonico,assessora_vinculo_administrativo,assessora_gerencial_2025,assessora_gerencial_2026,ano_escolar,componente,grupo_administrativo_2024_final,tipo_vinculo_rede_final,status_rede_2025_final,quartil_porte_anos_iniciais,quartil_infraestrutura_escola,pertence_universo_avaliativo_2025,pertence_universo_avaliativo_2026,elegivel_assessoramento_2025,elegivel_assessoramento_2026,recebe_assessoramento_2025,recebe_assessoramento_2026,exposicao_programa_binaria_2025,exposicao_programa_binaria_2026,status_carga_operacional_2025,status_carga_operacional_2026,grupo_exposicao_2025,grupo_exposicao_2026,incluir_diagnostico_avaliativo_ampliado_2025,incluir_diagnostico_avaliativo_ampliado_2026,incluir_resultados_rede_assessorada_2025,incluir_resultados_rede_assessorada_2026,incluir_indice_carga_2025,incluir_indice_carga_2026,incluir_nao_exposto_descritivo_2025,incluir_nao_exposto_descritivo_2026,status_homologacao_2025,status_homologacao_2026,versao_regra_2025,versao_regra_2026,painel_resultado_balanceado,amostra_principal_descritiva,previstos_2025,avaliados_2025,taxa_participacao_2025,proficiencia_media_2025,pct_defasagem_2025,pct_intermediario_2025,pct_adequado_2025,previstos_2026,avaliados_2026,taxa_participacao_2026,proficiencia_media_2026,pct_defasagem_2026,pct_intermediario_2026,pct_adequado_2026,delta_participacao,delta_proficiencia,delta_pct_defasagem,delta_pct_intermediario,delta_pct_adequado,variacao_relativa_previstos,variacao_relativa_avaliados,aumento_participacao_10pp,queda_participacao_10pp,mudanca_previstos_20pct,observacao_composicao,faixa_participacao_2025_serie,faixa_participacao_2026_serie,direcao_delta_participacao,direcao_delta_proficiencia,alerta_composicao_serie
ESC_003,43105440,EMEF AFONSO GUERREIRO LIMA,graziela,,graziela,1,Língua Portuguesa,Rede municipal direta em 2024,rede_municipal_direta_ou_nao_classificada,rede_municipal_direta,4,Q2,SIM,SIM,NA_APLICAVEL,SIM,NAO,SIM,0,1,SEM_CARGA_DO_PROGRAMA,ATIVA,LINHA_BASE_PRE_PROGRAMA,ASSESSORADA,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,REGRA_TEMPORAL_CONFIRMADA,HOMOLOGADO,2025_1a_avaliacao_formativa_linha_base,2026-07-24_v1,TRUE,TRUE,87,64,73.5632183908046,52.9375,28,30.96875,40.828125,94,77,81.91489361702128,14.48051948051948,81.6103896103896,14.155844155844155,4.48051948051948,8.351675226216685,-38.45698051948052,53.6103896103896,-16.812905844155843,-36.34760551948052,8.045977011494253,20.3125,FALSE,FALSE,FALSE,Sem alerta principal de composição,70% a menos de 80%,80% a menos de 90%,Aumento diagnóstico (≥ 5 p.p.),Queda diagnóstica (≤ -2 pontos),FALSE
ESC_003,43105440,EMEF AFONSO GUERREIRO LIMA,graziela,,graziela,2,Língua Portuguesa,Rede municipal direta em 2024,rede_municipal_direta_ou_nao_classificada,rede_municipal_direta,4,Q2,SIM,SIM,NA_APLICAVEL,SIM,NAO,SIM,0,1,SEM_CARGA_DO_PROGRAMA,ATIVA,LINHA_BASE_PRE_PROGRAMA,ASSESSORADA,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,REGRA_TEMPORAL_CONFIRMADA,HOMOLOGADO,2025_1a_avaliacao_formativa_linha_base,2026-07-24_v1,TRUE,TRUE,97,74,76.28865979381443,70.14864864864865,18.93243243243243,25.58108108108108,55.472972972972975,81,73,90.12345679012346,47.83561643835616,39.917808219178085,27,33.082191780821915,13.834796996309024,-22.313032210292484,20.985375786745653,1.4189189189189193,-22.39078119215106,-16.49484536082474,-1.351351351351351,TRUE,FALSE,FALSE,Aumento de participação igual ou superior a 10 p.p.,70% a menos de 80%,90% ou mais,Aumento diagnóstico (≥ 5 p.p.),Queda diagnóstica (≤ -2 pontos),TRUE
ESC_003,43105440,EMEF AFONSO GUERREIRO LIMA,graziela,,graziela,3,Língua Portuguesa,Rede municipal direta em 2024,rede_municipal_direta_ou_nao_classificada,rede_municipal_direta,4,Q2,SIM,SIM,NA_APLICAVEL,SIM,NAO,SIM,0,1,SEM_CARGA_DO_PROGRAMA,ATIVA,LINHA_BASE_PRE_PROGRAMA,ASSESSORADA,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,REGRA_TEMPORAL_CONFIRMADA,HOMOLOGADO,2025_1a_avaliacao_formativa_linha_base,2026-07-24_v1,TRUE,TRUE,121,97,80.16528925619835,53.28865979381443,34.75257731958763,29.938144329896907,34.91752577319588,120,94,78.33333333333333,56.702127659574465,23.48936170212766,31.606382978723403,44.712765957446805,-1.8319559228650208,3.4134678657600332,-11.26321561745997,1.6682386488264953,9.795240184250927,-0.8264462809917356,-3.0927835051546393,FALSE,FALSE,FALSE,Sem alerta principal de composição,80% a menos de 90%,70% a menos de 80%,Oscilação dentro de ±5 p.p.,Aumento diagnóstico (≥ 2 pontos),FALSE
ESC_003,43105440,EMEF AFONSO GUERREIRO LIMA,graziela,,graziela,4,Língua Portuguesa,Rede municipal direta em 2024,rede_municipal_direta_ou_nao_classificada,rede_municipal_direta,4,Q2,SIM,SIM,NA_APLICAVEL,SIM,NAO,SIM,0,1,SEM_CARGA_DO_PROGRAMA,ATIVA,LINHA_BASE_PRE_PROGRAMA,ASSESSORADA,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,REGRA_TEMPORAL_CONFIRMADA,HOMOLOGADO,2025_1a_avaliacao_formativa_linha_base,2026-07-24_v1,TRUE,TRUE,131,109,83.20610687022901,68.1743119266055,19.24770642201835,24.71559633027523,56.03669724770642,108,94,87.03703703703704,62.07446808510638,22.79787234042553,28.872340425531913,48.53191489361702,3.830930166808031,-6.099843841499116,3.550165918407181,4.156744095256684,-7.5047823540894,-17.557251908396946,-13.761467889908255,FALSE,FALSE,FALSE,Sem alerta principal de composição,80% a menos de 90%,80% a menos de 90%,Oscilação dentro de ±5 p.p.,Queda diagnóstica (≤ -2 pontos),FALSE
ESC_003,43105440,EMEF AFONSO GUERREIRO LIMA,graziela,,graziela,5,Língua Portuguesa,Rede municipal direta em 2024,rede_municipal_direta_ou_nao_classificada,rede_municipal_direta,4,Q2,SIM,SIM,NA_APLICAVEL,SIM,NAO,SIM,0,1,SEM_CARGA_DO_PROGRAMA,ATIVA,LINHA_BASE_PRE_PROGRAMA,ASSESSORADA,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,REGRA_TEMPORAL_CONFIRMADA,HOMOLOGADO,2025_1a_avaliacao_formativa_linha_base,2026-07-24_v1,TRUE,TRUE,81,69,85.18518518518519,60.10144927536232,23.26086956521739,21.884057971014492,55.18840579710145,117,105,89.74358974358974,66.44761904761904,15.904761904761903,33.63809523809524,50.00952380952381,4.558404558404547,6.346169772256722,-7.356107660455486,11.754037267080747,-5.17888198757764,44.44444444444444,52.17391304347826,FALSE,FALSE,TRUE,Mudança relevante no número de estudantes previstos,80% a menos de 90%,80% a menos de 90%,Oscilação dentro de ±5 p.p.,Aumento diagnóstico (≥ 2 pontos),TRUE
ESC_004,43105459,EMEF AMERICA,nathalia,,nathalia,1,Língua Portuguesa,Rede municipal direta em 2024,rede_municipal_direta_ou_nao_classificada,rede_municipal_direta,2,Q3,SIM,SIM,NA_APLICAVEL,SIM,NAO,SIM,0,1,SEM_CARGA_DO_PROGRAMA,ATIVA,LINHA_BASE_PRE_PROGRAMA,ASSESSORADA,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,REGRA_TEMPORAL_CONFIRMADA,HOMOLOGADO,2025_1a_avaliacao_formativa_linha_base,2026-07-24_v1,TRUE,TRUE,47,38,80.85106382978724,26.05263157894737,55.473684210526315,41.89473684210526,2.6315789473684212,38,35,92.10526315789474,30.02857142857143,55.857142857142854,32.22857142857143,11.571428571428571,11.254199328107504,3.9759398496240586,0.38345864661653906,-9.666165413533832,8.93984962406015,-19.148936170212767,-7.894736842105263,TRUE,FALSE,FALSE,Aumento de participação igual ou superior a 10 p.p.,80% a menos de 90%,90% ou mais,Aumento diagnóstico (≥ 5 p.p.),Aumento diagnóstico (≥ 2 pontos),TRUE
ESC_004,43105459,EMEF AMERICA,nathalia,,nathalia,2,Língua Portuguesa,Rede municipal direta em 2024,rede_municipal_direta_ou_nao_classificada,rede_municipal_direta,2,Q3,SIM,SIM,NA_APLICAVEL,SIM,NAO,SIM,0,1,SEM_CARGA_DO_PROGRAMA,ATIVA,LINHA_BASE_PRE_PROGRAMA,ASSESSORADA,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,REGRA_TEMPORAL_CONFIRMADA,HOMOLOGADO,2025_1a_avaliacao_formativa_linha_base,2026-07-24_v1,TRUE,TRUE,52,44,84.61538461538461,53.18181818181818,31.90909090909091,34.18181818181818,33.90909090909091,42,37,88.0952380952381,51.51351351351352,30.35135135135135,41.945945945945944,27.7027027027027,3.479853479853489,-1.668304668304664,-1.5577395577395592,7.764127764127764,-6.206388206388205,-19.23076923076923,-15.909090909090908,FALSE,FALSE,FALSE,Sem alerta principal de composição,80% a menos de 90%,80% a menos de 90%,Oscilação dentro de ±5 p.p.,Oscilação dentro de ±2 pontos,FALSE
ESC_004,43105459,EMEF AMERICA,nathalia,,nathalia,3,Língua Portuguesa,Rede municipal direta em 2024,rede_municipal_direta_ou_nao_classificada,rede_municipal_direta,2,Q3,SIM,SIM,NA_APLICAVEL,SIM,NAO,SIM,0,1,SEM_CARGA_DO_PROGRAMA,ATIVA,LINHA_BASE_PRE_PROGRAMA,ASSESSORADA,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,REGRA_TEMPORAL_CONFIRMADA,HOMOLOGADO,2025_1a_avaliacao_formativa_linha_base,2026-07-24_v1,TRUE,TRUE,57,43,75.43859649122807,75.53488372093024,11.604651162790695,23.3953488372093,65,50,40,80,50.475,36.2,20.225,43.575,4.561403508771932,-25.059883720930237,24.595348837209308,-3.1703488372093,-21.424999999999997,-12.280701754385966,-6.976744186046512,FALSE,FALSE,FALSE,Sem alerta principal de composição,70% a menos de 80%,80% a menos de 90%,Oscilação dentro de ±5 p.p.,Queda diagnóstica (≤ -2 pontos),FALSE
ESC_004,43105459,EMEF AMERICA,nathalia,,nathalia,4,Língua Portuguesa,Rede municipal direta em 2024,rede_municipal_direta_ou_nao_classificada,rede_municipal_direta,2,Q3,SIM,SIM,NA_APLICAVEL,SIM,NAO,SIM,0,1,SEM_CARGA_DO_PROGRAMA,ATIVA,LINHA_BASE_PRE_PROGRAMA,ASSESSORADA,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,REGRA_TEMPORAL_CONFIRMADA,HOMOLOGADO,2025_1a_avaliacao_formativa_linha_base,2026-07-24_v1,TRUE,TRUE,53,44,83.01886792452831,61,20.636363636363637,45.31818181818182,34.04545454545455,53,48,90.56603773584904,67.35416666666667,14.5625,31.208333333333332,54.229166666666664,7.547169811320742,6.354166666666671,-6.073863636363637,-14.109848484848488,20.18371212121212,0,9.090909090909092,FALSE,FALSE,FALSE,Sem alerta principal de composição,80% a menos de 90%,90% ou mais,Aumento diagnóstico (≥ 5 p.p.),Aumento diagnóstico (≥ 2 pontos),FALSE
ESC_004,43105459,EMEF AMERICA,nathalia,,nathalia,5,Língua Portuguesa,Rede municipal direta em 2024,rede_municipal_direta_ou_nao_classificada,rede_municipal_direta,2,Q3,SIM,SIM,NA_APLICAVEL,SIM,NAO,SIM,0,1,SEM_CARGA_DO_PROGRAMA,ATIVA,LINHA_BASE_PRE_PROGRAMA,ASSESSORADA,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,REGRA_TEMPORAL_CONFIRMADA,HOMOLOGADO,2025_1a_avaliacao_formativa_linha_base,2026-07-24_v1,TRUE,TRUE,54,46,85.18518518518519,53.34782608695652,30.47826086956522,32.65217391304348,36.869565217391305,46,44,95.65217391304348,53.84090909090909,20.431818181818183,52.11363636363637,27.454545454545453,10.466988727858292,0.4930830039525702,-10.046442687747035,19.46146245059289,-9.415019762845851,-14.814814814814817,-4.3478260869565215,TRUE,FALSE,FALSE,Aumento de participação igual ou superior a 10 p.p.,80% a menos de 90%,90% ou mais,Aumento diagnóstico (≥ 5 p.p.),Oscilação dentro de ±2 pontos,TRUE
ESC_005,43105467,EMEF ARAMY SILVA,priscila,,priscila,1,Língua Portuguesa,Rede municipal direta em 2024,rede_municipal_direta_ou_nao_classificada,rede_municipal_direta,3,Q3,SIM,SIM,NA_APLICAVEL,SIM,NAO,SIM,0,1,SEM_CARGA_DO_PROGRAMA,ATIVA,LINHA_BASE_PRE_PROGRAMA,ASSESSORADA,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,REGRA_TEMPORAL_CONFIRMADA,HOMOLOGADO,2025_1a_avaliacao_formativa_linha_base,2026-07-24_v1,TRUE,TRUE,83,64,77.10843373493977,75.3125,15.578125,15.875,68.5625,83,69,83.13253012048193,25.55072463768116,66.52173913043478,22.07246376811594,11.405797101449275,6.024096385542165,-49.76177536231884,50.94361413043478,6.1974637681159415,-57.156702898550726,0,7.8125,FALSE,FALSE,FALSE,Sem alerta principal de composição,70% a menos de 80%,80% a menos de 90%,Aumento diagnóstico (≥ 5 p.p.),Queda diagnóstica (≤ -2 pontos),FALSE
ESC_005,43105467,EMEF ARAMY SILVA,priscila,,priscila,2,Língua Portuguesa,Rede municipal direta em 2024,rede_municipal_direta_ou_nao_classificada,rede_municipal_direta,3,Q3,SIM,SIM,NA_APLICAVEL,SIM,NAO,SIM,0,1,SEM_CARGA_DO_PROGRAMA,ATIVA,LINHA_BASE_PRE_PROGRAMA,ASSESSORADA,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,REGRA_TEMPORAL_CONFIRMADA,HOMOLOGADO,2025_1a_avaliacao_formativa_linha_base,2026-07-24_v1,TRUE,TRUE,82,59,71.95121951219512,63.016949152542374,25.305084745762713,25.47457627118644,49.25423728813559,78,69,88.46153846153847,49.53623188405797,41.2463768115942,26.92753623188406,31.82608695652174,16.510318949343343,-13.480717268484405,15.94129206583149,1.4529599606976191,-17.428150331613853,-4.878048780487805,16.949152542372882,TRUE,FALSE,FALSE,Aumento de participação igual ou superior a 10 p.p.,70% a menos de 80%,80% a menos de 90%,Aumento diagnóstico (≥ 5 p.p.),Queda diagnóstica (≤ -2 pontos),TRUE
