dimensao_contextual,categoria,series_observadas,numero_escolas_min,numero_escolas_max,proficiencia_2025_media_entre_series,delta_participacao_media_entre_series,delta_proficiencia_media_entre_series,delta_adequado_media_entre_series,delta_defasagem_media_entre_series
Infraestrutura,Q1 — menor infraestrutura,5,13,15,65.19004744836784,10.716401564440794,-8.188139227270296,-12.113460993205003,4.412806275004749
Infraestrutura,Q2,5,13,13,57.80209918517433,6.699902775000784,-9.838723810742398,-10.733218265216061,9.162089478640308
Infraestrutura,Q3,5,26,26,57.43794676705796,8.743276306682272,-8.32891507157202,-9.49811760200407,6.68525455644957
Porte da escola,150 a 299 matrículas,5,14,14,62.82478660790383,9.399697550897946,-7.321107780171602,-10.370181778740976,4.134085284909066
Porte da escola,300 a 499 matrículas,5,24,24,59.56690531689388,9.10815858010924,-9.017733948999348,-10.307333110117717,7.527528267890406
Porte da escola,500 matrículas ou mais,5,12,12,52.4765275643247,6.5634480435615625,-8.159304459929329,-8.69378141039348,7.606879224692739
Porte da escola,Até 149 matrículas,5,2,4,71.00192307692308,12.758192007953873,-12.218589743589742,-17.26923076923077,6.600641025641026
Situação administrativa em 2024,Fora da rede municipal direta em 2024,5,3,4,72.37519000682045,11.872631747633877,-8.75670860709634,-14.823475344462523,6.4485304311437135
Situação administrativa em 2024,Rede municipal direta em 2024,5,49,50,58.75379777284319,8.610749567531485,-8.617431168117093,-10.175161380194774,6.67774629150079
