ano_escolar,escolas,previstos_total_2025,previstos_total_2026,avaliados_total_2025,avaliados_total_2026,delta_proficiencia_media_escolas,delta_proficiencia_mediana_escolas,participacao_2025,participacao_2026,delta_participacao,proficiencia_2025_ponderada,proficiencia_2026_ponderada,delta_proficiencia_ponderada,adequado_2025_ponderado,adequado_2026_ponderado,delta_adequado_ponderado,defasagem_2025_ponderada,defasagem_2026_ponderada,delta_defasagem_ponderada
1,54,3711,3884,2705,3166,-26.726750653259263,-26.969001896633472,0.7289140393424953,0.8151390319258497,0.08622499258335437,55.971903881700555,32.04074542008844,-23.931158461612114,44.597042513863215,16.353126974099812,-28.243915539763403,29.90536044362292,56.02495262160455,26.119592177981627
2,53,3915,3636,3007,3107,-6.5652470647156775,-1.668304668304664,0.7680715197956577,0.8545104510451045,0.0864389312494468,58.04456268706352,52.67009977470229,-5.374462912361231,42.0458929165281,36.44093981332475,-5.60495310320335,30.71400066511473,33.78049565497264,3.066494989857908
3,53,4479,4341,3433,3648,-2.6787562858265446,-4.249084249084248,0.7664657289573565,0.8403593642017968,0.07389363524444026,52.37576463734343,48.730811403508774,-3.6449532338346557,35.92018642586659,37.72998903508772,1.80980260922113,35.22167200699097,35.13760964912281,-0.08406235786816296
4,53,4301,4168,3438,3679,-5.717501883572662,-6.4040650406504085,0.7993489886073006,0.8826775431861804,0.08332855457887978,59.5718440954043,53.6050557216635,-5.966788373740805,45.78650378126818,40.9755368306605,-4.810966950607678,28.028795811518325,33.14949714596358,5.120701334445254
5,52,4026,4043,3254,3589,-1.5630785812330263,-0.9293926215263184,0.8082463984103329,0.8877071481573089,0.07946074974697603,61.97141979102643,59.77709668431318,-2.1943231067132487,51.220036877689,40.78071886319309,-10.43931801449591,23.350952673632452,22.485929228197268,-0.8650234454351846
