ano_escolar,proficiencia_2025_ponderada,proficiencia_2026_ponderada,delta_proficiencia_ponderada,valor_valido
1,55.971903881700555,32.04074542008844,-23.931158461612114,TRUE
2,58.04456268706352,52.67009977470229,-5.374462912361231,TRUE
3,52.37576463734343,48.730811403508774,-3.6449532338346557,TRUE
4,59.5718440954043,53.6050557216635,-5.966788373740805,TRUE
5,61.97141979102643,59.77709668431318,-2.1943231067132487,TRUE
