produto,caminho_candidato,linhas,colunas,md5,equivalente_ao_objeto,detalhe
indice_csv,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/historico/indice_complexidade/transacoes/execucao_20260728_220908/candidatos/indice_carga_potencial_escola.csv,53,24,8cfb06412611985459ffa7a8c2963828,TRUE,equivalente
indice_rds,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/historico/indice_complexidade/transacoes/execucao_20260728_220908/candidatos/indice_carga_potencial_escola.rds,53,24,7c91709044f94ccfc3b09183f6082a51,TRUE,equivalente
componentes_csv,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/historico/indice_complexidade/transacoes/execucao_20260728_220908/candidatos/componentes_indice_carga_potencial.csv,636,12,7a853ba2c301265c6c308dabe72a2eea,TRUE,equivalente
componentes_rds,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/historico/indice_complexidade/transacoes/execucao_20260728_220908/candidatos/componentes_indice_carga_potencial.rds,636,12,b6e7dad6279590c3c492966fd4544708,TRUE,equivalente
diagnostico_educacional_csv,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/historico/indice_complexidade/transacoes/execucao_20260728_220908/candidatos/componentes_educacionais_escola_serie.csv,265,27,c6a452965a7398de2ea6892e1113a833,TRUE,equivalente
diagnostico_educacional_rds,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/historico/indice_complexidade/transacoes/execucao_20260728_220908/candidatos/componentes_educacionais_escola_serie.rds,265,27,37996354b10460a4d2bcc3969a7ed667,TRUE,equivalente
dicionario_csv,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/historico/indice_complexidade/transacoes/execucao_20260728_220908/candidatos/dicionario_indice_carga_potencial.csv,24,6,a157883a12e1b8d7a5a84fb315ece90c,TRUE,equivalente
