fonte,linhas_rds,linhas_csv,colunas_rds,colunas_csv,mesmos_nomes_e_ordem,mesmos_tipos_canonicos,mesmas_dimensoes,mesmos_valores_ordenados,detalhe,aprovado
perfil_escola_gerencial,56,56,153,153,TRUE,TRUE,TRUE,TRUE,equivalentes,TRUE
perfil_escola_serie_compacto,280,280,69,69,TRUE,TRUE,TRUE,TRUE,equivalentes,TRUE
