nome_completo,grupo,ordinal_position,column_name,data_type,is_nullable,erro_colunas,coluna_normalizada,papel_sugerido
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,42,mantenedora_escola_privada_empresa,INT64,YES,,mantenedora_escola_privada_empresa,outra
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,43,mantenedora_escola_privada_ong,INT64,YES,,mantenedora_escola_privada_ong,outra
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,44,mantenedora_escola_privada_oscip,INT64,YES,,mantenedora_escola_privada_oscip,outra
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,45,mantenedora_escola_privada_ong_oscip,INT64,YES,,mantenedora_escola_privada_ong_oscip,outra
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,46,mantenedora_escola_privada_sindicato,INT64,YES,,mantenedora_escola_privada_sindicato,outra
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,47,mantenedora_escola_privada_sistema_s,INT64,YES,,mantenedora_escola_privada_sistema_s,outra
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,48,mantenedora_escola_privada_sem_fins,INT64,YES,,mantenedora_escola_privada_sem_fins,outra
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,49,cnpj_escola_privada,STRING,YES,,cnpj_escola_privada,outra
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,50,cnpj_mantenedora,STRING,YES,,cnpj_mantenedora,outra
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,51,tipo_regulamentacao,STRING,YES,,tipo_regulamentacao,outra
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,52,tipo_responsavel_regulamentacao,STRING,YES,,tipo_responsavel_regulamentacao,outra
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,53,id_escola_sede,STRING,YES,,id_escola_sede,outra
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,54,id_ies_ofertante,STRING,YES,,id_ies_ofertante,outra
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,55,local_funcionamento_predio_escolar,INT64,YES,,local_funcionamento_predio_escolar,outra
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,56,tipo_local_funcionamento_predio_escolar,STRING,YES,,tipo_local_funcionamento_predio_escolar,outra
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,57,local_funcionamento_sala_empresa,INT64,YES,,local_funcionamento_sala_empresa,outra
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,58,local_funcionamento_socioeducativo,INT64,YES,,local_funcionamento_socioeducativo,outra
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,59,local_funcionamento_unidade_prisional,INT64,YES,,local_funcionamento_unidade_prisional,outra
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,60,local_funcionamento_prisional_socio,INT64,YES,,local_funcionamento_prisional_socio,outra
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,61,local_funcionamento_templo_igreja,INT64,YES,,local_funcionamento_templo_igreja,outra
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,62,local_funcionamento_casa_professor,INT64,YES,,local_funcionamento_casa_professor,porte_recursos
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,63,local_funcionamento_galpao,INT64,YES,,local_funcionamento_galpao,outra
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,64,tipo_local_funcionamento_galpao,STRING,YES,,tipo_local_funcionamento_galpao,outra
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,65,local_funcionamento_outra_escola,INT64,YES,,local_funcionamento_outra_escola,outra
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,66,local_funcionamento_outros,INT64,YES,,local_funcionamento_outros,outra
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,67,predio_compartilhado,INT64,YES,,predio_compartilhado,outra
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,68,agua_filtrada,INT64,YES,,agua_filtrada,infraestrutura
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,69,agua_potavel,INT64,YES,,agua_potavel,infraestrutura
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,70,agua_rede_publica,INT64,YES,,agua_rede_publica,infraestrutura
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,71,agua_poco_artesiano,INT64,YES,,agua_poco_artesiano,infraestrutura
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,72,agua_cacimba,INT64,YES,,agua_cacimba,infraestrutura
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,73,agua_fonte_rio,INT64,YES,,agua_fonte_rio,infraestrutura
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,74,agua_inexistente,INT64,YES,,agua_inexistente,infraestrutura
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,75,energia_rede_publica,INT64,YES,,energia_rede_publica,infraestrutura
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,76,energia_gerador,INT64,YES,,energia_gerador,infraestrutura
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,77,energia_gerador_fossil,INT64,YES,,energia_gerador_fossil,infraestrutura
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,78,energia_outros,INT64,YES,,energia_outros,infraestrutura
