nome_completo,grupo,id_escola,codigo_inep,nome_canonico,assessora,tipo_vinculo_rede,status_rede_2025,numero_linhas_2024,encontrado_2024
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,ESC_056,43189768,EEF ALDEIA LUMIAR,,filantropica_sob_supervisao_municipal,fora_da_rede_municipal_direta,1,TRUE
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,ESC_001,43105416,EEF PEQUENA CASA DA CRIANCA,outras,privada_conveniada_sob_supervisao_municipal,fora_da_rede_municipal_direta,1,TRUE
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,ESC_002,43105505,EMEB DR LIBERATO SALZANO VIEIRA DA CUNHA,clarissa,rede_municipal_direta_ou_nao_classificada,rede_municipal_direta,1,TRUE
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,ESC_003,43105440,EMEF AFONSO GUERREIRO LIMA,graziela,rede_municipal_direta_ou_nao_classificada,rede_municipal_direta,1,TRUE
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,ESC_004,43105459,EMEF AMERICA,nathalia,rede_municipal_direta_ou_nao_classificada,rede_municipal_direta,1,TRUE
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,ESC_005,43105467,EMEF ARAMY SILVA,priscila,rede_municipal_direta_ou_nao_classificada,rede_municipal_direta,1,TRUE
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,ESC_006,43173713,EMEF CAMPOS DO CRISTAL,andreia,rede_municipal_direta_ou_nao_classificada,rede_municipal_direta,1,TRUE
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,ESC_007,43187560,EMEF CHAPEU DO SOL,ruti,rede_municipal_direta_ou_nao_classificada,rede_municipal_direta,1,TRUE
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,ESC_008,43177581,EMEF CHICO MENDES,eliane,rede_municipal_direta_ou_nao_classificada,rede_municipal_direta,1,TRUE
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,ESC_009,43105475,EMEF DECIO MARTINS COSTA,nathalia,rede_municipal_direta_ou_nao_classificada,rede_municipal_direta,1,TRUE
