nome_completo,grupo,ordinal_position,column_name,data_type,is_nullable,erro_colunas,coluna_normalizada,papel_sugerido
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,330,etapa_ensino_profissional_especial_exclusiva,INT64,YES,,etapa_ensino_profissional_especial_exclusiva,caracterizacao
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,331,etapa_ensino_eja_fundamental_especial_exclusiva,INT64,YES,,etapa_ensino_eja_fundamental_especial_exclusiva,caracterizacao
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,332,etapa_ensino_eja_medio_especial_exclusiva,INT64,YES,,etapa_ensino_eja_medio_especial_exclusiva,caracterizacao
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,62,local_funcionamento_casa_professor,INT64,YES,,local_funcionamento_casa_professor,porte_recursos
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,113,dormitorio_aluno,INT64,YES,,dormitorio_aluno,porte_recursos
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,114,dormitorio_professor,INT64,YES,,dormitorio_professor,porte_recursos
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,134,sala_professor,INT64,YES,,sala_professor,porte_recursos
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,135,sala_repouso_aluno,INT64,YES,,sala_repouso_aluno,porte_recursos
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,187,quantidade_computador_aluno,INT64,YES,,quantidade_computador_aluno,porte_recursos
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,188,desktop_aluno,INT64,YES,,desktop_aluno,porte_recursos
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,189,quantidade_desktop_aluno,INT64,YES,,quantidade_desktop_aluno,porte_recursos
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,190,computador_portatil_aluno,INT64,YES,,computador_portatil_aluno,porte_recursos
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,191,quantidade_computador_portatil_aluno,INT64,YES,,quantidade_computador_portatil_aluno,porte_recursos
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,192,tablet_aluno,INT64,YES,,tablet_aluno,porte_recursos
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,193,quantidade_tablet_aluno,INT64,YES,,quantidade_tablet_aluno,porte_recursos
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,197,internet_alunos,INT64,YES,,internet_alunos,porte_recursos
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,278,espaco_equipamento_alunos,INT64,YES,,espaco_equipamento_alunos,porte_recursos
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,333,quantidade_matricula_educacao_basica,INT64,YES,,quantidade_matricula_educacao_basica,porte_recursos
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,334,quantidade_matricula_infantil,INT64,YES,,quantidade_matricula_infantil,porte_recursos
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,335,quantidade_matricula_infantil_creche,INT64,YES,,quantidade_matricula_infantil_creche,porte_recursos
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,336,quantidade_matricula_infantil_pre_escola,INT64,YES,,quantidade_matricula_infantil_pre_escola,porte_recursos
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,337,quantidade_matricula_fundamental,INT64,YES,,quantidade_matricula_fundamental,porte_recursos
