id_escola,codigo_inep,nome_canonico,assessora,dependencia_administrativa_2024,situacao_funcionamento_2024,tipo_vinculo_rede_atual,status_rede_2025_atual,tipo_divergencia_administrativa,decisao_manual,tipo_vinculo_rede_corrigido,status_rede_2025_corrigido,observacao_manual
ESC_021,43219543,EMEF JOAO CARLOS DAVILA PAIXAO CORTES - LACADOR,julia,Municipal,Em atividade,rede_municipal_direta_ou_nao_classificada,existencia_ou_funcionamento_em_2025_a_confirmar,Censo 2024 registra escola municipal em atividade; a hipótese de escola nova precisa ser reinterpretada,,,,
ESC_054,43106668,ESC EST ENS FUN PROFESSORA LEOPOLDA BARNEWITZ,julia,Estadual,Em atividade,rede_municipal_direta_ou_nao_classificada,rede_municipal_direta,"Censo 2024 registra dependência estadual, mas o cadastro local classifica como rede municipal direta",,,,
ESC_055,43105300,ESCOLA DE ENSINO FUNDAMENTAL MADRE RAFFO,outras,Privada,Em atividade,rede_municipal_direta_ou_nao_classificada,rede_municipal_direta,"Censo 2024 registra dependência privada, mas o cadastro local classifica como rede municipal direta",,,,
