indicador,valor
Escolas na dimensão local,56
Escolas retornadas pelo Censo 2024,56
Escolas sem linha no Censo 2024,0
Duplicidades escola-ano,0
Escolas sem matrículas dos anos iniciais,0
Escolas sem turmas dos anos iniciais,0
Escolas sem docentes dos anos iniciais,0
