id_escola,codigo_inep,nome_canonico,elegivel_assessoramento,recebe_assessoramento,status_carga_operacional,incluir_indice_carga,grupo_exposicao,data_validacao,versao_regra
ESC_001,43105416,EEF PEQUENA CASA DA CRIANCA,NAO,NAO,ZERO_OU_TENDENTE_A_ZERO,FALSE,NAO_EXPOSTA_INELEGIVEL,2026-07-24,2026-07-24_v1
ESC_055,43105300,ESCOLA DE ENSINO FUNDAMENTAL MADRE RAFFO,NAO,NAO,ZERO_OU_TENDENTE_A_ZERO,FALSE,NAO_EXPOSTA_INELEGIVEL,2026-07-24,2026-07-24_v1
ESC_056,43189768,EEF ALDEIA LUMIAR,NAO,NAO,ZERO_OU_TENDENTE_A_ZERO,FALSE,NAO_EXPOSTA_INELEGIVEL,2026-07-24,2026-07-24_v1
