produto,caminho,existe,tamanho_bytes,md5
cadastro_csv,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_intermediarios/cadastro_exposicao_assessoramento.csv,TRUE,48245,198c56cb55ee1acb6150b86dd53c74bd
cadastro_rds,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_intermediarios/cadastro_exposicao_assessoramento.rds,TRUE,3301,4a0519623165d05768369f7b92e68a7d
