assessora_gerencial,tipo_carteira,carteira_nominal,ordem_interna_carga_potencial,id_escola,codigo_inep,nome_canonico,matriculas_anos_iniciais,turmas_anos_iniciais,turmas_anos_iniciais_validas,numero_etapas_amplas_ofertadas,numero_series_resultado_2026,numero_series_comparaveis,painel_completo_cinco_series,qualidade_evidencia_educacional,interpretacao_educacional_cautelosa,score_dimensao_volume,score_dimensao_estrutural,score_dimensao_educacional,score_dimensao_administrativa,indice_carga_potencial,percentil_indice_carga_potencial,faixa_indice_carga_potencial,indice_carga_potencial_operacional,faixa_indice_operacional,indice_carga_potencial_desafio_educacional,faixa_indice_desafio_educacional,indice_carga_potencial_transicao_administrativa,faixa_indice_transicao_administrativa,contribuicao_volume_indice_principal,contribuicao_estrutural_indice_principal,contribuicao_educacional_indice_principal,contribuicao_administrativa_indice_principal,numero_cenarios_com_mudanca_faixa,sensibilidade_faixa,possui_complexidade_administrativa,interpretacao_indice_cautelosa,painel_incompleto,possui_alerta_composicao,participacao_2026_abaixo_80,caso_para_leitura_detalhada,entre_duas_maiores_cargas_da_carteira,participacao_indice_na_carteira_pct,participacao_acumulada_indice_carteira_pct,tipo_vinculo_rede_final,status_rede_2025_final,municipalizada_apos_2024,escola_nova_recente
andreia,Carteira nominal,TRUE,4,ESC_039,43172490,EMEF PROF ANISIO TEIXEIRA,471,19,19,3,5,5,TRUE,Completa — cinco séries,FALSE,63.37289562289562,56.994949494949495,28.997474747474747,0,37.341329966329965,45.45454545454545,Faixa 2 — intermediária inferior,45.39739057239058,Faixa 3 — intermediária superior,38.522306397306394,Faixa 2 — intermediária inferior,31.322937710437714,Faixa 2 — intermediária inferior,15.843223905723905,14.248737373737374,7.249368686868687,0,1,Sensibilidade moderada,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,17.437113932907117,87.69813115520904,rede_municipal_direta_ou_nao_classificada,rede_municipal_direta,FALSE,FALSE
andreia,Carteira nominal,TRUE,5,ESC_006,43173713,EMEF CAMPOS DO CRISTAL,255,10,10,3,5,5,TRUE,Completa — cinco séries,FALSE,28.493265993265993,60.35858585858586,16.525252525252526,0,26.344276094276097,5.454545454545454,Faixa 1 — menor carga potencial relativa,29.792003367003367,Faixa 1 — menor carga potencial relativa,27.398400673400676,Faixa 1 — menor carga potencial relativa,21.901683501683504,Faixa 1 — menor carga potencial relativa,7.123316498316498,15.089646464646465,4.1313131313131315,0,0,Estável nos cenários,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,12.301868844790958,100,rede_municipal_direta_ou_nao_classificada,rede_municipal_direta,FALSE,FALSE
clarissa,Carteira nominal,TRUE,1,ESC_016,43107508,EMEF GOV ILDO MENEGHETTI,585,24,24,4,5,5,TRUE,Completa — cinco séries,FALSE,95.99158249158249,61.48821548821549,59.8989898989899,0,54.34469696969697,96.36363636363636,Faixa 4 — maior carga potencial relativa,65.74848484848485,Faixa 4 — maior carga potencial relativa,58.52996632996633,Faixa 4 — maior carga potencial relativa,46.47070707070707,Faixa 4 — maior carga potencial relativa,23.997895622895623,15.372053872053872,14.974747474747476,0,0,Estável nos cenários,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,23.549441370329706,23.549441370329706,rede_municipal_direta_ou_nao_classificada,rede_municipal_direta,FALSE,FALSE
clarissa,Carteira nominal,TRUE,2,ESC_011,43109225,EMEF DEP VICTOR ISSLER,581,23,23,3,5,5,TRUE,Completa — cinco séries,FALSE,88.06986531986531,42.053872053872055,35.00841750841751,0,41.28303872053872,60,Faixa 3 — intermediária superior,52.74309764309764,Faixa 3 — intermediária superior,42.13080808080808,Faixa 2 — intermediária inferior,34.77685185185185,Faixa 3 — intermediária superior,22.01746632996633,10.513468013468014,8.752104377104377,0,1,Sensibilidade moderada,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,17.8893719930112,41.438813363340905,rede_municipal_direta_ou_nao_classificada,rede_municipal_direta,FALSE,FALSE
clarissa,Carteira nominal,TRUE,3,ESC_002,43105505,EMEB DR LIBERATO SALZANO VIEIRA DA CUNHA,465,21,21,4,5,5,TRUE,Completa — cinco séries,FALSE,71.26262626262626,33.121212121212125,54.918350168350166,0,39.825547138047135,54.54545454545455,Faixa 3 — intermediária superior,47.769023569023574,Faixa 3 — intermediária superior,44.50016835016835,Faixa 3 — intermediária superior,34.60635521885522,Faixa 3 — intermediária superior,17.815656565656564,8.280303030303031,13.729587542087542,0,0,Estável nos cenários,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,17.257790357938816,58.69660372127972,rede_municipal_direta_ou_nao_classificada,rede_municipal_direta,FALSE,FALSE
clarissa,Carteira nominal,TRUE,4,ESC_019,43172474,EMEF JEAN PIAGET,379,16,16,4,5,5,TRUE,Completa — cinco séries,FALSE,54.89646464646464,39.23063973063974,43.62626262626263,0,34.43834175084175,30.90909090909091,Faixa 2 — intermediária inferior,40.49149831649832,Faixa 2 — intermediária inferior,38.23745791245792,Faixa 1 — menor carga potencial relativa,29.731986531986536,Faixa 1 — menor carga potencial relativa,13.72411616161616,9.807659932659934,10.906565656565657,0,2,Sensibilidade elevada,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,14.923327485017492,73.61993120629721,rede_municipal_direta_ou_nao_classificada,rede_municipal_direta,FALSE,FALSE
clarissa,Carteira nominal,TRUE,5,ESC_048,43172482,EMEF VER ANTONIO GIUDICE,404,18,18,3,5,5,TRUE,Completa — cinco séries,FALSE,51.93434343434343,41.53030303030303,29.75084175084175,0,30.803872053872055,18.181818181818183,Faixa 1 — menor carga potencial relativa,37.10648148148148,Faixa 2 — intermediária inferior,32.66978114478115,Faixa 1 — menor carga potencial relativa,26.130639730639732,Faixa 1 — menor carga potencial relativa,12.983585858585858,10.382575757575758,7.437710437710438,0,1,Sensibilidade moderada,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,13.34838575539936,86.96831696169657,rede_municipal_direta_ou_nao_classificada,rede_municipal_direta,FALSE,FALSE
clarissa,Carteira nominal,TRUE,6,ESC_024,43109209,EMEF LAURO RODRIGUES,339,15,15,3,5,5,TRUE,Completa — cinco séries,FALSE,40.362794612794616,48.858585858585855,31.070707070707073,0,30.073021885521886,14.545454545454545,Faixa 1 — menor carga potencial relativa,34.573905723905725,Faixa 1 — menor carga potencial relativa,32.71548821548822,Faixa 1 — menor carga potencial relativa,25.611952861952865,Faixa 1 — menor carga potencial relativa,10.090698653198654,12.214646464646464,7.767676767676768,0,0,Estável nos cenários,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,13.031683038303429,100,rede_municipal_direta_ou_nao_classificada,rede_municipal_direta,FALSE,FALSE
eliane,Carteira nominal,TRUE,1,ESC_008,43177581,EMEF CHICO MENDES,541,22,22,3,5,5,TRUE,Completa — cinco séries,FALSE,81.85437710437711,52.64309764309765,65.9604377104377,0,50.11447811447812,85.45454545454545,Faixa 4 — maior carga potencial relativa,59.0946127946128,Faixa 4 — maior carga potencial relativa,55.91582491582491,Faixa 4 — maior carga potencial relativa,43.38960437710438,Faixa 4 — maior carga potencial relativa,20.463594276094277,13.160774410774412,16.490109427609426,0,0,Estável nos cenários,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,26.157022977900795,26.157022977900795,rede_municipal_direta_ou_nao_classificada,rede_municipal_direta,FALSE,FALSE
eliane,Carteira nominal,TRUE,2,ESC_052,43173721,EMEF WENCESLAU FONTOURA,446,17,17,3,5,5,TRUE,Completa — cinco séries,FALSE,56.46296296296297,71.8989898989899,58.85521885521885,0,46.80429292929293,72.72727272727273,Faixa 3 — intermediária superior,52.330976430976435,Faixa 3 — intermediária superior,52.809427609427615,Faixa 3 — intermediária superior,40.38619528619529,Faixa 3 — intermediária superior,14.115740740740742,17.974747474747474,14.713804713804713,0,0,Estável nos cenários,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,24.429286938183733,50.58630991608453,rede_municipal_direta_ou_nao_classificada,rede_municipal_direta,FALSE,FALSE
