ano,ano_escolar,nome_escola_original,nome_escola_normalizado,arquivo_origem
2026,3,EMEB DR LIBERATO SALZANO VIEIRA DA CUNHA,EMEB DR LIBERATO SALZANO VIEIRA DA CUNHA,2026_1av_form_HABILIDADES_DESEMPENHO_TURMA_03anos_LP.csv
2026,4,EMEB DR LIBERATO SALZANO VIEIRA DA CUNHA,EMEB DR LIBERATO SALZANO VIEIRA DA CUNHA,2026_1av_form_HABILIDADES_DESEMPENHO_TURMA_04anos_LP.csv
2026,5,EMEB DR LIBERATO SALZANO VIEIRA DA CUNHA,EMEB DR LIBERATO SALZANO VIEIRA DA CUNHA,2026_1av_form_HABILIDADES_DESEMPENHO_TURMA_05anos_LP.csv
2025,1,EMEB PROFESSORA LEOPOLDA BARNEWITZ,EMEB PROFESSORA LEOPOLDA BARNEWITZ,2025_1av_form_HABILIDADES_DESEMPENHO_TURMA_01anos_LP.csv
2025,2,EMEB PROFESSORA LEOPOLDA BARNEWITZ,EMEB PROFESSORA LEOPOLDA BARNEWITZ,2025_1av_form_HABILIDADES_DESEMPENHO_TURMA_02anos_LP.csv
2025,3,EMEB PROFESSORA LEOPOLDA BARNEWITZ,EMEB PROFESSORA LEOPOLDA BARNEWITZ,2025_1av_form_HABILIDADES_DESEMPENHO_TURMA_03anos_LP.csv
2025,4,EMEB PROFESSORA LEOPOLDA BARNEWITZ,EMEB PROFESSORA LEOPOLDA BARNEWITZ,2025_1av_form_HABILIDADES_DESEMPENHO_TURMA_04anos_LP.csv
2025,5,EMEB PROFESSORA LEOPOLDA BARNEWITZ,EMEB PROFESSORA LEOPOLDA BARNEWITZ,2025_1av_form_HABILIDADES_DESEMPENHO_TURMA_05anos_LP.csv
2025,1,EMEF AFONSO GUERREIRO LIMA,EMEF AFONSO GUERREIRO LIMA,2025_1av_form_HABILIDADES_DESEMPENHO_TURMA_01anos_LP.csv
2025,2,EMEF AFONSO GUERREIRO LIMA,EMEF AFONSO GUERREIRO LIMA,2025_1av_form_HABILIDADES_DESEMPENHO_TURMA_02anos_LP.csv
2025,3,EMEF AFONSO GUERREIRO LIMA,EMEF AFONSO GUERREIRO LIMA,2025_1av_form_HABILIDADES_DESEMPENHO_TURMA_03anos_LP.csv
2025,4,EMEF AFONSO GUERREIRO LIMA,EMEF AFONSO GUERREIRO LIMA,2025_1av_form_HABILIDADES_DESEMPENHO_TURMA_04anos_LP.csv
2025,5,EMEF AFONSO GUERREIRO LIMA,EMEF AFONSO GUERREIRO LIMA,2025_1av_form_HABILIDADES_DESEMPENHO_TURMA_05anos_LP.csv
2026,1,EMEF AFONSO GUERREIRO LIMA,EMEF AFONSO GUERREIRO LIMA,2026_1av_form_HABILIDADES_DESEMPENHO_TURMA_01anos_LP.csv
2026,2,EMEF AFONSO GUERREIRO LIMA,EMEF AFONSO GUERREIRO LIMA,2026_1av_form_HABILIDADES_DESEMPENHO_TURMA_02anos_LP.csv
2026,3,EMEF AFONSO GUERREIRO LIMA,EMEF AFONSO GUERREIRO LIMA,2026_1av_form_HABILIDADES_DESEMPENHO_TURMA_03anos_LP.csv
2026,4,EMEF AFONSO GUERREIRO LIMA,EMEF AFONSO GUERREIRO LIMA,2026_1av_form_HABILIDADES_DESEMPENHO_TURMA_04anos_LP.csv
2026,5,EMEF AFONSO GUERREIRO LIMA,EMEF AFONSO GUERREIRO LIMA,2026_1av_form_HABILIDADES_DESEMPENHO_TURMA_05anos_LP.csv
2025,1,EMEF AMERICA,EMEF AMERICA,2025_1av_form_HABILIDADES_DESEMPENHO_TURMA_01anos_LP.csv
2025,2,EMEF AMERICA,EMEF AMERICA,2025_1av_form_HABILIDADES_DESEMPENHO_TURMA_02anos_LP.csv
2025,3,EMEF AMERICA,EMEF AMERICA,2025_1av_form_HABILIDADES_DESEMPENHO_TURMA_03anos_LP.csv
2025,4,EMEF AMERICA,EMEF AMERICA,2025_1av_form_HABILIDADES_DESEMPENHO_TURMA_04anos_LP.csv
2025,5,EMEF AMERICA,EMEF AMERICA,2025_1av_form_HABILIDADES_DESEMPENHO_TURMA_05anos_LP.csv
2026,1,EMEF AMERICA,EMEF AMERICA,2026_1av_form_HABILIDADES_DESEMPENHO_TURMA_01anos_LP.csv
2026,2,EMEF AMERICA,EMEF AMERICA,2026_1av_form_HABILIDADES_DESEMPENHO_TURMA_02anos_LP.csv
2026,3,EMEF AMERICA,EMEF AMERICA,2026_1av_form_HABILIDADES_DESEMPENHO_TURMA_03anos_LP.csv
2026,4,EMEF AMERICA,EMEF AMERICA,2026_1av_form_HABILIDADES_DESEMPENHO_TURMA_04anos_LP.csv
2026,5,EMEF AMERICA,EMEF AMERICA,2026_1av_form_HABILIDADES_DESEMPENHO_TURMA_05anos_LP.csv
2025,1,EMEF ARAMY SILVA,EMEF ARAMY SILVA,2025_1av_form_HABILIDADES_DESEMPENHO_TURMA_01anos_LP.csv
2025,2,EMEF ARAMY SILVA,EMEF ARAMY SILVA,2025_1av_form_HABILIDADES_DESEMPENHO_TURMA_02anos_LP.csv
2025,3,EMEF ARAMY SILVA,EMEF ARAMY SILVA,2025_1av_form_HABILIDADES_DESEMPENHO_TURMA_03anos_LP.csv
2025,4,EMEF ARAMY SILVA,EMEF ARAMY SILVA,2025_1av_form_HABILIDADES_DESEMPENHO_TURMA_04anos_LP.csv
2025,5,EMEF ARAMY SILVA,EMEF ARAMY SILVA,2025_1av_form_HABILIDADES_DESEMPENHO_TURMA_05anos_LP.csv
2026,1,EMEF ARAMY SILVA,EMEF ARAMY SILVA,2026_1av_form_HABILIDADES_DESEMPENHO_TURMA_01anos_LP.csv
2026,2,EMEF ARAMY SILVA,EMEF ARAMY SILVA,2026_1av_form_HABILIDADES_DESEMPENHO_TURMA_02anos_LP.csv
2026,3,EMEF ARAMY SILVA,EMEF ARAMY SILVA,2026_1av_form_HABILIDADES_DESEMPENHO_TURMA_03anos_LP.csv
2026,4,EMEF ARAMY SILVA,EMEF ARAMY SILVA,2026_1av_form_HABILIDADES_DESEMPENHO_TURMA_04anos_LP.csv
2026,5,EMEF ARAMY SILVA,EMEF ARAMY SILVA,2026_1av_form_HABILIDADES_DESEMPENHO_TURMA_05anos_LP.csv
2025,1,EMEF CAMPOS DO CRISTAL,EMEF CAMPOS DO CRISTAL,2025_1av_form_HABILIDADES_DESEMPENHO_TURMA_01anos_LP.csv
2025,2,EMEF CAMPOS DO CRISTAL,EMEF CAMPOS DO CRISTAL,2025_1av_form_HABILIDADES_DESEMPENHO_TURMA_02anos_LP.csv
2025,3,EMEF CAMPOS DO CRISTAL,EMEF CAMPOS DO CRISTAL,2025_1av_form_HABILIDADES_DESEMPENHO_TURMA_03anos_LP.csv
2025,4,EMEF CAMPOS DO CRISTAL,EMEF CAMPOS DO CRISTAL,2025_1av_form_HABILIDADES_DESEMPENHO_TURMA_04anos_LP.csv
2025,5,EMEF CAMPOS DO CRISTAL,EMEF CAMPOS DO CRISTAL,2025_1av_form_HABILIDADES_DESEMPENHO_TURMA_05anos_LP.csv
2026,1,EMEF CAMPOS DO CRISTAL,EMEF CAMPOS DO CRISTAL,2026_1av_form_HABILIDADES_DESEMPENHO_TURMA_01anos_LP.csv
2026,2,EMEF CAMPOS DO CRISTAL,EMEF CAMPOS DO CRISTAL,2026_1av_form_HABILIDADES_DESEMPENHO_TURMA_02anos_LP.csv
2026,3,EMEF CAMPOS DO CRISTAL,EMEF CAMPOS DO CRISTAL,2026_1av_form_HABILIDADES_DESEMPENHO_TURMA_03anos_LP.csv
2026,4,EMEF CAMPOS DO CRISTAL,EMEF CAMPOS DO CRISTAL,2026_1av_form_HABILIDADES_DESEMPENHO_TURMA_04anos_LP.csv
2026,5,EMEF CAMPOS DO CRISTAL,EMEF CAMPOS DO CRISTAL,2026_1av_form_HABILIDADES_DESEMPENHO_TURMA_05anos_LP.csv
2025,1,EMEF CHAPEU DO SOL,EMEF CHAPEU DO SOL,2025_1av_form_HABILIDADES_DESEMPENHO_TURMA_01anos_LP.csv
2025,2,EMEF CHAPEU DO SOL,EMEF CHAPEU DO SOL,2025_1av_form_HABILIDADES_DESEMPENHO_TURMA_02anos_LP.csv
2025,3,EMEF CHAPEU DO SOL,EMEF CHAPEU DO SOL,2025_1av_form_HABILIDADES_DESEMPENHO_TURMA_03anos_LP.csv
2025,4,EMEF CHAPEU DO SOL,EMEF CHAPEU DO SOL,2025_1av_form_HABILIDADES_DESEMPENHO_TURMA_04anos_LP.csv
2025,5,EMEF CHAPEU DO SOL,EMEF CHAPEU DO SOL,2025_1av_form_HABILIDADES_DESEMPENHO_TURMA_05anos_LP.csv
2026,1,EMEF CHAPEU DO SOL,EMEF CHAPEU DO SOL,2026_1av_form_HABILIDADES_DESEMPENHO_TURMA_01anos_LP.csv
2026,2,EMEF CHAPEU DO SOL,EMEF CHAPEU DO SOL,2026_1av_form_HABILIDADES_DESEMPENHO_TURMA_02anos_LP.csv
2026,3,EMEF CHAPEU DO SOL,EMEF CHAPEU DO SOL,2026_1av_form_HABILIDADES_DESEMPENHO_TURMA_03anos_LP.csv
