fonte,caminho,existe,tamanho_bytes,md5
indice_escola,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/indice_carga_potencial_escola.rds,TRUE,11334,26071e7d689b336cd0037df58fe42ac8
perfil_escola,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/perfil_escola_gerencial.rds,TRUE,20362,55eec136dbe6f9a74f58a85d38d8a9f7
