ordem_coluna,variavel,classe_r,valores_ausentes,valores_vazios_texto,percentual_ausente,valores_distintos
1,id_escola,character,0,0,0,56
2,codigo_inep,character,0,0,0,56
3,codigo_inep_valido,logical,0,0,0,1
4,nome_canonico,character,0,0,0,56
5,nome_vinculo_original,character,5,0,1.7857142857142858,55
6,chave_nome,character,0,0,0,56
7,assessora,character,5,0,1.7857142857142858,12
8,assessora_gerencial,character,0,0,0,13
9,ano_escolar,integer,0,0,0,5
10,componente,character,0,0,0,1
11,painel_balanceado,logical,0,0,0,2
12,painel_resultado_balanceado,logical,0,0,0,2
13,contexto_2024_encontrado,logical,0,0,0,1
14,amostra_principal_descritiva,logical,0,0,0,2
15,amostra_municipal_direta_2024,logical,0,0,0,2
16,amostra_municipal_ampliada_2024,logical,0,0,0,2
17,amostra_rede_operacional_2025,logical,0,0,0,2
18,incluir_universo_municipal_direto_2024,logical,0,0,0,2
19,incluir_universo_municipal_ampliado_2024,logical,0,0,0,2
20,incluir_rede_municipal_operacional_2025,logical,0,0,0,2
21,grupo_administrativo_2024_final,character,0,0,0,5
22,tipo_vinculo_rede_final,character,0,0,0,5
23,status_rede_2025_final,character,0,0,0,3
24,dependencia_administrativa_2024,character,0,0,0,3
25,situacao_funcionamento_2024,character,0,0,0,1
26,municipalizada_apos_2024,logical,0,0,0,2
27,privada_vinculada_final,logical,0,0,0,2
28,matriculas_anos_iniciais,numeric,0,0,0,51
29,turmas_anos_iniciais,numeric,0,0,0,20
30,docentes_anos_iniciais,numeric,0,0,0,26
31,alunos_por_turma_anos_iniciais,numeric,5,0,1.7857142857142858,50
32,alunos_por_docente_anos_iniciais,numeric,5,0,1.7857142857142858,55
33,pct_matriculas_anos_iniciais_integral,numeric,0,0,0,38
34,pct_matriculas_educacao_especial,numeric,0,0,0,56
35,pct_matriculas_transporte_publico,numeric,0,0,0,42
36,pct_matriculas_preta_parda_indigena,numeric,0,0,0,56
37,numero_etapas_amplas_ofertadas,numeric,0,0,0,4
38,indice_infraestrutura_basica,numeric,0,0,0,5
39,quartil_infraestrutura_escola,character,10,0,3.5714285714285716,3
40,faixa_porte_contextual_escola,character,10,0,3.5714285714285716,4
41,estratos_corrigidos_disponiveis,logical,0,0,0,2
42,previstos_2025,numeric,11,0,3.9285714285714284,110
43,avaliados_2025,numeric,11,0,3.9285714285714284,95
44,taxa_participacao_2025,numeric,11,0,3.9285714285714284,217
45,proficiencia_media_2025,numeric,11,0,3.9285714285714284,261
46,pct_defasagem_2025,numeric,11,0,3.9285714285714284,250
47,pct_intermediario_2025,numeric,11,0,3.9285714285714284,258
48,pct_adequado_2025,numeric,11,0,3.9285714285714284,259
49,previstos_2026,numeric,4,0,1.4285714285714286,105
50,avaliados_2026,numeric,4,0,1.4285714285714286,103
51,taxa_participacao_2026,numeric,4,0,1.4285714285714286,220
52,proficiencia_media_2026,numeric,4,0,1.4285714285714286,269
53,pct_defasagem_2026,numeric,4,0,1.4285714285714286,261
54,pct_intermediario_2026,numeric,4,0,1.4285714285714286,263
55,pct_adequado_2026,numeric,4,0,1.4285714285714286,263
56,peso_medio_avaliados,numeric,15,0,5.357142857142857,142
57,delta_participacao,numeric,15,0,5.357142857142857,260
58,delta_proficiencia,numeric,15,0,5.357142857142857,263
59,delta_pct_defasagem,numeric,15,0,5.357142857142857,261
60,delta_pct_intermediario,numeric,15,0,5.357142857142857,263
61,delta_pct_adequado,numeric,15,0,5.357142857142857,264
62,variacao_relativa_previstos,numeric,15,0,5.357142857142857,221
63,variacao_relativa_avaliados,numeric,15,0,5.357142857142857,234
64,observacao_composicao,character,0,0,0,8
65,numero_turmas_2025,numeric,11,0,3.9285714285714284,6
66,numero_turmas_2026,numeric,4,0,1.4285714285714286,7
67,presente_2025,logical,0,0,0,2
68,presente_2026,logical,0,0,0,2
69,resultado_disponivel_2025,logical,0,0,0,2
70,resultado_disponivel_2026,logical,0,0,0,2
71,delta_numero_turmas,numeric,15,0,5.357142857142857,5
72,delta_previstos,numeric,15,0,5.357142857142857,66
73,delta_avaliados,numeric,15,0,5.357142857142857,62
74,participacao_minima_70_ambos,logical,15,0,5.357142857142857,2
75,participacao_minima_80_ambos,logical,15,0,5.357142857142857,2
76,participacao_minima_90_ambos,logical,15,0,5.357142857142857,2
77,aumento_participacao_10pp,logical,15,0,5.357142857142857,2
78,queda_participacao_10pp,logical,15,0,5.357142857142857,2
79,mudanca_previstos_20pct,logical,15,0,5.357142857142857,2
80,turma_escola_pequena_2025,logical,11,0,3.9285714285714284,2
81,turma_escola_pequena_2026,logical,4,0,1.4285714285714286,2
82,nome_inep,character,0,0,0,56
83,metodo_correspondencia_inep,character,0,0,0,2
84,status_codigo_inep,character,0,0,0,1
85,observacao_codigo_inep,character,255,0,91.07142857142857,4
86,tipo_vinculo_rede,character,0,0,0,5
87,exposicao_2025_1av,integer,0,0,0,1
88,programa_iniciado_apos_2025_1av,logical,0,0,0,1
89,dose_assessoramento_observada,logical,0,0,0,1
90,possivel_municipalizacao_recente,logical,0,0,0,2
91,escola_nova_recente,character,0,0,0,2
92,status_rede_2025,character,0,0,0,3
93,observacao_historico,character,0,0,0,7
94,status_validacao,character,0,0,0,1
95,ano_contexto,numeric,0,0,0,1
96,fonte_contexto,character,0,0,0,1
97,contexto_pre_programa,logical,0,0,0,1
98,rede,numeric,0,0,0,3
99,tipo_categoria_escola_privada,numeric,265,0,94.64285714285714,1
100,tipo_localizacao,numeric,0,0,0,1
