campo,valor
id_execucao,20260730_212403
instante,2026-07-30 21:24:40 -0300
branch,refatoracao_modulo_21
commit_base,08909963e394556d32711ceba66d18b80664efff
caminho_script,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/R/20_gerar_fichas_carteiras.R
md5_script,50ac11259a49e4538c1323b5e42d1458
status_pdf,GERADO
mensagem_pdf,
