arquivo,md5_candidato,md5_promovido,hash_igual
graficos/carteira_priscila_composicao.png,ebbd4101a94696f27d45074b063ab97e,ebbd4101a94696f27d45074b063ab97e,TRUE
graficos/carteira_priscila_dimensoes.png,16d4a0d381cf6fbc3cab32ffe16529d5,16d4a0d381cf6fbc3cab32ffe16529d5,TRUE
graficos/carteira_priscila_participacao.png,dff0307da1f8ad2a6442f5c7a53a83b1,dff0307da1f8ad2a6442f5c7a53a83b1,TRUE
graficos/carteira_priscila_proficiencia.png,5ed3873ab2efe592b2dcc9de3a19a89d,5ed3873ab2efe592b2dcc9de3a19a89d,TRUE
graficos/carteira_ruti_composicao.png,57eeb205a6793679fe61a69fa5d7dfec,57eeb205a6793679fe61a69fa5d7dfec,TRUE
graficos/carteira_ruti_dimensoes.png,2ff0d12821970f3dde02bdef5ea6abca,2ff0d12821970f3dde02bdef5ea6abca,TRUE
graficos/carteira_ruti_participacao.png,9cbd80e515f42be9ea6509395be53bc7,9cbd80e515f42be9ea6509395be53bc7,TRUE
graficos/carteira_ruti_proficiencia.png,521ff0a7a081e149468cbf00dc553561,521ff0a7a081e149468cbf00dc553561,TRUE
html/carteira_amanda.html,0b63250d140767e61d07760c95fd35d5,0b63250d140767e61d07760c95fd35d5,TRUE
html/carteira_andreia.html,ac89cfb1fc62690067a1488fea202fa8,ac89cfb1fc62690067a1488fea202fa8,TRUE
html/carteira_clarissa.html,3d4726c7db25033f58a363077b6e9815,3d4726c7db25033f58a363077b6e9815,TRUE
html/carteira_eliane.html,b173ec7d951632b21ee39abb3b8d8f63,b173ec7d951632b21ee39abb3b8d8f63,TRUE
html/carteira_graziela.html,83e7fd6cb93970be3faba8630e84465d,83e7fd6cb93970be3faba8630e84465d,TRUE
html/carteira_jalize.html,0adca929aef0ec45f3f69528e0bed816,0adca929aef0ec45f3f69528e0bed816,TRUE
html/carteira_julia.html,155983a1e67dacc111beccb1893bec72,155983a1e67dacc111beccb1893bec72,TRUE
html/carteira_marian.html,165d82e3d7f7d1eb9fe5a6c3dfe898fd,165d82e3d7f7d1eb9fe5a6c3dfe898fd,TRUE
html/carteira_nathalia.html,2e7d99c215add5fa3dbfb580630c631e,2e7d99c215add5fa3dbfb580630c631e,TRUE
html/carteira_priscila.html,7a5e5904b940ebc9df1e879494c9d7be,7a5e5904b940ebc9df1e879494c9d7be,TRUE
html/carteira_ruti.html,b2a7bb6d7e45feaa9f6150a8df031d6f,b2a7bb6d7e45feaa9f6150a8df031d6f,TRUE
indice_fichas_carteiras.csv,013d69c7dc6754239e7085664168c3c1,013d69c7dc6754239e7085664168c3c1,TRUE
indice_fichas_carteiras.rds,503664ba7a60a26df40e5c3ee15da87e,503664ba7a60a26df40e5c3ee15da87e,TRUE
