fonte,linhas_rds,linhas_csv,colunas_rds,colunas_csv,mesmos_nomes,mesmos_tipos,mesmas_dimensoes,mesmos_valores,detalhe,aprovado
base_fichas_carteiras,11,11,29,29,TRUE,TRUE,TRUE,TRUE,equivalentes,TRUE
indice_fichas_carteiras,11,11,13,13,TRUE,TRUE,TRUE,TRUE,equivalentes,TRUE
