campo,valor
branch_esperada,refatoracao_modulo_21
branch_observada,refatoracao_modulo_21
commit_esperado,c770cf6117a6408d787d6fd1eb3f51f48b4b1ca6
commit_observado,c770cf6117a6408d787d6fd1eb3f51f48b4b1ca6
working_tree_sem_alteracao_bloqueante,TRUE
