id_escola,codigo_inep,nome_canonico,assessora,ano_escolar,componente,presente_2025,presente_2026,painel_balanceado,painel_resultado_balanceado,previstos_2025,previstos_2026,variacao_relativa_previstos,avaliados_2025,avaliados_2026,taxa_participacao_2025,taxa_participacao_2026,delta_participacao,proficiencia_media_2025,proficiencia_media_2026,delta_proficiencia,observacao_composicao
ESC_052,,EMEF WENCESLAU FONTOURA,eliane,1,Língua Portuguesa,TRUE,TRUE,TRUE,TRUE,93,90,-3.225806451612903,70,80,75.26881720430107,88.88888888888889,13.620071684587812,61.15714285714286,31.35,-29.807142857142857,Aumento de participação igual ou superior a 10 p.p.
ESC_044,,EMEF SAINT HILAIRE,andreia,1,Língua Portuguesa,TRUE,TRUE,TRUE,TRUE,75,87,16,51,71,68,81.60919540229885,13.609195402298852,51.09803921568628,26.380281690140844,-24.717757525545434,Aumento de participação igual ou superior a 10 p.p.
ESC_046,,EMEF SEN ALBERTO PASQUALINI,julia,1,Língua Portuguesa,TRUE,TRUE,TRUE,TRUE,66,86,30.303030303030305,42,66,63.63636363636363,76.74418604651163,13.107822410147996,48.523809523809526,56.93939393939394,8.415584415584412,Mudança relevante no público previsto e aumento de participação
ESC_039,,EMEF PROF ANISIO TEIXEIRA,andreia,1,Língua Portuguesa,TRUE,TRUE,TRUE,TRUE,77,73,-5.194805194805195,61,67,79.22077922077922,91.78082191780824,12.560042697029004,67.73770491803279,48.44776119402985,-19.28994372400294,Aumento de participação igual ou superior a 10 p.p.
ESC_025,,EMEF LEOCADIA FELIZARDO PRESTES,graziela,1,Língua Portuguesa,TRUE,TRUE,TRUE,TRUE,49,41,-16.3265306122449,36,35,73.46938775510205,85.36585365853658,11.896465903434532,40,52.05714285714286,12.057142857142855,Aumento de participação igual ou superior a 10 p.p.
ESC_004,,EMEF AMERICA,nathalia,1,Língua Portuguesa,TRUE,TRUE,TRUE,TRUE,47,38,-19.148936170212767,38,35,80.85106382978724,92.10526315789474,11.254199328107504,26.05263157894737,30.02857142857143,3.9759398496240586,Aumento de participação igual ou superior a 10 p.p.
ESC_050,,EMEF VER MARTIM ARANHA,priscila,1,Língua Portuguesa,TRUE,TRUE,TRUE,TRUE,55,71,29.09090909090909,38,57,69.0909090909091,80.28169014084507,11.190781049935978,58.05263157894737,10.192982456140353,-47.85964912280702,Mudança relevante no público previsto e aumento de participação
ESC_031,,EMEF NEUSA GOULART BRIZOLA,julia,1,Língua Portuguesa,TRUE,TRUE,TRUE,TRUE,42,63,50,30,52,71.42857142857143,82.53968253968254,11.111111111111114,79.5,38.92307692307692,-40.57692307692308,Mudança relevante no público previsto e aumento de participação
ESC_048,,EMEF VER ANTONIO GIUDICE,clarissa,1,Língua Portuguesa,TRUE,TRUE,TRUE,TRUE,87,89,2.2988505747126435,65,76,74.71264367816092,85.3932584269663,10.680614748805382,60.44615384615385,37.276315789473685,-23.169838056680163,Aumento de participação igual ou superior a 10 p.p.
ESC_008,,EMEF CHICO MENDES,eliane,1,Língua Portuguesa,TRUE,TRUE,TRUE,TRUE,97,92,-5.154639175257732,72,78,74.22680412371135,84.78260869565217,10.555804571940826,58.611111111111114,13.884615384615383,-44.72649572649573,Aumento de participação igual ou superior a 10 p.p.
ESC_051,,EMEF VILA MONTE CRISTO,graziela,1,Língua Portuguesa,TRUE,TRUE,TRUE,TRUE,79,84,6.329113924050633,56,68,70.88607594936708,80.95238095238095,10.066305003013866,82.58928571428571,36.86764705882353,-45.72163865546218,Aumento de participação igual ou superior a 10 p.p.
ESC_042,,EMEF PROF LARRY JOSE RIBEIRO ALVES,amanda,1,Língua Portuguesa,TRUE,TRUE,TRUE,TRUE,86,84,-2.3255813953488373,61,68,70.93023255813954,80.95238095238095,10.022148394241412,43.91803278688525,25.86764705882353,-18.05038572806172,Aumento de participação igual ou superior a 10 p.p.
ESC_024,,EMEF LAURO RODRIGUES,clarissa,1,Língua Portuguesa,TRUE,TRUE,TRUE,TRUE,63,88,39.682539682539684,51,79,80.95238095238095,89.77272727272727,8.820346320346317,63.35294117647059,57.30379746835443,-6.049143708116155,Mudança relevante no número de estudantes previstos
ESC_020,,EMEF JOAO ANTONIO SATTE,eliane,1,Língua Portuguesa,TRUE,TRUE,TRUE,TRUE,61,114,86.88524590163935,45,92,73.77049180327869,80.70175438596492,6.93126258268623,72.71111111111111,40.28260869565217,-32.42850241545894,Mudança relevante no número de estudantes previstos
ESC_049,,EMEF VER CARLOS PESSOA DE BRUM,priscila,1,Língua Portuguesa,TRUE,TRUE,TRUE,TRUE,120,93,-22.5,86,73,71.66666666666667,78.49462365591398,6.827956989247312,48.2906976744186,10.89041095890411,-37.4002867155145,Mudança relevante no número de estudantes previstos
ESC_034,,EMEF PEPITA DE LEAO,nathalia,1,Língua Portuguesa,TRUE,TRUE,TRUE,TRUE,67,43,-35.82089552238806,51,34,76.11940298507463,79.06976744186046,2.9503644567858345,88.11764705882354,35,-53.117647058823536,Mudança relevante no número de estudantes previstos
ESC_019,,EMEF JEAN PIAGET,clarissa,1,Língua Portuguesa,TRUE,TRUE,TRUE,TRUE,61,109,78.68852459016394,51,90,83.60655737704919,82.56880733944953,-1.0377500375996505,72.92156862745098,36.84444444444444,-36.07712418300654,Mudança relevante no número de estudantes previstos
ESC_028,,EMEF MIGRANTES,nathalia,1,Língua Portuguesa,TRUE,TRUE,TRUE,TRUE,18,23,27.77777777777778,14,18,77.77777777777777,78.26086956521739,0.4830917874396192,74,35,-39,Mudança relevante no número de estudantes previstos
ESC_033,,EMEF NOSSA SENHORA DO CARMO,amanda,1,Língua Portuguesa,TRUE,TRUE,TRUE,TRUE,67,94,40.298507462686565,54,76,80.59701492537313,80.85106382978724,0.25404890441410544,49.629629629629626,14.921052631578949,-34.70857699805068,Mudança relevante no número de estudantes previstos
ESC_013,,EMEF ESPIRITO SANTO,priscila,1,Língua Portuguesa,FALSE,TRUE,FALSE,FALSE,,18,,,15,,83.33333333333333,,,41,,Escola-série ausente em um dos anos
ESC_014,,EMEF EVARISTO GONCALVES NETTO,jalize,1,Língua Portuguesa,FALSE,TRUE,FALSE,FALSE,,24,,,17,,70.83333333333333,,,6,,Escola-série ausente em um dos anos
ESC_055,,ESCOLA DE ENSINO FUNDAMENTAL MADRE RAFFO,outras,1,Língua Portuguesa,TRUE,TRUE,TRUE,TRUE,13,6,-53.84615384615385,13,6,100,100,0,100,31,-69,Mudança relevante no número de estudantes previstos
ESC_055,,ESCOLA DE ENSINO FUNDAMENTAL MADRE RAFFO,outras,2,Língua Portuguesa,TRUE,TRUE,TRUE,TRUE,5,14,180,3,14,60,100,40,68,65,-3,Mudança relevante no público previsto e aumento de participação
ESC_040,,EMEF PROF GILBERTO JORGE GONCALVES DA SILVA,ruti,2,Língua Portuguesa,TRUE,TRUE,TRUE,TRUE,21,21,0,14,21,66.66666666666667,100,33.33333333333333,92,41,-51,Aumento de participação igual ou superior a 10 p.p.
ESC_036,,EMEF PRES JOAO BELCHIOR MARQUES GOULART,marian,2,Língua Portuguesa,TRUE,TRUE,TRUE,TRUE,65,58,-10.76923076923077,42,53,64.61538461538461,91.3793103448276,26.763925729442978,75.28571428571429,51.301886792452834,-23.983827493261455,Aumento de participação igual ou superior a 10 p.p.
ESC_001,,EEF PEQUENA CASA DA CRIANCA,outras,2,Língua Portuguesa,TRUE,TRUE,TRUE,TRUE,56,46,-17.857142857142858,37,41,66.07142857142857,89.1304347826087,23.059006211180133,57.37837837837838,41.90243902439025,-15.475939353988132,Aumento de participação igual ou superior a 10 p.p.
ESC_009,,EMEF DECIO MARTINS COSTA,nathalia,2,Língua Portuguesa,TRUE,TRUE,TRUE,TRUE,104,96,-7.6923076923076925,73,88,70.1923076923077,91.66666666666669,21.474358974358974,35.31506849315068,39.86363636363637,4.548567870485684,Aumento de participação igual ou superior a 10 p.p.
