fonte,ano,ano_escolar,nome_original,nome_sem_codigo,chave_nome,arquivo_origem,nome_vinculo_original,assessora,status_correspondencia
CAEd,2026,3,7028 ESCOLA DE ENSINO FUNDAMENTAL MADRE RAFFO,ESCOLA DE ENSINO FUNDAMENTAL MADRE RAFFO,ESCOLA DE ENSINO FUNDAMENTAL MADRE RAFFO,2026_1av_form_HABILIDADES_DESEMPENHO_TURMA_03anos_LP.csv,7028 ESCOLA DE ENSINO FUNDAMENTAL MADRE RAFFO,outras,exata_normalizada
CAEd,2026,4,7028 ESCOLA DE ENSINO FUNDAMENTAL MADRE RAFFO,ESCOLA DE ENSINO FUNDAMENTAL MADRE RAFFO,ESCOLA DE ENSINO FUNDAMENTAL MADRE RAFFO,2026_1av_form_HABILIDADES_DESEMPENHO_TURMA_04anos_LP.csv,7028 ESCOLA DE ENSINO FUNDAMENTAL MADRE RAFFO,outras,exata_normalizada
CAEd,2026,5,7028 ESCOLA DE ENSINO FUNDAMENTAL MADRE RAFFO,ESCOLA DE ENSINO FUNDAMENTAL MADRE RAFFO,ESCOLA DE ENSINO FUNDAMENTAL MADRE RAFFO,2026_1av_form_HABILIDADES_DESEMPENHO_TURMA_05anos_LP.csv,7028 ESCOLA DE ENSINO FUNDAMENTAL MADRE RAFFO,outras,exata_normalizada
CAEd,2025,1,EMEB DR LIBERATO SALZANO VIEIRA DA CUNHA,EMEB DR LIBERATO SALZANO VIEIRA DA CUNHA,EMEB DR LIBERATO SALZANO VIEIRA DA CUNHA,2025_1av_form_HABILIDADES_DESEMPENHO_TURMA_01anos_LP.csv,EMEB DR LIBERATO SALZANO VIEIRA DA CUNHA,clarissa,exata_normalizada
CAEd,2025,2,EMEB DR LIBERATO SALZANO VIEIRA DA CUNHA,EMEB DR LIBERATO SALZANO VIEIRA DA CUNHA,EMEB DR LIBERATO SALZANO VIEIRA DA CUNHA,2025_1av_form_HABILIDADES_DESEMPENHO_TURMA_02anos_LP.csv,EMEB DR LIBERATO SALZANO VIEIRA DA CUNHA,clarissa,exata_normalizada
CAEd,2025,3,EMEB DR LIBERATO SALZANO VIEIRA DA CUNHA,EMEB DR LIBERATO SALZANO VIEIRA DA CUNHA,EMEB DR LIBERATO SALZANO VIEIRA DA CUNHA,2025_1av_form_HABILIDADES_DESEMPENHO_TURMA_03anos_LP.csv,EMEB DR LIBERATO SALZANO VIEIRA DA CUNHA,clarissa,exata_normalizada
CAEd,2025,4,EMEB DR LIBERATO SALZANO VIEIRA DA CUNHA,EMEB DR LIBERATO SALZANO VIEIRA DA CUNHA,EMEB DR LIBERATO SALZANO VIEIRA DA CUNHA,2025_1av_form_HABILIDADES_DESEMPENHO_TURMA_04anos_LP.csv,EMEB DR LIBERATO SALZANO VIEIRA DA CUNHA,clarissa,exata_normalizada
CAEd,2025,5,EMEB DR LIBERATO SALZANO VIEIRA DA CUNHA,EMEB DR LIBERATO SALZANO VIEIRA DA CUNHA,EMEB DR LIBERATO SALZANO VIEIRA DA CUNHA,2025_1av_form_HABILIDADES_DESEMPENHO_TURMA_05anos_LP.csv,EMEB DR LIBERATO SALZANO VIEIRA DA CUNHA,clarissa,exata_normalizada
CAEd,2026,1,EMEB DR LIBERATO SALZANO VIEIRA DA CUNHA,EMEB DR LIBERATO SALZANO VIEIRA DA CUNHA,EMEB DR LIBERATO SALZANO VIEIRA DA CUNHA,2026_1av_form_HABILIDADES_DESEMPENHO_TURMA_01anos_LP.csv,EMEB DR LIBERATO SALZANO VIEIRA DA CUNHA,clarissa,exata_normalizada
CAEd,2026,2,EMEB DR LIBERATO SALZANO VIEIRA DA CUNHA,EMEB DR LIBERATO SALZANO VIEIRA DA CUNHA,EMEB DR LIBERATO SALZANO VIEIRA DA CUNHA,2026_1av_form_HABILIDADES_DESEMPENHO_TURMA_02anos_LP.csv,EMEB DR LIBERATO SALZANO VIEIRA DA CUNHA,clarissa,exata_normalizada
