campo,valor
id_execucao,20260729_233939
instante,2026-07-29 23:39:39 -0300
branch,refatoracao_modulo_21
commit_base,d098ad77be7233829bc235112aaa1fe86f9b86a5
caminho_script,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/R/19_gerar_fichas_escolas.R
md5_script,b0cec7ab570673a022d830ecd2e3ac51
status_pdf,GERADO
mensagem_pdf,
