arquivo,caminho,existe,tamanho_bytes,md5
base_csv,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/historico/fichas_escolas/pre_refatoracao_execucao_20260729_233939/base_fichas_escolas.csv,TRUE,46457,3c4dfc1808301f00d4fc8d3ffddc90bf
base_rds,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/historico/fichas_escolas/pre_refatoracao_execucao_20260729_233939/base_fichas_escolas.rds,TRUE,11357,8e088b4d02ef27b585c767f9f035f5fc
indice_csv,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/historico/fichas_escolas/pre_refatoracao_execucao_20260729_233939/indice_fichas_escolas.csv,TRUE,29423,1a74784c9940c36a3d9a3b2f17050d47
indice_rds,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/historico/fichas_escolas/pre_refatoracao_execucao_20260729_233939/indice_fichas_escolas.rds,TRUE,4103,6e9acd39ce012e58b328f318ac6a88e2
dicionario_csv,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/historico/fichas_escolas/pre_refatoracao_execucao_20260729_233939/dicionario_base_fichas_escolas.csv,TRUE,7517,05a5a8e16300cf0b81d23dde5f4cb2fc
