arquivo,md5_candidato,md5_promovido,hash_igual
graficos/ESC_011_emef-dep-victor-issler_dimensoes_operacionais.png,9166bad48b8d820baff5159ba0095e98,9166bad48b8d820baff5159ba0095e98,TRUE
graficos/ESC_011_emef-dep-victor-issler_participacao.png,a04d2e71ced3a1676901cf00205215a0,a04d2e71ced3a1676901cf00205215a0,TRUE
graficos/ESC_011_emef-dep-victor-issler_proficiencia.png,73fd625542bc3f1fb0fe64b0612d0c7e,73fd625542bc3f1fb0fe64b0612d0c7e,TRUE
graficos/ESC_012_emef-dolores-alcaraz-caldas_dimensoes_operacionais.png,54ab31cefc488933bcb962872dacd6d2,54ab31cefc488933bcb962872dacd6d2,TRUE
graficos/ESC_012_emef-dolores-alcaraz-caldas_participacao.png,d5754ab7ec4155f8d56a22a09d113cb8,d5754ab7ec4155f8d56a22a09d113cb8,TRUE
graficos/ESC_012_emef-dolores-alcaraz-caldas_proficiencia.png,40b01cb975ec530127469376d865341d,40b01cb975ec530127469376d865341d,TRUE
graficos/ESC_013_emef-espirito-santo_dimensoes_operacionais.png,4780b4969c95b32d2ac8335c07522eb5,4780b4969c95b32d2ac8335c07522eb5,TRUE
graficos/ESC_013_emef-espirito-santo_participacao.png,541aaf7692e6e22b3ca2dcb413dd26d2,541aaf7692e6e22b3ca2dcb413dd26d2,TRUE
graficos/ESC_013_emef-espirito-santo_proficiencia.png,188b66798ad4cf8bb1267d04397131d4,188b66798ad4cf8bb1267d04397131d4,TRUE
graficos/ESC_014_emef-evaristo-goncalves-netto_dimensoes_operacionais.png,d48c97a4ba06030e0b5ebefac8848c3c,d48c97a4ba06030e0b5ebefac8848c3c,TRUE
graficos/ESC_014_emef-evaristo-goncalves-netto_participacao.png,20e5b29851ba5f77e5969841c00bd2b3,20e5b29851ba5f77e5969841c00bd2b3,TRUE
graficos/ESC_014_emef-evaristo-goncalves-netto_proficiencia.png,ca5aef375ecdfe2efc9a04c1157192a5,ca5aef375ecdfe2efc9a04c1157192a5,TRUE
graficos/ESC_015_emef-gabriel-obino_dimensoes_operacionais.png,16cbb9f28f228a92bf68da67fe0fe745,16cbb9f28f228a92bf68da67fe0fe745,TRUE
graficos/ESC_015_emef-gabriel-obino_participacao.png,94da295c62660b2add15e77fb78875b2,94da295c62660b2add15e77fb78875b2,TRUE
graficos/ESC_015_emef-gabriel-obino_proficiencia.png,b426fb343e52ec31e38d647036a5503b,b426fb343e52ec31e38d647036a5503b,TRUE
graficos/ESC_016_emef-gov-ildo-meneghetti_dimensoes_operacionais.png,52f60bd12c89806f97022468ba0ba5aa,52f60bd12c89806f97022468ba0ba5aa,TRUE
graficos/ESC_016_emef-gov-ildo-meneghetti_participacao.png,4c87379c80212021a03eb29d2a07e693,4c87379c80212021a03eb29d2a07e693,TRUE
graficos/ESC_016_emef-gov-ildo-meneghetti_proficiencia.png,53a2ac999e7c2ccf1b061d4f7c4275ab,53a2ac999e7c2ccf1b061d4f7c4275ab,TRUE
graficos/ESC_017_emef-grande-oriente-do-rgs_dimensoes_operacionais.png,2c9ba4edd9ed426b2e2798262aa7b654,2c9ba4edd9ed426b2e2798262aa7b654,TRUE
graficos/ESC_017_emef-grande-oriente-do-rgs_participacao.png,4b1e282ef32c81931ef1548715f6a9ac,4b1e282ef32c81931ef1548715f6a9ac,TRUE
graficos/ESC_017_emef-grande-oriente-do-rgs_proficiencia.png,3eb41edba9b989a3c296675826f3ad54,3eb41edba9b989a3c296675826f3ad54,TRUE
graficos/ESC_018_emef-heitor-villa-lobos_dimensoes_operacionais.png,b4aa7a5051af836b6d625e46653377e9,b4aa7a5051af836b6d625e46653377e9,TRUE
graficos/ESC_018_emef-heitor-villa-lobos_participacao.png,917268da9962dd1e6a6d5931cad5f840,917268da9962dd1e6a6d5931cad5f840,TRUE
graficos/ESC_018_emef-heitor-villa-lobos_proficiencia.png,2b8dfaafbed6746e3f5f0b34d8d3c5fb,2b8dfaafbed6746e3f5f0b34d8d3c5fb,TRUE
graficos/ESC_019_emef-jean-piaget_dimensoes_operacionais.png,eb7bd6bfab97fc2615179e3b7ed7279b,eb7bd6bfab97fc2615179e3b7ed7279b,TRUE
graficos/ESC_019_emef-jean-piaget_participacao.png,8787e7757536a69ea471a69fa4d5e575,8787e7757536a69ea471a69fa4d5e575,TRUE
graficos/ESC_019_emef-jean-piaget_proficiencia.png,30c6dfcf20674a0fc588b5f05d3f1611,30c6dfcf20674a0fc588b5f05d3f1611,TRUE
graficos/ESC_020_emef-joao-antonio-satte_dimensoes_operacionais.png,cb63911a298d6ab03ddb90ffaa53c1a9,cb63911a298d6ab03ddb90ffaa53c1a9,TRUE
graficos/ESC_020_emef-joao-antonio-satte_participacao.png,d0040033713330215de699272a5f29c5,d0040033713330215de699272a5f29c5,TRUE
graficos/ESC_020_emef-joao-antonio-satte_proficiencia.png,e58789cea508992a26c0227311a3736b,e58789cea508992a26c0227311a3736b,TRUE
graficos/ESC_021_emef-joao-carlos-davila-paixao-cortes-lacador_dimensoes_operacionais.png,47d2ec6f1761bb31510f5c450430c86b,47d2ec6f1761bb31510f5c450430c86b,TRUE
graficos/ESC_021_emef-joao-carlos-davila-paixao-cortes-lacador_participacao.png,bb698bb84abde07775c497ed1124ae7b,bb698bb84abde07775c497ed1124ae7b,TRUE
graficos/ESC_021_emef-joao-carlos-davila-paixao-cortes-lacador_proficiencia.png,4f839495a27af320a14e8e5876a0d77a,4f839495a27af320a14e8e5876a0d77a,TRUE
graficos/ESC_022_emef-jose-loureiro-da-silva_dimensoes_operacionais.png,271116099a444d0d44693beb7d738d58,271116099a444d0d44693beb7d738d58,TRUE
graficos/ESC_022_emef-jose-loureiro-da-silva_participacao.png,67f8f1683bac2016c2fd2dd2a222a538,67f8f1683bac2016c2fd2dd2a222a538,TRUE
graficos/ESC_022_emef-jose-loureiro-da-silva_proficiencia.png,c449b36587352e61cad35152c6d09354,c449b36587352e61cad35152c6d09354,TRUE
graficos/ESC_023_emef-jose-mariano-beck_dimensoes_operacionais.png,f2a02c8f57c56527da546df07b7c25c5,f2a02c8f57c56527da546df07b7c25c5,TRUE
graficos/ESC_023_emef-jose-mariano-beck_participacao.png,133372fabf37fc1ea27ed28c109043bc,133372fabf37fc1ea27ed28c109043bc,TRUE
graficos/ESC_023_emef-jose-mariano-beck_proficiencia.png,1c2be9419b85f46e6c050bb2e4558af0,1c2be9419b85f46e6c050bb2e4558af0,TRUE
graficos/ESC_024_emef-lauro-rodrigues_dimensoes_operacionais.png,9092d92192bab2b9156e687074b9175d,9092d92192bab2b9156e687074b9175d,TRUE
graficos/ESC_024_emef-lauro-rodrigues_participacao.png,10c41b56dd9642a6b532e9e544a62b52,10c41b56dd9642a6b532e9e544a62b52,TRUE
graficos/ESC_024_emef-lauro-rodrigues_proficiencia.png,7f6e2a3209edba44efcdd678217a6299,7f6e2a3209edba44efcdd678217a6299,TRUE
graficos/ESC_025_emef-leocadia-felizardo-prestes_dimensoes_operacionais.png,cb453a6983690a27c8617a024d97eed2,cb453a6983690a27c8617a024d97eed2,TRUE
graficos/ESC_025_emef-leocadia-felizardo-prestes_participacao.png,379fef6ccbb07e90ef9064df633dd25f,379fef6ccbb07e90ef9064df633dd25f,TRUE
