parametro,valor
universo_institucional,56
universo_operacional,53
fichas_nao_operacionais,3
assessoras,11
peso_volume,"0,40"
peso_estrutura,"0,35"
peso_administracao,"0,25"
peso_educacional,0
pdf_compilado,GERADO
