variavel_contexto,variavel_resultado,ano_escolar,numero_observacoes,correlacao
alunos_por_turma_anos_iniciais,taxa_participacao_2025,4,53,0.12299302480914853
alunos_por_turma_anos_iniciais,taxa_participacao_2025,5,52,0.2577940628310054
indice_infraestrutura_basica,delta_participacao,1,54,-0.14210028314316545
indice_infraestrutura_basica,delta_participacao,2,53,-0.05091814358719068
indice_infraestrutura_basica,delta_participacao,3,53,-0.2438358333012812
indice_infraestrutura_basica,delta_participacao,4,53,-0.07953429633892209
indice_infraestrutura_basica,delta_participacao,5,52,0.023175036323261157
indice_infraestrutura_basica,delta_pct_adequado,1,54,0.03886155901986998
indice_infraestrutura_basica,delta_pct_adequado,2,53,0.04165113899724479
indice_infraestrutura_basica,delta_pct_adequado,3,53,-0.017242616394361223
indice_infraestrutura_basica,delta_pct_adequado,4,53,0.0864391494431614
indice_infraestrutura_basica,delta_pct_adequado,5,52,0.05994073600453672
indice_infraestrutura_basica,delta_pct_defasagem,1,54,0.09898250464308318
indice_infraestrutura_basica,delta_pct_defasagem,2,53,-0.011422840510465784
indice_infraestrutura_basica,delta_pct_defasagem,3,53,0.1556358456199654
indice_infraestrutura_basica,delta_pct_defasagem,4,53,-0.03251567577553307
indice_infraestrutura_basica,delta_pct_defasagem,5,52,-0.03921419381676054
indice_infraestrutura_basica,delta_proficiencia,1,54,-0.04382808917676902
indice_infraestrutura_basica,delta_proficiencia,2,53,0.009573884373007725
indice_infraestrutura_basica,delta_proficiencia,3,53,-0.07084807546765341
indice_infraestrutura_basica,delta_proficiencia,4,53,0.041458480420046726
indice_infraestrutura_basica,delta_proficiencia,5,52,0.06433658699344065
indice_infraestrutura_basica,pct_adequado_2025,1,54,-0.1477110046828201
indice_infraestrutura_basica,pct_adequado_2025,2,53,-0.20213309956997327
indice_infraestrutura_basica,pct_adequado_2025,3,53,-0.26944230578103817
indice_infraestrutura_basica,pct_adequado_2025,4,53,-0.24957160508584175
indice_infraestrutura_basica,pct_adequado_2025,5,52,-0.24741299553795756
indice_infraestrutura_basica,proficiencia_media_2025,1,54,-0.12086704990604985
indice_infraestrutura_basica,proficiencia_media_2025,2,53,-0.22998955019939332
indice_infraestrutura_basica,proficiencia_media_2025,3,53,-0.2409368684068223
indice_infraestrutura_basica,proficiencia_media_2025,4,53,-0.24225030457419336
indice_infraestrutura_basica,proficiencia_media_2025,5,52,-0.26393237111359247
indice_infraestrutura_basica,taxa_participacao_2025,1,54,0.03026177425246604
indice_infraestrutura_basica,taxa_participacao_2025,2,53,-0.0778222018602516
indice_infraestrutura_basica,taxa_participacao_2025,3,53,-0.07530109962279101
indice_infraestrutura_basica,taxa_participacao_2025,4,53,-0.08410531595487773
indice_infraestrutura_basica,taxa_participacao_2025,5,52,-0.061473211761120215
log_matriculas_anos_iniciais,delta_participacao,1,54,-0.16966412239215145
log_matriculas_anos_iniciais,delta_participacao,2,53,-0.05378904737025529
log_matriculas_anos_iniciais,delta_participacao,3,53,-0.03455314820693036
log_matriculas_anos_iniciais,delta_participacao,4,53,-0.19170046820978712
log_matriculas_anos_iniciais,delta_participacao,5,52,-0.23929829791777
log_matriculas_anos_iniciais,delta_pct_adequado,1,54,0.29755340234015026
log_matriculas_anos_iniciais,delta_pct_adequado,2,53,0.2340842489932997
log_matriculas_anos_iniciais,delta_pct_adequado,3,53,-0.10504297651329043
log_matriculas_anos_iniciais,delta_pct_adequado,4,53,0.08814406830241789
