dimensao_contextual,categoria,ano_escolar,numero_escolas,participacao_2025_media,proficiencia_2025_media,adequado_2025_media,defasagem_2025_media,delta_participacao_media,delta_proficiencia_media,delta_proficiencia_mediana,delta_adequado_media,delta_defasagem_media
Infraestrutura,Q1 — menor infraestrutura,1,15,73.82762331123416,65.1625072272149,57.541841420246996,22.755738537641484,11.409932988759532,-24.775665215007272,-23,-35.588751353329954,22.564445836665694
Infraestrutura,Q2,1,13,72.41171678049058,57.5888162296606,45.9657169468887,26.8160706904671,7.5110824591728775,-28.493580208239607,-32.42850241545894,-33.17180738762121,32.55755702273663
Infraestrutura,Q3,1,26,73.1749965933506,57.715335393907715,46.80156887767276,28.571224359108232,9.426206134443538,-26.96896209014524,-27.338887282308335,-31.61171864582928,28.288136416753773
Infraestrutura,Q1 — menor infraestrutura,2,14,77.11508429171475,66.23047744435291,53.16573273605303,23.70880651554987,11.773958761188748,-7.242546038687051,-5.162500000000001,-10.243775016713709,2.6441621115733334
Infraestrutura,Q2,2,13,78.05633657434818,58.914414091060195,41.217658274817694,28.055532040939372,6.620137929608417,-8.216134990561985,-1.2029220779220822,-7.262411430299316,8.157819415782404
Infraestrutura,Q3,2,26,76.81031085904077,57.77862909854485,42.51369934277537,31.548094754910856,8.930216719227793,-5.375103654269476,-1.517046802411162,-6.16969110655,2.054572574719862
Infraestrutura,Q1 — menor infraestrutura,3,14,78.21199983338519,60.33355302445446,45.4045862163908,28.275767270563072,11.530235792533617,-0.14213978593591747,-2.5,3.5827643346262703,-5.395410435862318
Infraestrutura,Q2,3,13,76.40582722065399,52.463501555624255,36.167331097967846,34.91986259395983,6.9728841271435424,-3.6262526278656932,0.4342105263157876,1.6332787202825625,-1.7568716376432145
Infraestrutura,Q3,3,26,77.38835709426583,51.95689327301382,34.93390160903493,34.46830829356607,6.735289852167388,-3.5708785378250005,-9.527506130649382,2.462435096104001,1.9261206218047418
Infraestrutura,Q1 — menor infraestrutura,4,14,81.33215059605686,67.36421143951577,55.01906725441188,22.489335823125934,10.540020993637166,-6.043325878381139,-7.746527777777779,-6.330090441418959,3.157771282247817
Infraestrutura,Q2,4,13,80.32557807905499,60.326891117238915,46.380832184831974,25.928139610720255,5.473616263550309,-9.088405527369376,-8.001724137931035,-8.052011348172062,9.094452100424277
Infraestrutura,Q3,4,26,79.76175836317407,59.01010620797894,44.56980723832075,28.896347539882775,9.381108522688647,-3.8566063721620467,-3.1246239925314576,-2.3236470342723834,2.1556312719893826
Infraestrutura,Q1 — menor infraestrutura,5,13,81.66642016821898,66.85948810630113,57.90857234623219,19.523766923477442,8.32785928608491,-2.7370192183400985,-1.9722222222222283,-11.987452489188664,-0.906937419600782
Infraestrutura,Q2,5,13,81.68601991113168,59.71687293228768,47.12936956326653,23.59593273897327,6.921793095528776,0.2307543003246691,0.8918918918918948,-6.813139880270281,-2.2425095080985593
Infraestrutura,Q3,5,26,80.38603265561757,60.728769861844476,49.24238027905868,24.00810194311191,9.243560304883994,-1.8730247034583376,-1.358197858842189,-9.84796631947269,-0.9981881030199125
Porte da escola,Até 149 matrículas,1,4,71.86435291126367,74.79166666666667,70.58333333333333,9.666666666666668,10.907024703698257,-33.541666666666664,-31,-55,27.375
Porte da escola,150 a 299 matrículas,1,14,75.23716559524593,63.75391175874922,53.422057539124104,23.457310020632388,12.066371356384519,-27.707995225798456,-26.969001896633472,-35.34522169946846,26.64391131117772
Porte da escola,300 a 499 matrículas,1,24,72.6459056650506,61.198173109714034,52.25609325141581,25.80539287474716,8.884155266713615,-28.80821111846127,-31.117822636300897,-34.88956229773236,30.419296229870643
Porte da escola,500 matrículas ou mais,1,12,72.25309277519112,47.18444614275997,32.76119629314162,37.19986620233805,7.341450174239109,-19.147405717090397,-15.178137906385876,-19.56557101603761,23.719050650648022
Porte da escola,Até 149 matrículas,2,3,81.71428571428572,83,73,7.666666666666667,11.248677248677245,-28,-28,-31.666666666666668,26
Porte da escola,150 a 299 matrículas,2,14,79.11731847350863,63.68446584972692,50.96893785821619,25.508377304939778,9.273276241452201,-5.557465040414159,-4.246971743738246,-9.776416757495406,0.30533561076893745
Porte da escola,300 a 499 matrículas,2,24,76.28874392253341,58.51351760105586,41.77306624633164,29.605798238661144,9.01158706899952,-4.180857250271534,-0.8212187406487281,-3.195663209690196,2.4731790475026845
Porte da escola,500 matrículas ou mais,2,12,75.64137233106776,54.20428997044765,37.532273238545514,35.51993594838066,8.602738471593625,-7.151084154801322,-5.525857093098473,-7.4725346633902205,4.5714844349237325
Porte da escola,Até 149 matrículas,3,3,83.87742155858098,69.38461538461539,49.51282051282051,15.87179487179487,4.0855414043819875,-2.3846153846153846,-2,7.82051282051282,-0.8717948717948705
