entrada,modulo,caminho,md5_esperado,md5_observado,aprovado,observacao
base_final_csv,modulo_15,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/base_analitica_final_escola_serie.csv,8c284e904dcf61c705d17de57ee4c615,8c284e904dcf61c705d17de57ee4c615,TRUE,
base_final_rds,modulo_15,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/base_analitica_final_escola_serie.rds,ae935fe3d6e769d592d88c4c23e84a30,ae935fe3d6e769d592d88c4c23e84a30,TRUE,
dim_final_csv,modulo_15,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/dim_escola_final.csv,4a3874f0287ce16372de4413dfee080c,4a3874f0287ce16372de4413dfee080c,TRUE,
dim_final_rds,modulo_15,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/dim_escola_final.rds,39c8f106912fdbcef99caf0434ef11e2,39c8f106912fdbcef99caf0434ef11e2,TRUE,
perfil_completo_csv,modulo_16,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/perfil_escola_completo.csv,8ad85d621421acf672af7ee07c8d1f57,8ad85d621421acf672af7ee07c8d1f57,TRUE,
perfil_completo_rds,modulo_16,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/perfil_escola_completo.rds,1f149a0b968bd3b0d0f43a9e3e0c4ef1,1f149a0b968bd3b0d0f43a9e3e0c4ef1,TRUE,
perfil_gerencial_csv,modulo_16,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/perfil_escola_gerencial.csv,35e75d94b2f8b6e84a5a51708afb76e6,35e75d94b2f8b6e84a5a51708afb76e6,TRUE,
perfil_gerencial_rds,modulo_16,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/perfil_escola_gerencial.rds,ba49b4fe72596f4b0c16b7dc7f830646,ba49b4fe72596f4b0c16b7dc7f830646,TRUE,
perfil_serie_csv,modulo_16,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/perfil_escola_serie_compacto.csv,9ddb99063daea52ac4efa712fd9fad8b,9ddb99063daea52ac4efa712fd9fad8b,TRUE,
perfil_serie_rds,modulo_16,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/perfil_escola_serie_compacto.rds,116a2d0c97085a90aac716d911f75c89,116a2d0c97085a90aac716d911f75c89,TRUE,
indice_csv,modulo_17,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/indice_carga_potencial_escola.csv,8cfb06412611985459ffa7a8c2963828,8cfb06412611985459ffa7a8c2963828,TRUE,
indice_rds,modulo_17,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/indice_carga_potencial_escola.rds,7c91709044f94ccfc3b09183f6082a51,7c91709044f94ccfc3b09183f6082a51,TRUE,
