id_produto,modulo_origem,caminho_origem,caminho_destino,formato,tamanho_esperado,md5_esperado,sha256_esperado,obrigatorio,publicacao,existe,eh_arquivo,tamanho_observado,md5_observado,sha256_observado,tamanho_aprovado,md5_aprovado,sha256_aprovado,aprovado
M17_COMPONENTES_CSV,17,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/componentes_indice_carga_potencial.csv,07_bases_analiticas/modulo_17/componentes_indice_carga_potencial.csv,csv,99767,7a853ba2c301265c6c308dabe72a2eea,,TRUE,base_analitica,TRUE,TRUE,99767,7a853ba2c301265c6c308dabe72a2eea,fb42904a67f7310900c72fff8248cdb4ceebbefa7a8cb650305dd74fd2681899,TRUE,TRUE,TRUE,TRUE
M17_COMPONENTES_RDS,17,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/componentes_indice_carga_potencial.rds,07_bases_analiticas/modulo_17/componentes_indice_carga_potencial.rds,rds,6296,b6e7dad6279590c3c492966fd4544708,,TRUE,base_analitica,TRUE,TRUE,6296,b6e7dad6279590c3c492966fd4544708,59b9f35cf440b4bee6227d79e48e96e34f41422d4950b0f8fc1b2700aaa6a376,TRUE,TRUE,TRUE,TRUE
M17_EDUCACIONAL_CSV,17,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/componentes_educacionais_escola_serie.csv,07_bases_analiticas/modulo_17/componentes_educacionais_escola_serie.csv,csv,100732,c6a452965a7398de2ea6892e1113a833,,TRUE,base_analitica,TRUE,TRUE,100732,c6a452965a7398de2ea6892e1113a833,87d7de37bc6354b5f939ecfb8074b179e972a4317754894fe8624df7cf16189d,TRUE,TRUE,TRUE,TRUE
M17_EDUCACIONAL_RDS,17,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/componentes_educacionais_escola_serie.rds,07_bases_analiticas/modulo_17/componentes_educacionais_escola_serie.rds,rds,17332,37996354b10460a4d2bcc3969a7ed667,,TRUE,base_analitica,TRUE,TRUE,17332,37996354b10460a4d2bcc3969a7ed667,5abd95786b44a9326f4e3a1712c30b0bafe6f7e22e1d3971d8e6ed820ad5a99a,TRUE,TRUE,TRUE,TRUE
M18_ANALISE_CSV,18,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/analise_carteiras_assessoras.csv,07_bases_analiticas/modulo_18/analise_carteiras_assessoras.csv,csv,6717,09a39c8ff8e99a2e08fa8dcaf1934c8d,,TRUE,base_analitica,TRUE,TRUE,6717,09a39c8ff8e99a2e08fa8dcaf1934c8d,92257c76baa7e4701faee0a292b92f2ff5e1371ae4c10300b140b98270926523,TRUE,TRUE,TRUE,TRUE
M18_ANALISE_RDS,18,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/analise_carteiras_assessoras.rds,07_bases_analiticas/modulo_18/analise_carteiras_assessoras.rds,rds,2051,fd5e0f3a600d7effe9fb49b8f94ae43a,,TRUE,base_analitica,TRUE,TRUE,2051,fd5e0f3a600d7effe9fb49b8f94ae43a,f5ca704c8144f37ecdff4f48a5e73f9e6464d93843637ac547cbe212bdbb1c13,TRUE,TRUE,TRUE,TRUE
M18_DETALHE_CSV,18,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/carteira_escola_detalhe.csv,07_bases_analiticas/modulo_18/carteira_escola_detalhe.csv,csv,24570,b67c3e52c04086242866809eed56089c,,TRUE,base_analitica,TRUE,TRUE,24570,b67c3e52c04086242866809eed56089c,8b4298c878025d035470fdca26a99c6a842c984b0639a3a25e8e34c433f81ac1,TRUE,TRUE,TRUE,TRUE
M18_DETALHE_RDS,18,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/carteira_escola_detalhe.rds,07_bases_analiticas/modulo_18/carteira_escola_detalhe.rds,rds,4071,2ff7621b617715722b652d956d5e2b11,,TRUE,base_analitica,TRUE,TRUE,4071,2ff7621b617715722b652d956d5e2b11,125f0e984c1085db1b29aced620242479e5235b92c2629161f8e7e959cbce11e,TRUE,TRUE,TRUE,TRUE
M18_DIAGNOSTICO_CSV,18,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/diagnostico_educacional_carteiras.csv,07_bases_analiticas/modulo_18/diagnostico_educacional_carteiras.csv,csv,6653,8526e7bb50d2a85ac34e60197ec94595,,TRUE,base_analitica,TRUE,TRUE,6653,8526e7bb50d2a85ac34e60197ec94595,96672c9fd0854c122f392e11632f99c9368dc6589b9817ad9d140595e976d6e5,TRUE,TRUE,TRUE,TRUE
M18_DIAGNOSTICO_RDS,18,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/diagnostico_educacional_carteiras.rds,07_bases_analiticas/modulo_18/diagnostico_educacional_carteiras.rds,rds,1699,4f471bbb40ec0020ddea61a6cfec230b,,TRUE,base_analitica,TRUE,TRUE,1699,4f471bbb40ec0020ddea61a6cfec230b,4c93c1bc990b2cb0ca1e46ac953119feb00c70157bb515c0f834a250061b954d,TRUE,TRUE,TRUE,TRUE
M18_COMPOSICAO_CSV,18,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/composicao_operacional_carteiras.csv,07_bases_analiticas/modulo_18/composicao_operacional_carteiras.csv,csv,19967,1381da73d8e195fd691e41ee8d873274,,TRUE,base_analitica,TRUE,TRUE,19967,1381da73d8e195fd691e41ee8d873274,1065ca53c343fa83d38b04709b19138414ae5e43f81745d6b21910873fb54964,TRUE,TRUE,TRUE,TRUE
M18_COMPOSICAO_RDS,18,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/composicao_operacional_carteiras.rds,07_bases_analiticas/modulo_18/composicao_operacional_carteiras.rds,rds,1318,82d8ea30fb598c6a9380d500219fa79c,,TRUE,base_analitica,TRUE,TRUE,1318,82d8ea30fb598c6a9380d500219fa79c,e4e3d2f10e98d889268d9557a017dffd7788fd8cf895336430894c3e9186b06c,TRUE,TRUE,TRUE,TRUE
M18_UNIVERSO_CSV,18,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/universo_institucional_carteiras.csv,07_bases_analiticas/modulo_18/universo_institucional_carteiras.csv,csv,9009,e2e9d076ae09d8f605c994a97afb722c,,TRUE,base_analitica,TRUE,TRUE,9009,e2e9d076ae09d8f605c994a97afb722c,075da006398f67137e0f817db3403e03b63408134837c33a05d79ce4525961fd,TRUE,TRUE,TRUE,TRUE
M18_UNIVERSO_RDS,18,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/universo_institucional_carteiras.rds,07_bases_analiticas/modulo_18/universo_institucional_carteiras.rds,rds,2051,36cb738f4233fdab02e38ca0344f0db4,,TRUE,base_analitica,TRUE,TRUE,2051,36cb738f4233fdab02e38ca0344f0db4,9ef0acd884bfb8ab6afe972102203acb5022bb4701d631acdad208a6f54aa11c,TRUE,TRUE,TRUE,TRUE
M20_INDICE_FICHAS_CSV,20,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/indice_fichas_carteiras.csv,07_bases_analiticas/modulo_20/indice_fichas_carteiras.csv,csv,5778,013d69c7dc6754239e7085664168c3c1,,TRUE,base_analitica,TRUE,TRUE,5778,013d69c7dc6754239e7085664168c3c1,b1b7876ea67ea65f7b95df00b9d3a7446cb52d13d48325e4078376963e691d7a,TRUE,TRUE,TRUE,TRUE
M20_INDICE_FICHAS_RDS,20,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/indice_fichas_carteiras.rds,07_bases_analiticas/modulo_20/indice_fichas_carteiras.rds,rds,775,503664ba7a60a26df40e5c3ee15da87e,,TRUE,base_analitica,TRUE,TRUE,775,503664ba7a60a26df40e5c3ee15da87e,7710454125deabd6b18604797ee3551875312f7cc2eddd55582ff3f2250e1d36,TRUE,TRUE,TRUE,TRUE
