produto,numero_linhas,numero_colunas,variavel,classe,numero_na,percentual_na
base_fichas_escolas,56,44,id_escola,character,0,0
base_fichas_escolas,56,44,codigo_inep,character,0,0
base_fichas_escolas,56,44,nome_canonico,character,0,0
base_fichas_escolas,56,44,assessora_gerencial,character,0,0
base_fichas_escolas,56,44,tipo_carteira,character,0,0
base_fichas_escolas,56,44,grupo_administrativo_2024_final,character,0,0
base_fichas_escolas,56,44,tipo_vinculo_rede_final,character,0,0
base_fichas_escolas,56,44,status_rede_2025_final,character,0,0
base_fichas_escolas,56,44,matriculas_anos_iniciais,numeric,0,0
base_fichas_escolas,56,44,turmas_anos_iniciais,numeric,0,0
base_fichas_escolas,56,44,numero_series_resultado_2025,integer,0,0
base_fichas_escolas,56,44,numero_series_resultado_2026,integer,0,0
base_fichas_escolas,56,44,numero_series_comparaveis,integer,0,0
base_fichas_escolas,56,44,taxa_participacao_escola_2025,numeric,2,3.5714285714285716
base_fichas_escolas,56,44,taxa_participacao_escola_2026,numeric,0,0
base_fichas_escolas,56,44,delta_participacao_escola,numeric,2,3.5714285714285716
base_fichas_escolas,56,44,proficiencia_multisserie_ponderada_2025,numeric,2,3.5714285714285716
base_fichas_escolas,56,44,proficiencia_multisserie_ponderada_2026,numeric,0,0
base_fichas_escolas,56,44,delta_proficiencia_multisserie_ponderada,numeric,2,3.5714285714285716
base_fichas_escolas,56,44,score_dimensao_volume,numeric,0,0
base_fichas_escolas,56,44,score_dimensao_estrutural,numeric,0,0
base_fichas_escolas,56,44,score_dimensao_educacional,numeric,0,0
base_fichas_escolas,56,44,score_dimensao_administrativa,numeric,0,0
base_fichas_escolas,56,44,indice_carga_potencial,numeric,0,0
base_fichas_escolas,56,44,faixa_indice_carga_potencial,character,0,0
base_fichas_escolas,56,44,qualidade_evidencia_educacional,character,0,0
base_fichas_escolas,56,44,interpretacao_educacional_cautelosa,logical,0,0
base_fichas_escolas,56,44,interpretacao_indice_cautelosa,logical,0,0
base_fichas_escolas,56,44,possui_complexidade_administrativa,logical,0,0
base_fichas_escolas,56,44,possui_alerta_composicao,logical,0,0
base_fichas_escolas,56,44,painel_incompleto,logical,0,0
base_fichas_escolas,56,44,sensibilidade_faixa,character,0,0
base_fichas_escolas,56,44,participacao_indice_na_carteira_pct,numeric,0,0
base_fichas_escolas,56,44,observacoes_composicao_limpa,character,0,0
base_fichas_escolas,56,44,arquivo_html,character,0,0
base_fichas_escolas,56,44,arquivo_grafico_dimensoes,character,0,0
base_fichas_escolas,56,44,arquivo_grafico_participacao,character,0,0
base_fichas_escolas,56,44,arquivo_grafico_proficiencia,character,0,0
base_fichas_escolas,56,44,status_geracao,character,0,0
base_fichas_escolas,56,44,mensagem_erro,character,56,100
base_fichas_escolas,56,44,html_existe,logical,0,0
base_fichas_escolas,56,44,grafico_dimensoes_existe,logical,0,0
base_fichas_escolas,56,44,grafico_participacao_existe,logical,0,0
base_fichas_escolas,56,44,grafico_proficiencia_existe,logical,0,0
