arquivo,caminho,existe,tamanho_bytes,md5,md5_esperado,hash_aprovado
perfil_gerencial_csv,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/perfil_escola_gerencial.csv,TRUE,96095,35e75d94b2f8b6e84a5a51708afb76e6,35e75d94b2f8b6e84a5a51708afb76e6,TRUE
perfil_gerencial_rds,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/perfil_escola_gerencial.rds,TRUE,22605,ba49b4fe72596f4b0c16b7dc7f830646,ba49b4fe72596f4b0c16b7dc7f830646,TRUE
indice_operacional_csv,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/indice_carga_potencial_escola.csv,TRUE,16326,8cfb06412611985459ffa7a8c2963828,8cfb06412611985459ffa7a8c2963828,TRUE
indice_operacional_rds,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/indice_carga_potencial_escola.rds,TRUE,3404,7c91709044f94ccfc3b09183f6082a51,7c91709044f94ccfc3b09183f6082a51,TRUE
diagnostico_educacional_csv,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/componentes_educacionais_escola_serie.csv,TRUE,100732,c6a452965a7398de2ea6892e1113a833,c6a452965a7398de2ea6892e1113a833,TRUE
diagnostico_educacional_rds,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/componentes_educacionais_escola_serie.rds,TRUE,17332,37996354b10460a4d2bcc3969a7ed667,37996354b10460a4d2bcc3969a7ed667,TRUE
