produto,ordem_coluna,variavel,classe_r,valores_ausentes,valores_distintos
diagnostico_educacional_carteiras,18,menor_proficiencia_observada_2026,numeric,0,11
diagnostico_educacional_carteiras,19,maior_pct_defasagem_observado_2026,numeric,0,11
diagnostico_educacional_carteiras,20,peso_maximo_no_indice_operacional,numeric,0,1
diagnostico_educacional_carteiras,21,linhas_marcadas_uso_no_indice,integer,0,1
diagnostico_educacional_carteiras,22,alerta_participacao_composicao,logical,0,1
diagnostico_educacional_carteiras,23,leitura_menor_proficiencia,character,0,1
diagnostico_educacional_carteiras,24,natureza,character,0,1
diagnostico_educacional_carteiras,25,advertencia,character,0,1
composicao_operacional_carteiras,1,assessora_gerencial_2026,character,0,11
composicao_operacional_carteiras,2,numero_escolas,integer,0,3
composicao_operacional_carteiras,3,metrica,character,0,9
composicao_operacional_carteiras,4,valor,numeric,0,74
composicao_operacional_carteiras,5,dimensao,character,0,3
composicao_operacional_carteiras,6,tipo_metrica,character,0,3
composicao_operacional_carteiras,7,peso_dimensao_indice,numeric,0,3
composicao_operacional_carteiras,8,uso_no_indice_operacional,logical,0,1
composicao_operacional_carteiras,9,nota_metodologica,character,0,1
universo_institucional_carteiras,1,id_escola,character,0,56
universo_institucional_carteiras,2,codigo_inep,character,0,56
universo_institucional_carteiras,3,nome_canonico,character,0,56
universo_institucional_carteiras,4,assessora_vinculo_administrativo,character,0,13
universo_institucional_carteiras,5,assessora_gerencial_2026,character,3,11
universo_institucional_carteiras,6,elegivel_assessoramento_2026,logical,0,2
universo_institucional_carteiras,7,recebe_assessoramento_2026,logical,0,2
universo_institucional_carteiras,8,incluir_indice_carga_2026,logical,0,2
universo_institucional_carteiras,9,status_carga_operacional_2026,character,0,2
universo_institucional_carteiras,10,grupo_exposicao_2026,character,0,2
universo_institucional_carteiras,11,incluida_analise_operacional,logical,0,2
universo_institucional_carteiras,12,motivo_nao_inclusao,character,53,1
universo_institucional_carteiras,13,nota_institucional,character,0,2
