modelo,termo,estimativa,erro_padrao,estatistica_t,valor_p
Modelo 1: participação,(Intercept),-6.594483541554,1.431247739272196,-4.607506695456764,6.35802079117226e-6
Modelo 1: participação,delta_participacao,-0.1691618105417073,0.12509203403742786,-1.352298824168881,0.17744136776976788
Modelo 2: resultado e participação iniciais,(Intercept),-61.424417995298874,11.477788839022166,-5.351589827691223,1.9092303537803791e-7
Modelo 2: resultado e participação iniciais,delta_participacao,0.6027284612002226,0.13044432078854046,4.620580317768593,6.018156170873226e-6
Modelo 2: resultado e participação iniciais,proficiencia_media_2025,-0.7437373794927361,0.061540904793034534,-12.085252597341006,5.308366265749317e-27
Modelo 2: resultado e participação iniciais,taxa_participacao_2025,1.1744139696096014,0.1469103904367352,7.994083782081741,4.237622939143002e-14
Modelo 3: composição e efeitos de série,(Intercept),-35.73319912531607,10.71428692413786,-3.3350982084317655,9.790081243450156e-4
Modelo 3: composição e efeitos de série,delta_participacao,0.33402727870476884,0.1180094487625217,2.830512998810411,0.005016066550832715
Modelo 3: composição e efeitos de série,proficiencia_media_2025,-0.7158086618067796,0.0546451299028581,-13.09922152402717,2.3791922263341518e-30
Modelo 3: composição e efeitos de série,taxa_participacao_2025,0.6591268629793875,0.14216288870324081,4.636420017852111,5.655478934700273e-6
Modelo 3: composição e efeitos de série,variacao_relativa_previstos,0.035271704334959686,0.03640451996132255,0.9688825555846798,0.333518262321156
Modelo 3: composição e efeitos de série,ano_escolar_fator2,18.162410453428496,2.4108762982043874,7.533530636539004,8.500467568693444e-13
Modelo 3: composição e efeitos de série,ano_escolar_fator3,16.485152330238,2.3147091233922756,7.121910983820946,1.0751951194294772e-11
Modelo 3: composição e efeitos de série,ano_escolar_fator4,16.95526078267791,2.423292880799733,6.996785620515812,2.2843008475239958e-11
Modelo 3: composição e efeitos de série,ano_escolar_fator5,21.61473012411982,2.4640738864752207,8.771948861906493,2.5161889341735825e-16
