ano_escolar,componente,numero_escolas,correlacao_delta_participacao_proficiencia,correlacao_delta_participacao_adequado
1,Língua Portuguesa,54,-0.23689075600440657,-0.22744372669308885
2,Língua Portuguesa,53,-0.1568120824525214,-0.2917985202918677
3,Língua Portuguesa,53,0.05276129246179638,0.04198671320022185
4,Língua Portuguesa,53,-0.07489807936580938,0.052269209498719195
5,Língua Portuguesa,52,0.3573945474990834,0.29588549629185046
