ano_escolar,numero_escolas,delta_proficiencia_observada,delta_proficiencia_predita,delta_proficiencia_padronizada_participacao_estavel,diferenca_associada_composicao
1,54,-25.045876283435813,-25.045876283435803,-27.90994784311004,2.864071559674226
2,53,-5.650163439401072,-5.650163439401094,-8.543066286356238,2.892902846955166
3,53,-3.4536774803018484,-3.453677480301837,-5.941547482654809,2.487870002352961
4,53,-5.876411927024781,-5.876411927024777,-8.647609376492719,2.7711974494679374
5,52,-2.2184448329896678,-2.218444832989672,-4.779697039204177,2.5612522062145096
