ano_escolar,serie,taxa_participacao_2025,taxa_participacao_2026,delta_participacao,proficiencia_media_2025,proficiencia_media_2026,delta_proficiencia,pct_defasagem_2025,pct_defasagem_2026,delta_pct_defasagem,pct_adequado_2025,pct_adequado_2026,delta_pct_adequado,sinal_proficiencia,sinal_adequado
1,1º ano,72.89140393424952,81.45695364238411,8.565549708134583,55.971903881700555,31.944340212632895,-24.02756366906766,29.90536044362292,56.21263289555972,26.3072724519368,44.597042513863215,16.316135084427767,-28.280907429435448,redução,redução
2,2º ano,76.80975361950723,85.31563261988622,8.505879000378982,58.08465608465608,52.305811368688474,-5.778844715967608,30.672949735449738,34.18450301683074,3.511553281381005,42.07407407407408,36.04922197523023,-6.024852098843844,redução,redução
3,3º ano,76.63260772989783,84.00911161731207,7.376503887414245,52.498260869565215,48.409978308026034,-4.088282561539181,35.07826086956522,35.54338394793926,0.46512307837404165,36.09101449275362,37.373373101952275,1.2823586091986527,redução,aumento
4,4º ano,79.93520018514232,88.14885043849253,8.21365025335021,59.65634047481181,53.580801290669534,-6.075539184142279,27.927620150550087,33.16886259747244,5.241242446922353,45.86508396062536,40.939230976068835,-4.925852984556528,redução,redução
5,5º ano,80.77113198220465,88.69352869352869,7.92239671132404,61.99296205630355,59.85958149779736,-2.1333805585061896,23.25091799265606,22.332048458149774,-0.9188695345062818,51.21481028151775,40.84471365638767,-10.37009662513008,redução,redução
