ano_escolar,componente,numero_escolas,delta_participacao_media,delta_participacao_mediana,delta_proficiencia_media,delta_proficiencia_mediana,delta_proficiencia_p25,delta_proficiencia_p75,desvio_delta_proficiencia,delta_adequado_media,delta_adequado_mediana,escolas_aumento_proficiencia,escolas_reducao_proficiencia,escolas_aumento_adequado,escolas_reducao_adequado,pct_escolas_aumento_proficiencia,pct_escolas_aumento_adequado
1,Língua Portuguesa,54,9.516193079558748,10.04422669862764,-26.726750653259263,-26.969001896633472,-44.38046757164404,-12.209619020608812,24.247899710640066,-33.09202687278864,-30.818972659486334,8,46,6,48,14.814814814814815,11.11111111111111
2,Língua Portuguesa,53,9.114770763046689,10.454545454545451,-6.5652470647156775,-1.668304668304664,-14.970588235294116,1.4285714285714306,14.483032439253163,-7.513889954682699,-4.293290043290044,18,35,22,31,33.9622641509434,41.509433962264154
3,Língua Portuguesa,53,8.06015718688092,8.957746478873233,-2.6787562858265446,-4.249084249084248,-13.488372093023258,5.921325051759837,16.265621652220386,2.5549931423989647,1.30314913844326,21,32,29,24,39.62264150943396,54.716981132075475
4,Língua Portuguesa,53,8.728794847678852,8.476485497043086,-5.717501883572662,-6.4040650406504085,-13.59342783505155,3.3627450980392126,9.851802529860812,-4.787023332022343,-3.0469942428705323,18,35,21,31,33.9622641509434,39.62264150943396
5,Língua Portuguesa,52,8.434193247845418,7.007867596102891,-1.5630785812330263,-0.9293926215263184,-6.743535088564947,4.920445939002333,8.95499333580708,-9.624131252101082,-8.6271220675849,23,29,12,40,44.23076923076923,23.076923076923077
