ano,avaliacao_id,periodo_programa,escolas_cadastradas,escolas_universo_avaliativo,escolas_expostas,escolas_indice_carga,assessoras_indice_carga
2025,1a_avaliacao_formativa,linha_base_pre_programa,56,54,0,0,0
2026,1a_avaliacao_formativa,pos_inicio_programa,56,56,53,53,11
