Avaliação;Rede;Ano Escolar;Componente Curricular;Município;Escola;Código da Turma;Turma;Previstos;Avaliados;Avaliados (%);Proficiência Média;Defasagem;Aprendizado intermediário;Aprendizado adequado;H 01 (%);H 02 (%);H 03 (%);H 04 (%);H 05 (%);H 06 (%);H 07 (%);H 08 (%);H 09 (%);H 10 (%);H 11 (%);H 12 (%);H 13 (%)
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;PORTO ALEGRE;EMEF EVARISTO GONCALVES NETTO; 21912411500001808;21;17;15;88;18;73%;27%;0%;14;50;63;37;27;57;67;54;50;29;23;38;25
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;PORTO ALEGRE;EMEF EVARISTO GONCALVES NETTO; 21912411500001809;22;22;16;73;16;75%;25%;0%;19;37;83;33;23;61;87;32;58;30;47;33;33
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;PORTO ALEGRE;EMEF GABRIEL OBINO; 21912411500000403;21;21;20;95;23;56%;44%;0%;18;72;83;18;56;53;89;24;81;11;56;53;21
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;PORTO ALEGRE;EMEF GABRIEL OBINO; 21912411500000404;22;23;19;83;79;7%;20%;73%;97;83;100;43;50;83;93;60;86;87;90;80;40
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;PORTO ALEGRE;EMEF GOV ILDO MENEGHETTI; 21912411500000424;21;21;14;67;39;50%;43%;7%;86;64;64;14;46;79;86;32;93;39;50;57;25
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;PORTO ALEGRE;EMEF GOV ILDO MENEGHETTI; 21912411500000425;22;21;19;90;24;61%;39%;0%;62;67;83;25;36;66;89;29;79;21;41;65;11
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;PORTO ALEGRE;EMEF GOV ILDO MENEGHETTI; 21912411500000426;23;23;21;91;37;58%;26%;16%;75;76;54;22;39;71;88;34;94;31;53;63;26
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;PORTO ALEGRE;EMEF GOV ILDO MENEGHETTI; 21912411500000427;24;24;17;71;34;47%;41%;12%;59;76;67;22;38;75;59;37;65;27;62;33;29
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;PORTO ALEGRE;EMEF GOV ILDO MENEGHETTI; 21912411500000428;25;25;19;76;33;50%;33%;17%;76;44;75;9;33;76;88;50;71;32;35;53;28
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;PORTO ALEGRE;EMEF GRANDE ORIENTE DO RGS; 21912411500000463;21;20;14;70;28;62%;31%;8%;27;73;42;46;50;46;100;23;100;27;77;23;31
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;PORTO ALEGRE;EMEF GRANDE ORIENTE DO RGS; 21912411500000464;22;18;9;50;18;89%;11%;0%;44;61;50;22;28;69;88;33;83;11;44;75;25
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;PORTO ALEGRE;EMEF GRANDE ORIENTE DO RGS; 21912411500000465;23;24;19;79;76;0%;38%;63%;75;91;75;44;56;88;100;84;100;63;84;81;53
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;PORTO ALEGRE;EMEF GRANDE ORIENTE DO RGS; 21912411500000466;24;25;19;76;34;69%;19%;13%;73;78;36;38;41;69;86;44;81;31;34;60;6
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;PORTO ALEGRE;EMEF HEITOR VILLA LOBOS; 21912411500000495;21;27;24;89;32;55%;36%;9%;89;79;18;19;48;80;100;38;81;17;42;47;31
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;PORTO ALEGRE;EMEF HEITOR VILLA LOBOS; 21912411500000496;22;25;22;88;38;50%;35%;15%;84;88;42;33;75;78;84;55;65;20;30;26;20
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;PORTO ALEGRE;EMEF HEITOR VILLA LOBOS; 21912411500000497;23;24;23;96;54;29%;43%;29%;79;86;73;26;67;76;90;52;90;36;57;72;57
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;PORTO ALEGRE;EMEF JEAN PIAGET; 21912411500000525;21;23;21;91;36;47%;47%;5%;87;68;46;21;39;76;79;55;95;22;42;76;29
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;PORTO ALEGRE;EMEF JEAN PIAGET; 21912411500000526;22;16;14;88;67;10%;40%;50%;95;70;100;55;45;90;90;75;100;65;55;50;50
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;PORTO ALEGRE;EMEF JEAN PIAGET; 21912411500000527;23;19;15;79;64;21%;14%;64%;93;89;71;57;68;93;86;64;86;50;57;54;39
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;PORTO ALEGRE;EMEF JOAO ANTONIO SATTE; 21912411500000551;21;19;16;84;57;19%;44%;38%;91;97;67;31;53;78;100;59;94;50;69;94;3
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;PORTO ALEGRE;EMEF JOAO ANTONIO SATTE; 21912411500000552;22;21;18;86;40;44%;50%;6%;83;81;100;19;56;78;69;43;94;47;6;57;41
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;PORTO ALEGRE;EMEF JOAO ANTONIO SATTE; 21912411500000553;23;21;16;76;58;20%;47%;33%;77;73;86;47;37;67;93;60;87;50;75;93;27
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;PORTO ALEGRE;EMEF JOAO CARLOS DAVILA PAIXAO CORTES - LACADOR; 21912411500000577;21;20;18;90;67;19%;19%;63%;88;83;87;63;75;88;73;34;75;53;73;73;47
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;PORTO ALEGRE;EMEF JOSE LOUREIRO DA SILVA; 21912411500000585;21;19;17;89;81;0%;36%;64%;93;89;71;57;79;71;86;46;79;57;93;86;86
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;PORTO ALEGRE;EMEF JOSE LOUREIRO DA SILVA; 21912411500000586;22;21;14;67;30;58%;25%;17%;77;67;40;42;17;58;60;42;92;29;33;58;38
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;PORTO ALEGRE;EMEF JOSE LOUREIRO DA SILVA; 21912411500000587;23;22;16;73;69;15%;23%;62%;96;81;100;85;81;73;77;19;100;77;54;36;54
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;PORTO ALEGRE;EMEF JOSE LOUREIRO DA SILVA; 21912411500000588;24;23;15;65;63;25%;25%;50%;79;88;58;50;71;79;67;46;100;58;79;75;42
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;PORTO ALEGRE;EMEF JOSE MARIANO BECK; 21912411500000620;21;20;17;85;69;21%;21%;57%;89;96;77;46;75;82;92;68;85;54;77;57;36
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;PORTO ALEGRE;EMEF JOSE MARIANO BECK; 21912411500000621;22;20;15;75;87;0%;15%;85%;0;92;92;96;96;50;100;92;100;81;88;83;85
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;PORTO ALEGRE;EMEF JOSE MARIANO BECK; 21912411500000622;23;20;16;80;24;69%;31%;0%;85;58;70;12;23;46;80;50;85;35;35;50;15
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;PORTO ALEGRE;EMEF LAURO RODRIGUES; 21912411500000650;21;21;18;86;73;11%;28%;61%;86;92;71;75;78;81;76;72;94;67;75;71;47
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;PORTO ALEGRE;EMEF LAURO RODRIGUES; 21912411500000651;22;22;20;91;89;5%;10%;85%;93;80;100;87;85;98;100;83;100;68;63;78;73
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;PORTO ALEGRE;EMEF LAURO RODRIGUES; 21912411500000652;23;23;21;91;59;32%;16%;53%;82;89;78;42;63;76;89;81;83;32;47;74;32
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;PORTO ALEGRE;EMEF LEOCADIA FELIZARDO PRESTES; 21912411500000673;21;23;20;87;54;37%;16%;47%;79;81;72;50;71;71;83;59;82;28;63;68;36
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;PORTO ALEGRE;EMEF LEOCADIA FELIZARDO PRESTES; 21912411500000674;22;26;21;81;35;55%;35%;10%;63;63;40;13;40;63;55;45;95;43;45;67;40
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;PORTO ALEGRE;EMEF LIDOVINO FANTON; 21912411500000693;21;23;20;87;24;75%;20%;5%;64;64;42;28;26;79;89;28;100;29;33;63;25
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;PORTO ALEGRE;EMEF LIDOVINO FANTON; 21912411500000694;22;23;17;74;65;6%;59%;35%;0;97;88;79;100;50;100;9;88;94;91;76;50
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;PORTO ALEGRE;EMEF LIDOVINO FANTON; 21912411500000695;23;22;17;77;28;64%;21%;14%;75;67;82;27;39;54;54;18;100;36;58;73;4
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;PORTO ALEGRE;EMEF LIDOVINO FANTON; 21912411500000696;24;23;15;65;70;0%;58%;42%;21;100;67;88;100;50;100;33;100;88;96;100;38
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;PORTO ALEGRE;EMEF MARIO QUINTANA; 21912411500000727;21;20;15;75;10;93%;0%;7%;23;46;40;21;35;54;75;15;69;35;23;42;25
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;PORTO ALEGRE;EMEF MARIO QUINTANA; 21912411500000728;22;24;19;79;53;13%;63%;25%;83;81;38;41;53;75;92;73;87;50;72;36;22
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;PORTO ALEGRE;EMEF MIGRANTES; 21912411500000745;21;18;16;89;57;40%;20%;40%;87;87;60;47;63;80;93;73;93;47;40;73;17
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;PORTO ALEGRE;EMEF MORADAS DA HIPICA; 21912411500000757;21;25;24;96;80;5%;24%;71%;93;90;85;55;78;90;100;80;95;60;71;81;60
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;PORTO ALEGRE;EMEF MORADAS DA HIPICA; 21912411500000758;22;26;23;88;83;10%;15%;75%;98;93;79;65;78;90;90;80;100;45;83;85;66
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;PORTO ALEGRE;EMEF MORADAS DA HIPICA; 21912411500000759;23;24;24;100;90;0%;10%;90%;98;100;74;73;88;93;100;73;100;83;93;65;48
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;PORTO ALEGRE;EMEF MORADAS DA HIPICA; 21912411500000760;24;24;21;88;93;6%;6%;89%;97;94;100;86;94;86;100;100;94;92;92;89;83
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;PORTO ALEGRE;EMEF MORRO DA CRUZ; 21912411500000792;21;11;9;82;61;25%;38%;38%;81;94;88;63;6;100;100;63;86;31;94;88;13
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;PORTO ALEGRE;EMEF MORRO DA CRUZ; 21912411500000793;22;17;11;65;47;33%;33%;33%;56;94;63;39;11;78;100;67;50;50;89;67;22
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;PORTO ALEGRE;EMEF MORRO DA CRUZ; 21912411500000794;23;21;17;81;30;63%;19%;19%;63;50;40;19;33;59;77;53;75;65;50;44;16
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;PORTO ALEGRE;EMEF MORRO DA CRUZ; 21912411500000795;24;25;23;92;25;67%;19%;14%;64;63;20;33;40;74;81;50;86;19;35;56;45
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;PORTO ALEGRE;EMEF NEUSA GOULART BRIZOLA; 21912411500000823;21;21;17;81;59;20%;47%;33%;92;87;47;40;80;70;87;67;80;43;54;71;57
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;PORTO ALEGRE;EMEF NEUSA GOULART BRIZOLA; 21912411500000824;22;22;18;82;86;0%;19%;81%;91;94;81;81;78;91;94;72;88;63;78;75;75
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;PORTO ALEGRE;EMEF NOSSA SENHORA DE FATIMA; 21912411500000842;21;18;12;67;35;40%;60%;0%;95;60;57;10;75;85;100;0;78;75;70;86;0
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;PORTO ALEGRE;EMEF NOSSA SENHORA DE FATIMA; 21912411500000843;22;20;14;70;69;14%;21%;64%;85;82;57;71;75;77;86;64;70;68;86;91;82
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;PORTO ALEGRE;EMEF NOSSA SENHORA DE FATIMA; 21912411500000844;23;22;15;68;41;43%;21%;36%;50;57;54;25;50;68;79;39;79;43;43;57;57
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;PORTO ALEGRE;EMEF NOSSA SENHORA DO CARMO; 21912411500000866;21;20;18;90;25;56%;38%;6%;83;69;47;22;37;77;62;38;60;19;46;55;10
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;PORTO ALEGRE;EMEF NOSSA SENHORA DO CARMO; 21912411500000867;22;25;23;92;40;61%;4%;35%;70;61;56;46;61;70;83;37;91;37;39;36;43
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;PORTO ALEGRE;EMEF NOSSA SENHORA DO CARMO; 21912411500000868;23;21;19;90;34;58%;26%;16%;81;78;25;28;44;53;81;44;100;50;55;41;22
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;PORTO ALEGRE;EMEF PEPITA DE LEAO; 21912411500000893;21;23;19;83;67;20%;27%;53%;67;80;92;83;73;86;79;73;87;63;73;57;7
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;PORTO ALEGRE;EMEF PEPITA DE LEAO; 21912411500000894;22;20;17;85;8;94%;6%;0%;58;50;60;19;25;67;71;20;60;20;23;50;13
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;PORTO ALEGRE;EMEF PEPITA DE LEAO; 21912411500000895;23;23;16;70;57;36%;14%;50%;75;82;85;68;58;79;100;64;92;55;71;64;41
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;PORTO ALEGRE;EMEF PORTO NOVO; 21912411500000914;21;21;20;95;69;11%;39%;50%;100;89;67;56;61;89;94;67;100;47;64;72;44
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;PORTO ALEGRE;EMEF PORTO NOVO; 21912411500000915;22;22;21;95;67;17%;33%;50%;100;89;76;33;64;89;89;72;100;36;61;69;50
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;PORTO ALEGRE;EMEF PRES JOAO BELCHIOR MARQUES GOULART; 21912411500000934;21;22;21;95;63;14%;38%;48%;98;74;74;33;52;95;90;55;95;40;71;95;36
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;PORTO ALEGRE;EMEF PRES JOAO BELCHIOR MARQUES GOULART; 21912411500000935;22;18;18;100;48;44%;17%;39%;86;69;50;53;36;83;71;56;94;47;67;44;42
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;PORTO ALEGRE;EMEF PRES JOAO BELCHIOR MARQUES GOULART; 21912411500000936;23;18;14;78;38;46%;31%;23%;81;77;31;23;54;62;85;38;100;38;38;85;23
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;PORTO ALEGRE;EMEF PRESIDENTE VARGAS; 21912411500000956;21;24;19;79;49;32%;47%;21%;95;71;63;21;66;84;95;58;94;34;53;83;21
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;PORTO ALEGRE;EMEF PRESIDENTE VARGAS; 21912411500000957;22;23;21;91;51;30%;35%;35%;90;83;50;38;58;80;90;55;100;28;63;50;30
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;PORTO ALEGRE;EMEF PROF ANA IRIS DO AMARAL; 21912411500000975;21;22;19;86;78;6%;41%;53%;91;94;76;65;76;91;100;59;100;62;56;65;50
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;PORTO ALEGRE;EMEF PROF ANA IRIS DO AMARAL; 21912411500000976;22;22;21;95;67;15%;40%;45%;88;88;80;48;75;83;90;80;89;50;70;53;25
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;PORTO ALEGRE;EMEF PROF ANISIO TEIXEIRA; 21912411500000995;21;17;14;82;63;9%;55%;36%;86;91;82;45;68;95;100;64;100;45;50;40;36
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;PORTO ALEGRE;EMEF PROF ANISIO TEIXEIRA; 21912411500000996;22;23;20;87;72;13%;25%;63%;88;94;63;78;69;100;94;66;94;28;53;63;56
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;PORTO ALEGRE;EMEF PROF ANISIO TEIXEIRA; 21912411500000997;23;15;14;93;64;25%;25%;50%;96;88;82;50;67;83;83;58;91;42;75;64;42
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;PORTO ALEGRE;EMEF PROF ANISIO TEIXEIRA; 21912411500000998;24;24;21;88;63;20%;25%;55%;83;88;58;30;85;93;100;63;88;60;53;55;40
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;PORTO ALEGRE;EMEF PROF GILBERTO JORGE GONCALVES DA SILVA; 21912411500001027;21;21;21;100;41;42%;37%;21%;17;72;79;47;74;39;100;72;94;47;72;56;39
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;PORTO ALEGRE;EMEF PROF JUDITH MACEDO DE ARAUJO; 21912411500001039;21;27;25;93;59;25%;38%;38%;92;81;73;43;56;79;88;67;95;38;63;83;27
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;PORTO ALEGRE;EMEF PROF JUDITH MACEDO DE ARAUJO; 21912411500001040;22;25;23;92;73;15%;15%;70%;95;93;55;55;65;93;100;63;95;33;73;90;48
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;PORTO ALEGRE;EMEF PROF JUDITH MACEDO DE ARAUJO; 21912411500001041;23;27;21;78;47;47%;21%;32%;82;79;76;50;50;68;89;47;94;24;50;37;45
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;PORTO ALEGRE;EMEF PROF LARRY JOSE RIBEIRO ALVES; 21912411500001066;21;25;21;84;41;47%;21%;32%;74;55;58;42;47;68;84;39;94;45;39;58;32
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;PORTO ALEGRE;EMEF PROF LARRY JOSE RIBEIRO ALVES; 21912411500001067;22;23;16;70;39;53%;40%;7%;86;47;64;13;86;80;85;23;93;25;73;85;29
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;PORTO ALEGRE;EMEF PROF LARRY JOSE RIBEIRO ALVES; 21912411500001068;23;22;21;95;47;37%;37%;26%;92;68;56;29;78;71;83;58;100;44;45;61;25
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;PORTO ALEGRE;EMEF PROF LARRY JOSE RIBEIRO ALVES; 21912411500001069;24;27;21;78;42;52%;24%;24%;86;68;29;17;79;74;90;45;89;29;71;70;21
