Avaliação;Rede;Ano Escolar;Componente Curricular;Município;Escola;Código da Turma;Turma;Previstos;Avaliados;Avaliados (%);Proficiência Média;Defasagem;Aprendizado intermediário;Aprendizado adequado;H 01 (%);H 02 (%);H 03 (%);H 04 (%);H 05 (%);H 06 (%);H 07 (%);H 08 (%);H 09 (%);H 10 (%);H 11 (%);H 12 (%)
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;PORTO ALEGRE;EMEF PRESIDENTE VARGAS; 21912411500000964;52;24;23;96;64;16%;37%;47%;61;74;87;18;55;42;89;55;71;58;79;37
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;PORTO ALEGRE;EMEF PROF ANA IRIS DO AMARAL; 21912411500000981;51;20;19;95;81;0%;22%;78%;72;72;89;50;81;44;92;64;89;50;83;72
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;PORTO ALEGRE;EMEF PROF ANA IRIS DO AMARAL; 21912411500000982;52;19;17;89;80;0%;41%;59%;71;85;94;56;76;59;88;65;79;29;74;53
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;PORTO ALEGRE;EMEF PROF ANISIO TEIXEIRA; 21912411500001006;51;29;27;93;81;4%;27%;69%;71;87;94;52;71;58;85;67;77;69;69;42
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;PORTO ALEGRE;EMEF PROF ANISIO TEIXEIRA; 21912411500001007;52;29;28;97;78;0%;36%;64%;74;86;94;48;74;50;90;68;80;48;66;36
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;PORTO ALEGRE;EMEF PROF ANISIO TEIXEIRA; 21912411500001008;53;28;25;89;80;5%;24%;71%;74;76;88;67;76;50;76;67;64;62;83;52
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;PORTO ALEGRE;EMEF PROF GILBERTO JORGE GONCALVES DA SILVA; 21912411500001030;51;21;19;90;74;6%;44%;50%;66;66;91;47;66;31;97;56;91;50;75;56
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;PORTO ALEGRE;EMEF PROF JUDITH MACEDO DE ARAUJO; 21912411500001048;51;28;27;96;64;16%;36%;48%;60;68;84;30;64;34;78;52;74;38;76;42
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;PORTO ALEGRE;EMEF PROF JUDITH MACEDO DE ARAUJO; 21912411500001049;52;28;24;86;68;0%;61%;39%;65;83;89;30;74;48;76;48;74;35;78;39
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;PORTO ALEGRE;EMEF PROF JUDITH MACEDO DE ARAUJO; 21912411500001050;53;25;20;80;59;21%;37%;42%;61;55;84;53;61;47;71;53;55;42;68;47
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;PORTO ALEGRE;EMEF PROF LARRY JOSE RIBEIRO ALVES; 21912411500001078;51;25;23;92;65;10%;48%;43%;52;62;81;48;57;50;81;52;79;48;71;48
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;PORTO ALEGRE;EMEF PROF LARRY JOSE RIBEIRO ALVES; 21912411500001079;52;25;22;88;67;24%;29%;48%;57;76;90;52;60;48;93;60;69;38;69;60
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;PORTO ALEGRE;EMEF PROF LARRY JOSE RIBEIRO ALVES; 21912411500001080;53;27;27;100;77;0%;44%;56%;56;78;89;46;65;56;93;67;93;41;89;44
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;PORTO ALEGRE;EMEF RINCAO; 21912411500001101;51;29;25;86;49;33%;42%;25%;59;63;71;28;50;43;61;59;71;52;61;17
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;PORTO ALEGRE;EMEF RINCAO; 21912411500001102;52;29;25;86;46;39%;35%;26%;54;54;70;30;41;30;65;57;61;57;67;35
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;PORTO ALEGRE;EMEF SAINT HILAIRE; 21912411500001126;51;23;22;96;70;10%;43%;48%;67;64;90;40;64;50;88;55;67;52;74;57
