Avaliação;Rede;Ano Escolar;Componente Curricular;Município;Escola;Código da Turma;Turma;Previstos;Avaliados;Avaliados (%);Proficiência Média;Defasagem;Aprendizado intermediário;Aprendizado adequado;H 01 (%);H 02 (%);H 03 (%);H 04 (%);H 05 (%);H 06 (%);H 07 (%);H 08 (%);H 09 (%);H 10 (%);H 11 (%);H 12 (%)
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;PORTO ALEGRE;6001 EEF PEQUENA CASA DA CRIANCA; 21912411500000014;50;19;19;100;62;11%;58%;32%;47;64;79;44;50;36;92;58;83;24;78;56
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;PORTO ALEGRE;6001 EEF PEQUENA CASA DA CRIANCA; 21912411500000015;51;19;17;89;48;29%;41%;29%;38;53;71;50;56;41;62;50;65;24;62;18
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;PORTO ALEGRE;7028 ESCOLA DE ENSINO FUNDAMENTAL MADRE RAFFO; 21912411500000026;5A;5;5;100;88;0%;20%;80%;70;80;100;80;80;90;90;60;100;60;80;60
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;PORTO ALEGRE;EMEB DR LIBERATO SALZANO VIEIRA DA CUNHA; 21912411500000050;51;28;27;96;77;4%;33%;63%;63;81;89;41;78;52;94;63;74;52;80;41
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;PORTO ALEGRE;EMEB DR LIBERATO SALZANO VIEIRA DA CUNHA; 21912411500000051;52;23;20;87;38;61%;11%;28%;39;36;56;22;41;44;67;42;65;56;36;29
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;PORTO ALEGRE;EMEB DR LIBERATO SALZANO VIEIRA DA CUNHA; 21912411500000052;53;25;22;88;63;24%;19%;57%;60;69;81;45;67;40;67;64;62;55;69;40
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;PORTO ALEGRE;EMEB DR LIBERATO SALZANO VIEIRA DA CUNHA; 21912411500000053;54;23;21;91;59;29%;29%;43%;50;57;79;40;50;38;57;64;71;57;74;48
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;PORTO ALEGRE;EMEF AFONSO GUERREIRO LIMA; 21912411500000087;51;22;19;86;75;6%;33%;61%;61;78;86;53;67;47;89;72;81;61;67;56
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;PORTO ALEGRE;EMEF AFONSO GUERREIRO LIMA; 21912411500000088;52;26;25;96;55;27%;36%;36%;67;64;77;43;57;41;57;48;52;48;68;38
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;PORTO ALEGRE;EMEF AFONSO GUERREIRO LIMA; 21912411500000089;53;22;22;100;61;14%;52%;33%;55;71;76;45;64;38;81;50;62;38;74;38
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;PORTO ALEGRE;EMEF AFONSO GUERREIRO LIMA; 21912411500000090;54;23;18;78;70;12%;35%;53%;68;76;91;47;68;41;82;68;71;35;59;65
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;PORTO ALEGRE;EMEF AFONSO GUERREIRO LIMA; 21912411500000091;55;24;21;88;75;17%;11%;72%;67;89;89;42;58;44;81;78;81;56;83;44
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;PORTO ALEGRE;EMEF AMERICA; 21912411500000113;51;20;19;95;51;21%;47%;32%;50;61;68;39;29;53;82;42;58;37;71;32
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;PORTO ALEGRE;EMEF AMERICA; 21912411500000114;52;26;25;96;56;20%;56%;24%;62;64;76;46;56;40;82;46;60;36;64;28
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;PORTO ALEGRE;EMEF ARAMY SILVA; 21912411500000140;51;26;25;96;72;13%;39%;48%;50;83;91;52;59;46;93;67;67;52;80;26
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;PORTO ALEGRE;EMEF ARAMY SILVA; 21912411500000141;52;21;19;90;61;21%;37%;42%;45;76;79;42;63;47;79;61;74;32;66;42
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;PORTO ALEGRE;EMEF ARAMY SILVA; 21912411500000142;53;22;21;95;58;30%;20%;50%;61;74;76;53;60;47;71;61;66;58;60;56
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;PORTO ALEGRE;EMEF ARAMY SILVA; 21912411500000143;54;22;22;100;66;23%;27%;50%;66;77;76;64;59;59;68;57;68;45;70;45
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;PORTO ALEGRE;EMEF CAMPOS DO CRISTAL; 21912411500000163;51;31;30;97;76;7%;36%;57%;59;80;88;46;68;43;88;63;75;61;79;57
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;PORTO ALEGRE;EMEF CAMPOS DO CRISTAL; 21912411500000164;52;24;22;92;69;10%;45%;45%;53;78;80;43;80;43;85;50;68;50;78;70
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;PORTO ALEGRE;EMEF CHAPEU DO SOL; 21912411500000192;51;30;26;87;45;35%;46%;19%;50;63;79;31;33;29;65;52;62;46;60;23
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;PORTO ALEGRE;EMEF CHAPEU DO SOL; 21912411500000193;52;24;20;83;30;59%;29%;12%;38;50;50;24;41;24;65;38;44;12;50;41
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;PORTO ALEGRE;EMEF CHAPEU DO SOL; 21912411500000194;53;26;23;88;79;9%;14%;77%;66;80;86;45;77;50;93;59;91;64;80;62
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;PORTO ALEGRE;EMEF CHAPEU DO SOL; 21912411500000195;54;25;20;80;72;10%;40%;50%;73;73;90;50;70;38;80;48;80;50;78;55
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;PORTO ALEGRE;EMEF CHICO MENDES; 21912411500000228;51;28;26;93;53;30%;35%;35%;61;59;80;36;55;52;65;43;64;36;73;43
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;PORTO ALEGRE;EMEF CHICO MENDES; 21912411500000229;52;27;24;89;61;30%;30%;39%;57;63;72;48;50;33;80;54;72;61;67;30
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;PORTO ALEGRE;EMEF CHICO MENDES; 21912411500000230;53;22;20;91;30;47%;47%;6%;41;44;59;26;47;41;56;18;53;12;53;24
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;PORTO ALEGRE;EMEF CHICO MENDES; 21912411500000231;54;23;23;100;55;20%;50%;30%;50;55;73;35;50;38;78;45;58;60;75;45
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;PORTO ALEGRE;EMEF CHICO MENDES; 21912411500000232;55;23;23;100;57;29%;29%;43%;50;74;74;38;50;52;79;48;62;38;74;24
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;PORTO ALEGRE;EMEF DECIO MARTINS COSTA; 21912411500000268;51;28;25;89;63;24%;32%;44%;50;72;82;42;58;56;72;54;70;44;74;36
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;PORTO ALEGRE;EMEF DECIO MARTINS COSTA; 21912411500000269;52;23;20;87;43;50%;15%;35%;38;63;65;45;38;43;65;43;63;25;65;10
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;PORTO ALEGRE;EMEF DECIO MARTINS COSTA; 21912411500000270;53;26;22;85;81;0%;38%;62%;71;81;90;60;76;48;86;74;69;71;71;43
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;PORTO ALEGRE;EMEF DECIO MARTINS COSTA; 21912411500000271;54;29;28;97;63;18%;43%;39%;61;70;80;43;64;46;77;52;57;46;77;32
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;PORTO ALEGRE;EMEF DEP MARCIRIO GOULART LOUREIRO; 21912411500000301;51;27;27;100;50;41%;22%;37%;54;48;69;31;65;46;65;63;67;46;63;35
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;PORTO ALEGRE;EMEF DEP MARCIRIO GOULART LOUREIRO; 21912411500000302;52;28;27;96;36;50%;27%;23%;44;56;60;31;42;35;56;37;56;50;54;29
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;PORTO ALEGRE;EMEF DEP MARCIRIO GOULART LOUREIRO; 21912411500000303;53;29;22;76;34;57%;29%;14%;57;38;62;40;26;38;45;40;50;33;50;19
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;PORTO ALEGRE;EMEF DEP MARCIRIO GOULART LOUREIRO; 21912411500000304;54;31;25;81;53;28%;40%;32%;52;74;72;36;60;32;72;52;52;32;78;40
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;PORTO ALEGRE;EMEF DEP VICTOR ISSLER; 21912411500000339;51;29;24;83;54;30%;30%;39%;43;61;78;35;65;39;67;48;67;30;72;43
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;PORTO ALEGRE;EMEF DEP VICTOR ISSLER; 21912411500000340;52;30;29;97;69;7%;48%;45%;67;79;84;45;74;33;88;55;69;38;69;28
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;PORTO ALEGRE;EMEF DEP VICTOR ISSLER; 21912411500000341;53;28;25;89;62;21%;38%;42%;58;75;75;40;63;40;73;65;65;38;79;39
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;PORTO ALEGRE;EMEF DEP VICTOR ISSLER; 21912411500000342;54;29;26;90;77;4%;38%;58%;60;75;83;46;73;46;88;56;85;71;75;54
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;PORTO ALEGRE;EMEF DOLORES ALCARAZ CALDAS; 21912411500000381;51;26;25;96;66;25%;20%;55%;68;70;75;40;65;48;78;50;88;35;70;55
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;PORTO ALEGRE;EMEF DOLORES ALCARAZ CALDAS; 21912411500000382;52;26;26;100;76;9%;26%;65%;63;78;91;37;65;61;87;70;76;41;80;57
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;PORTO ALEGRE;EMEF DOLORES ALCARAZ CALDAS; 21912411500000383;53;27;24;89;45;43%;43%;14%;48;55;62;43;40;33;64;55;50;43;76;29
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;PORTO ALEGRE;EMEF DOLORES ALCARAZ CALDAS; 21912411500000384;54;29;26;90;64;20%;28%;52%;54;60;82;42;62;58;66;68;64;36;72;52
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;PORTO ALEGRE;EMEF DOLORES ALCARAZ CALDAS; 21912411500000385;55;27;25;93;69;16%;32%;52%;50;72;88;42;56;42;82;68;76;36;74;60
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;PORTO ALEGRE;EMEF ESPIRITO SANTO; 21912411500001806;51;13;11;85;49;18%;73%;9%;64;55;82;32;45;41;73;36;55;36;59;45
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;PORTO ALEGRE;EMEF EVARISTO GONCALVES NETTO; 21912411500001813;51;17;11;65;63;0%;64%;36%;55;68;86;32;55;55;86;59;50;45;82;27
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;PORTO ALEGRE;EMEF GABRIEL OBINO; 21912411500000411;51;19;17;89;28;53%;40%;7%;40;40;40;43;43;27;53;47;43;13;53;47
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;PORTO ALEGRE;EMEF GABRIEL OBINO; 21912411500000412;52;20;17;85;36;47%;29%;24%;47;38;59;21;47;53;56;35;53;24;62;41
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;PORTO ALEGRE;EMEF GOV ILDO MENEGHETTI; 21912411500000439;51;29;26;90;58;13%;58%;29%;48;75;85;25;54;35;79;56;63;33;83;46
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;PORTO ALEGRE;EMEF GOV ILDO MENEGHETTI; 21912411500000440;52;29;25;86;55;20%;48%;32%;68;60;66;42;52;44;70;56;64;44;64;32
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;PORTO ALEGRE;EMEF GOV ILDO MENEGHETTI; 21912411500000441;53;25;25;100;52;36%;20%;44%;52;62;64;36;48;46;72;48;64;64;56;28
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;PORTO ALEGRE;EMEF GOV ILDO MENEGHETTI; 21912411500000442;54;28;25;89;46;32%;44%;24%;52;56;66;52;52;32;58;29;60;35;65;30
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;PORTO ALEGRE;EMEF GRANDE ORIENTE DO RGS; 21912411500000475;51;26;22;85;41;50%;25%;25%;48;48;58;33;43;35;63;53;48;37;63;40
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;PORTO ALEGRE;EMEF GRANDE ORIENTE DO RGS; 21912411500000476;52;25;22;88;61;11%;44%;44%;64;78;81;42;53;42;75;44;81;28;67;33
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;PORTO ALEGRE;EMEF GRANDE ORIENTE DO RGS; 21912411500000477;53;25;22;88;51;21%;58%;21%;55;61;76;37;53;34;66;45;74;37;74;16
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;PORTO ALEGRE;EMEF GRANDE ORIENTE DO RGS; 21912411500000478;54;28;23;82;37;52%;30%;17%;50;50;61;24;39;28;57;41;39;36;70;18
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;PORTO ALEGRE;EMEF HEITOR VILLA LOBOS; 21912411500000506;51;26;21;81;68;11%;42%;47%;68;74;82;47;68;50;84;58;76;56;66;39
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;PORTO ALEGRE;EMEF HEITOR VILLA LOBOS; 21912411500000507;52;26;25;96;42;35%;48%;17%;43;61;74;30;41;41;63;54;57;9;54;17
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;PORTO ALEGRE;EMEF HEITOR VILLA LOBOS; 21912411500000508;53;28;26;93;58;27%;42%;31%;60;63;81;37;52;46;79;54;69;42;62;27
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;PORTO ALEGRE;EMEF HEITOR VILLA LOBOS; 21912411500000509;54;24;21;88;57;19%;50%;31%;53;78;78;31;63;47;75;56;50;44;59;33
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;PORTO ALEGRE;EMEF JEAN PIAGET; 21912411500000534;51;23;21;91;66;11%;50%;39%;67;47;86;36;58;47;78;69;78;56;75;56
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;PORTO ALEGRE;EMEF JEAN PIAGET; 21912411500000535;52;22;20;91;61;25%;25%;50%;63;66;81;34;59;60;69;59;78;44;59;19
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;PORTO ALEGRE;EMEF JEAN PIAGET; 21912411500000536;53;23;22;96;75;10%;25%;65%;63;70;83;50;78;48;80;68;80;25;85;60
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;PORTO ALEGRE;EMEF JEAN PIAGET; 21912411500000537;54;21;19;90;51;41%;18%;41%;53;63;74;26;65;31;56;56;72;38;65;44
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;PORTO ALEGRE;EMEF JOAO ANTONIO SATTE; 21912411500000561;51;21;19;90;51;33%;33%;33%;56;50;69;39;42;39;75;53;61;33;72;39
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;PORTO ALEGRE;EMEF JOAO ANTONIO SATTE; 21912411500000562;52;22;17;77;76;0%;36%;64%;68;64;96;54;68;68;86;61;75;36;86;57
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;PORTO ALEGRE;EMEF JOAO ANTONIO SATTE; 21912411500000563;53;24;21;88;65;15%;35%;50%;55;70;83;38;65;45;75;73;65;60;70;25
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;PORTO ALEGRE;EMEF JOAO ANTONIO SATTE; 21912411500000564;54;23;22;96;75;10%;29%;62%;71;93;83;52;62;36;86;64;81;62;83;52
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;PORTO ALEGRE;EMEF JOAO CARLOS DAVILA PAIXAO CORTES - LACADOR; 21912411500000580;51;22;21;95;78;10%;19%;71%;74;86;79;50;67;64;79;60;74;71;74;76
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;PORTO ALEGRE;EMEF JOSE LOUREIRO DA SILVA; 21912411500000597;51;20;17;85;58;31%;13%;56%;59;59;78;41;63;34;78;34;63;38;66;47
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;PORTO ALEGRE;EMEF JOSE LOUREIRO DA SILVA; 21912411500000598;52;22;14;64;51;25%;50%;25%;54;63;63;33;58;33;83;58;67;0;67;33
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;PORTO ALEGRE;EMEF JOSE LOUREIRO DA SILVA; 21912411500000599;53;19;14;74;47;43%;29%;29%;46;39;57;29;64;36;61;57;54;31;61;31
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;PORTO ALEGRE;EMEF JOSE LOUREIRO DA SILVA; 21912411500000600;54;20;14;70;46;31%;46%;23%;54;65;73;38;38;19;65;62;69;33;62;31
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;PORTO ALEGRE;EMEF JOSE MARIANO BECK; 21912411500000629;51;25;25;100;65;16%;48%;36%;70;66;80;40;64;44;78;62;78;48;66;28
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;PORTO ALEGRE;EMEF JOSE MARIANO BECK; 21912411500000630;52;22;17;77;41;35%;59%;6%;38;62;71;41;44;26;68;44;62;24;38;41
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;PORTO ALEGRE;EMEF JOSE MARIANO BECK; 21912411500000631;53;21;21;100;30;57%;33%;10%;40;48;43;14;33;29;64;48;62;50;45;29
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;PORTO ALEGRE;EMEF LAURO RODRIGUES; 21912411500000660;51;24;24;100;65;13%;46%;42%;58;73;83;44;65;52;75;48;75;52;67;50
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;PORTO ALEGRE;EMEF LAURO RODRIGUES; 21912411500000661;52;28;27;96;65;15%;38%;46%;56;67;83;42;63;54;77;46;71;58;69;50
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;PORTO ALEGRE;EMEF LAURO RODRIGUES; 21912411500000662;53;27;22;81;71;9%;45%;45%;52;70;86;61;70;48;84;57;77;55;75;45
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;PORTO ALEGRE;EMEF LEOCADIA FELIZARDO PRESTES; 21912411500000680;51;27;24;89;42;39%;39%;22%;48;70;54;43;48;28;67;37;48;22;65;35
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;PORTO ALEGRE;EMEF LEOCADIA FELIZARDO PRESTES; 21912411500000681;52;25;21;84;70;19%;19%;62%;64;62;83;40;67;50;76;48;69;60;71;62
