Avaliação;Rede;Ano Escolar;Componente Curricular;Município;Escola;Código da Turma;Turma;Previstos;Avaliados;Avaliados (%);Proficiência Média;Defasagem;Aprendizado intermediário;Aprendizado adequado;H 01 (%);H 02 (%);H 03 (%);H 04 (%);H 05 (%);H 06 (%);H 07 (%);H 08 (%);H 09 (%);H 10 (%);H 11 (%);H 12 (%);H 13 (%)
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;LP;PORTO ALEGRE;6001 EEF PEQUENA CASA DA CRIANCA; 21912411500000007;30;18;17;94;38;53%;12%;35%;59;74;68;63;66;56;69;50;50;38;53;63;47
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;LP;PORTO ALEGRE;6001 EEF PEQUENA CASA DA CRIANCA; 21912411500000008;31;17;16;94;53;13%;63%;25%;84;91;97;94;69;69;80;44;28;50;75;50;63
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;LP;PORTO ALEGRE;6001 EEF PEQUENA CASA DA CRIANCA; 21912411500000009;32;17;16;94;39;50%;19%;31%;59;78;81;87;75;66;80;34;44;20;59;63;47
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;LP;PORTO ALEGRE;6001 EEF PEQUENA CASA DA CRIANCA; 21912411500000010;33;11;11;100;49;45%;18%;36%;73;91;91;82;73;45;100;50;45;64;55;82;45
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;LP;PORTO ALEGRE;7028 ESCOLA DE ENSINO FUNDAMENTAL MADRE RAFFO; 21912411500000024;3A;4;4;100;77;0%;50%;50%;100;100;100;100;100;88;100;38;75;25;100;50;50
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;LP;PORTO ALEGRE;EMEB DR LIBERATO SALZANO VIEIRA DA CUNHA; 21912411500000041;31;24;19;79;43;44%;28%;28%;83;83;75;83;58;71;82;25;50;39;56;72;47
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;LP;PORTO ALEGRE;EMEB DR LIBERATO SALZANO VIEIRA DA CUNHA; 21912411500000042;32;24;20;83;24;56%;33%;11%;69;61;50;59;50;47;39;28;36;28;58;50;39
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;LP;PORTO ALEGRE;EMEB DR LIBERATO SALZANO VIEIRA DA CUNHA; 21912411500000043;33;24;17;71;46;38%;31%;31%;63;88;78;80;72;86;63;25;59;44;56;88;50
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;LP;PORTO ALEGRE;EMEB DR LIBERATO SALZANO VIEIRA DA CUNHA; 21912411500000044;34;26;26;100;58;15%;42%;42%;84;88;85;92;69;73;91;40;67;38;73;81;54
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;LP;PORTO ALEGRE;EMEF AFONSO GUERREIRO LIMA; 21912411500000077;31;22;19;86;53;37%;16%;47%;79;79;69;83;79;63;76;45;58;42;66;78;55
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;LP;PORTO ALEGRE;EMEF AFONSO GUERREIRO LIMA; 21912411500000078;32;24;18;75;70;13%;13%;73%;77;90;97;93;83;93;87;63;63;27;73;93;53
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;LP;PORTO ALEGRE;EMEF AFONSO GUERREIRO LIMA; 21912411500000079;33;23;14;61;40;36%;50%;14%;50;71;64;93;50;64;57;39;57;21;79;71;54
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;LP;PORTO ALEGRE;EMEF AFONSO GUERREIRO LIMA; 21912411500000080;34;25;18;72;46;19%;56%;25%;88;50;59;86;53;63;88;41;69;83;63;75;66
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;LP;PORTO ALEGRE;EMEF AFONSO GUERREIRO LIMA; 21912411500000081;35;26;25;96;67;17%;29%;54%;72;81;85;92;85;83;88;67;65;43;81;79;69
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;LP;PORTO ALEGRE;EMEF AMERICA; 21912411500000109;31;25;19;76;51;32%;26%;42%;82;89;84;72;63;74;68;39;53;32;68;74;55
