Avaliação;Rede;Ano Escolar;Componente Curricular;Município;Escola;Código da Turma;Turma;Previstos;Avaliados;Avaliados (%);Proficiência Média;Defasagem;Aprendizado intermediário;Aprendizado adequado;H 01 (%);H 02 (%);H 03 (%);H 04 (%);H 05 (%);H 06 (%);H 07 (%);H 08 (%);H 09 (%)
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;PORTO ALEGRE;EMEF ARAMY SILVA; 21912411500000124;14;19;16;84;42;40%;53%;7%;82;63;47;13;77;83;51;57;47
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;PORTO ALEGRE;EMEF ARAMY SILVA; 21912411500000125;15;17;15;88;42;50%;21%;29%;76;75;38;25;71;46;55;43;55
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;PORTO ALEGRE;EMEF ARAMY SILVA; 21912411500000127;17;18;15;83;3;92%;8%;0%;13;27;14;5;27;9;31;12;28
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;PORTO ALEGRE;EMEF CAMPOS DO CRISTAL; 21912411500000155;11;21;21;100;38;30%;65%;5%;55;85;33;15;80;38;83;73;47
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;PORTO ALEGRE;EMEF CAMPOS DO CRISTAL; 21912411500000156;12;24;24;100;55;17%;43%;39%;77;80;45;28;89;59;91;87;41
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;PORTO ALEGRE;EMEF CHAPEU DO SOL; 21912411500000173;11;19;17;89;12;82%;12%;6%;39;38;20;15;29;50;24;18;41
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;PORTO ALEGRE;EMEF CHAPEU DO SOL; 21912411500000174;12;19;17;89;7;87%;13%;0%;36;15;29;35;37;30;29;43;29
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;PORTO ALEGRE;EMEF CHAPEU DO SOL; 21912411500000175;13;17;16;94;19;80%;7%;13%;51;80;36;7;67;57;24;40;42
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;PORTO ALEGRE;EMEF CHAPEU DO SOL; 21912411500000176;14;19;14;74;24;69%;8%;23%;50;38;27;50;50;23;38;46;33
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;PORTO ALEGRE;EMEF CHAPEU DO SOL; 21912411500000177;15;21;17;81;9;100%;0%;0%;44;22;38;22;66;40;31;13;27
