Avaliação;Rede;Ano Escolar;Componente Curricular;Município;Escola;Código da Turma;Turma;Previstos;Avaliados;Avaliados (%);Proficiência Média;Defasagem;Aprendizado intermediário;Aprendizado adequado;H 01 (%);H 02 (%);H 03 (%);H 04 (%);H 05 (%);H 06 (%);H 07 (%);H 08 (%);H 09 (%)
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;PORTO ALEGRE;EMEF JOAO CARLOS DAVILA PAIXAO CORTES - LACADOR; 21912411500000576;12;21;18;86;39;36%;57%;7%;95;82;38;11;71;58;60;29;62
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;PORTO ALEGRE;EMEF JOSE LOUREIRO DA SILVA; 21912411500000581;11;16;11;69;18;64%;36%;0%;62;60;26;14;61;35;45;33;30
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;PORTO ALEGRE;EMEF JOSE LOUREIRO DA SILVA; 21912411500000582;12;22;19;86;33;39%;56%;6%;61;72;43;22;72;61;57;33;39
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;PORTO ALEGRE;EMEF JOSE LOUREIRO DA SILVA; 21912411500000583;13;17;10;59;6;88%;13%;0%;38;50;14;10;38;19;24;6;33
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;PORTO ALEGRE;EMEF JOSE LOUREIRO DA SILVA; 21912411500000584;14;15;11;73;44;40%;40%;20%;80;85;47;39;95;65;53;45;50
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;PORTO ALEGRE;EMEF JOSE MARIANO BECK; 21912411500000617;11;24;19;79;19;74%;16%;11%;50;56;33;12;79;32;25;36;44
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;PORTO ALEGRE;EMEF JOSE MARIANO BECK; 21912411500000618;12;25;19;76;4;95%;5%;0%;23;50;29;11;42;24;15;22;24
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;PORTO ALEGRE;EMEF JOSE MARIANO BECK; 21912411500000619;13;22;17;77;30;47%;47%;7%;56;75;40;17;67;53;49;50;49
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;PORTO ALEGRE;EMEF LAURO RODRIGUES; 21912411500000645;11;20;20;100;77;6%;28%;67%;78;82;70;72;88;88;87;76;85
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;PORTO ALEGRE;EMEF LAURO RODRIGUES; 21912411500000646;12;15;14;93;52;23%;54%;23%;82;85;46;38;92;88;59;50;51
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;PORTO ALEGRE;EMEF LAURO RODRIGUES; 21912411500000647;13;16;14;88;26;57%;29%;14%;57;79;31;14;93;54;40;25;40
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;PORTO ALEGRE;EMEF LAURO RODRIGUES; 21912411500000648;14;17;14;82;54;23%;54%;23%;69;85;44;12;77;81;64;58;82
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;PORTO ALEGRE;EMEF LAURO RODRIGUES; 21912411500000649;15;20;17;85;67;18%;29%;53%;76;88;71;63;91;97;63;68;71
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;PORTO ALEGRE;EMEF LEOCADIA FELIZARDO PRESTES; 21912411500000671;11;21;18;86;37;50%;33%;17%;67;58;59;4;58;74;65;35;48
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;PORTO ALEGRE;EMEF LEOCADIA FELIZARDO PRESTES; 21912411500000672;12;20;17;85;68;19%;31%;50%;83;81;48;67;88;91;73;69;75
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;PORTO ALEGRE;EMEF LIDOVINO FANTON; 21912411500000689;11;27;18;67;50;28%;33%;39%;20;63;67;74;88;90;76;76;76
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;PORTO ALEGRE;EMEF LIDOVINO FANTON; 21912411500000690;12;21;16;76;52;40%;27%;33%;64;68;75;71;85;77;71;54;52
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;PORTO ALEGRE;EMEF LIDOVINO FANTON; 21912411500000691;13;25;17;68;38;47%;41%;12%;76;85;33;38;78;56;47;38;47
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;PORTO ALEGRE;EMEF LIDOVINO FANTON; 21912411500000692;14;19;13;68;58;22%;56%;22%;67;83;52;44;100;94;78;50;59
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;PORTO ALEGRE;EMEF MARIO QUINTANA; 21912411500000725;11;22;18;82;6;88%;12%;0%;27;42;18;5;34;36;20;27;37
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;PORTO ALEGRE;EMEF MARIO QUINTANA; 21912411500000726;12;24;23;96;2;95%;5%;0%;19;17;21;28;40;12;16;9;14
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;PORTO ALEGRE;EMEF MIGRANTES; 21912411500000743;11;12;12;100;40;25%;67%;8%;69;75;47;14;75;75;42;38;47
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;PORTO ALEGRE;EMEF MIGRANTES; 21912411500000744;12;11;6;55;25;60%;40%;0%;73;50;33;10;60;30;40;40;40
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;PORTO ALEGRE;EMEF MORADAS DA HIPICA; 21912411500000753;11;23;21;91;42;42%;42%;16%;72;87;44;25;87;63;61;50;42
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;PORTO ALEGRE;EMEF MORADAS DA HIPICA; 21912411500000754;12;23;21;91;36;45%;45%;10%;63;90;32;30;80;45;53;45;47
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;PORTO ALEGRE;EMEF MORADAS DA HIPICA; 21912411500000755;13;22;20;91;26;58%;32%;11%;67;74;39;22;82;50;28;39;33
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;PORTO ALEGRE;EMEF MORADAS DA HIPICA; 21912411500000756;14;23;19;83;90;6%;12%;82%;96;94;92;85;97;85;84;76;92
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;PORTO ALEGRE;EMEF MORRO DA CRUZ; 21912411500000788;11;21;15;71;30;57%;29%;14%;54;8;31;50;54;65;74;57;52
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;PORTO ALEGRE;EMEF MORRO DA CRUZ; 21912411500000789;12;24;17;71;57;18%;53%;29%;49;18;73;63;71;82;73;76;78
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;PORTO ALEGRE;EMEF MORRO DA CRUZ; 21912411500000790;13;23;16;70;27;56%;38%;6%;56;19;17;19;81;78;65;53;56
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;PORTO ALEGRE;EMEF MORRO DA CRUZ; 21912411500000791;14;25;19;76;39;42%;42%;16%;68;47;51;42;84;66;44;55;54
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;PORTO ALEGRE;EMEF NEUSA GOULART BRIZOLA; 21912411500000820;11;20;13;65;33;64%;18%;18%;70;86;43;25;75;35;53;50;55
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;PORTO ALEGRE;EMEF NEUSA GOULART BRIZOLA; 21912411500000821;12;21;20;95;37;53%;26%;21%;76;68;22;47;76;83;45;53;56
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;PORTO ALEGRE;EMEF NEUSA GOULART BRIZOLA; 21912411500000822;13;22;19;86;45;50%;19%;31%;85;70;33;54;88;53;42;50;69
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;PORTO ALEGRE;EMEF NOSSA SENHORA DE FATIMA; 21912411500000838;11;23;17;74;38;44%;38%;19%;56;50;33;30;78;78;58;44;71
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;PORTO ALEGRE;EMEF NOSSA SENHORA DE FATIMA; 21912411500000839;12;24;19;79;54;28%;44%;28%;72;59;59;63;86;78;69;63;57
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;PORTO ALEGRE;EMEF NOSSA SENHORA DE FATIMA; 21912411500000840;13;19;16;84;11;81%;13%;6%;29;31;29;20;67;33;25;22;38
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;PORTO ALEGRE;EMEF NOSSA SENHORA DE FATIMA; 21912411500000841;14;25;19;76;55;26%;42%;32%;84;79;60;57;82;87;67;61;46
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;PORTO ALEGRE;EMEF NOSSA SENHORA DO CARMO; 21912411500000862;11;24;18;75;15;78%;17%;6%;57;41;28;17;56;44;41;33;31
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;PORTO ALEGRE;EMEF NOSSA SENHORA DO CARMO; 21912411500000863;12;24;20;83;19;79%;16%;5%;47;41;35;34;76;75;45;29;30
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;PORTO ALEGRE;EMEF NOSSA SENHORA DO CARMO; 21912411500000864;13;21;18;86;8;89%;11%;0%;50;29;16;24;47;39;35;33;17
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;PORTO ALEGRE;EMEF NOSSA SENHORA DO CARMO; 21912411500000865;14;25;20;80;17;75%;20%;5%;63;40;18;28;53;33;33;45;42
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;PORTO ALEGRE;EMEF PEPITA DE LEAO; 21912411500000891;11;21;18;86;19;67%;33%;0%;62;68;19;17;68;64;36;30;36
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;PORTO ALEGRE;EMEF PEPITA DE LEAO; 21912411500000892;12;22;16;73;53;17%;67%;17%;64;54;56;73;83;82;75;21;72
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;PORTO ALEGRE;EMEF PORTO NOVO; 21912411500000912;11;22;20;91;21;75%;15%;10%;57;65;32;32;75;38;35;40;28
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;PORTO ALEGRE;EMEF PORTO NOVO; 21912411500000913;12;23;21;91;24;67%;19%;14%;54;43;39;30;71;37;56;42;40
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;PORTO ALEGRE;EMEF PRES JOAO BELCHIOR MARQUES GOULART; 21912411500000930;11;23;19;83;38;53%;16%;32%;76;58;57;9;67;53;51;35;53
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;PORTO ALEGRE;EMEF PRES JOAO BELCHIOR MARQUES GOULART; 21912411500000931;12;17;16;94;26;75%;19%;6%;65;64;33;23;59;63;38;43;46
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;PORTO ALEGRE;EMEF PRES JOAO BELCHIOR MARQUES GOULART; 21912411500000932;13;22;17;77;21;65%;29%;6%;41;64;27;18;74;65;35;34;43
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;PORTO ALEGRE;EMEF PRES JOAO BELCHIOR MARQUES GOULART; 21912411500000933;14;21;19;90;14;78%;17%;6%;46;44;20;28;56;39;40;24;25
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;PORTO ALEGRE;EMEF PRESIDENTE VARGAS; 21912411500000954;11;22;20;91;34;56%;28%;17%;76;72;22;29;72;78;51;31;52
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;PORTO ALEGRE;EMEF PRESIDENTE VARGAS; 21912411500000955;12;23;17;74;17;81%;13%;6%;52;53;16;27;72;53;27;39;50
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;PORTO ALEGRE;EMEF PROF ANA IRIS DO AMARAL; 21912411500000973;11;20;20;100;47;35%;29%;35%;63;82;43;24;79;68;57;59;47
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;PORTO ALEGRE;EMEF PROF ANA IRIS DO AMARAL; 21912411500000974;12;20;16;80;66;7%;50%;43%;83;40;55;69;89;86;88;57;86
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;PORTO ALEGRE;EMEF PROF ANISIO TEIXEIRA; 21912411500000991;11;14;13;93;55;22%;44%;33%;85;89;41;67;83;56;63;78;48
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;PORTO ALEGRE;EMEF PROF ANISIO TEIXEIRA; 21912411500000992;12;22;19;86;18;71%;24%;6%;44;43;31;13;69;43;42;42;47
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;PORTO ALEGRE;EMEF PROF ANISIO TEIXEIRA; 21912411500000993;13;17;16;94;62;29%;29%;43%;79;79;60;57;82;86;67;46;62
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;PORTO ALEGRE;EMEF PROF ANISIO TEIXEIRA; 21912411500000994;14;20;19;95;63;6%;63%;31%;69;81;54;33;100;78;75;69;73
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;PORTO ALEGRE;EMEF PROF GILBERTO JORGE GONCALVES DA SILVA; 21912411500001026;11;22;21;95;36;44%;44%;11%;73;37;35;28;67;78;69;56;48
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;PORTO ALEGRE;EMEF PROF JUDITH MACEDO DE ARAUJO; 21912411500001035;11;21;16;76;7;93%;7%;0%;52;68;31;32;29;36;29;43;26
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;PORTO ALEGRE;EMEF PROF JUDITH MACEDO DE ARAUJO; 21912411500001036;12;22;21;95;17;63%;37%;0%;44;11;25;17;64;66;56;37;49
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;PORTO ALEGRE;EMEF PROF JUDITH MACEDO DE ARAUJO; 21912411500001037;13;22;16;73;11;86%;7%;7%;33;50;29;36;25;43;36;36;29
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;PORTO ALEGRE;EMEF PROF JUDITH MACEDO DE ARAUJO; 21912411500001038;14;22;18;82;8;88%;13%;0%;57;33;24;18;56;44;40;28;35
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;PORTO ALEGRE;EMEF PROF LARRY JOSE RIBEIRO ALVES; 21912411500001062;11;19;15;79;24;64%;29%;7%;69;58;31;27;73;57;43;27;38
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;PORTO ALEGRE;EMEF PROF LARRY JOSE RIBEIRO ALVES; 21912411500001063;12;21;19;90;11;83%;11%;6%;63;47;37;13;15;39;22;32;28
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;PORTO ALEGRE;EMEF PROF LARRY JOSE RIBEIRO ALVES; 21912411500001064;13;21;18;86;35;59%;24%;18%;80;71;47;38;76;44;43;44;39
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;PORTO ALEGRE;EMEF PROF LARRY JOSE RIBEIRO ALVES; 21912411500001065;14;23;16;70;35;60%;13%;27%;64;77;38;46;60;54;51;43;31
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;PORTO ALEGRE;EMEF RINCAO; 21912411500001093;11;22;20;91;68;22%;22%;56%;72;92;67;71;89;92;67;84;59
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;PORTO ALEGRE;EMEF RINCAO; 21912411500001094;12;25;19;76;19;68%;26%;5%;39;53;30;5;69;33;42;47;39
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;PORTO ALEGRE;EMEF SAINT HILAIRE; 21912411500001111;11;21;15;71;23;71%;21%;7%;52;64;36;17;96;71;40;35;36
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;PORTO ALEGRE;EMEF SAINT HILAIRE; 21912411500001112;12;22;19;86;29;63%;38%;0%;60;66;31;7;91;81;75;14;35
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;PORTO ALEGRE;EMEF SAINT HILAIRE; 21912411500001113;13;24;19;79;23;67%;28%;6%;53;63;21;20;74;47;55;27;41
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;PORTO ALEGRE;EMEF SAINT HILAIRE; 21912411500001114;14;20;18;90;30;65%;24%;12%;45;53;35;11;56;74;57;59;53
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;PORTO ALEGRE;EMEF SAO PEDRO; 21912411500001145;11;24;19;79;68;24%;18%;59%;82;87;65;59;76;69;69;91;75
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;PORTO ALEGRE;EMEF SAO PEDRO; 21912411500001146;12;22;13;59;13;92%;0%;8%;54;38;11;14;40;70;53;31;50
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;PORTO ALEGRE;EMEF SAO PEDRO; 21912411500001147;13;24;21;88;21;71%;19%;10%;56;8;28;41;55;75;42;61;35
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;PORTO ALEGRE;EMEF SAO PEDRO; 21912411500001148;14;25;15;60;51;23%;54%;23%;54;28;49;55;85;95;82;82;67
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;PORTO ALEGRE;EMEF SEN ALBERTO PASQUALINI; 21912411500001182;11;23;17;74;40;25%;69%;6%;65;63;44;47;78;72;52;75;19
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;PORTO ALEGRE;EMEF SEN ALBERTO PASQUALINI; 21912411500001183;12;20;16;80;85;7%;20%;73%;69;83;84;87;77;93;87;87;76
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;PORTO ALEGRE;EMEF SEN ALBERTO PASQUALINI; 21912411500001184;13;21;17;81;70;20%;20%;60%;69;86;53;60;93;87;76;80;73
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;PORTO ALEGRE;EMEF SEN ALBERTO PASQUALINI; 21912411500001185;14;22;16;73;33;57%;29%;14%;52;62;29;43;86;82;52;43;45
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;PORTO ALEGRE;EMEF TIMBAUVA; 21912411500001217;11;20;18;90;96;0%;6%;94%;96;97;86;81;94;100;94;85;94
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;PORTO ALEGRE;EMEF TIMBAUVA; 21912411500001218;12;20;18;90;99;0%;0%;100%;94;88;96;94;100;94;92;97;96
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;PORTO ALEGRE;EMEF TIMBAUVA; 21912411500001219;13;22;20;91;58;0%;85%;15%;8;78;53;63;90;93;87;75;82
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;PORTO ALEGRE;EMEF VER ANTONIO GIUDICE; 21912411500001244;11;22;20;91;27;65%;18%;18%;51;67;45;25;68;30;49;32;49
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;PORTO ALEGRE;EMEF VER ANTONIO GIUDICE; 21912411500001245;12;22;17;77;42;43%;29%;29%;79;89;36;36;61;71;45;77;48
