Avaliação;Rede;Ano Escolar;Componente Curricular;Estado;Regional;Município;Escola;Código da Turma;Turma;Previstos;Avaliados;Avaliados (%);Proficiência Média;Defasagem;Aprendizado intermediário;Aprendizado adequado;H 01 (%);H 02 (%);H 03 (%);H 04 (%);H 05 (%);H 06 (%);H 07 (%);H 08 (%);H 09 (%)
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF SAO PEDRO; 21192411500000949;14;24;19;79;32;58%;21%;21%;54;59;28;39;14;42;53;38;53
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF JOSE MARIANO BECK; 21192411500000984;11;22;15;68;54;27%;33%;40%;64;79;60;44;36;56;70;60;53
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF JOSE MARIANO BECK; 21192411500000985;12;22;14;64;87;0%;14%;86%;83;50;86;76;86;86;93;81;54
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF JOSE MARIANO BECK; 21192411500000986;13;21;15;71;61;0%;47%;53%;89;77;67;20;53;58;63;37;60
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF JEAN PIAGET; 21192411500001011;11;21;16;76;94;0%;6%;94%;92;88;85;73;94;92;91;66;88
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF JEAN PIAGET; 21192411500001012;12;17;15;88;33;67%;0%;33%;44;25;41;28;25;38;57;54;54
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF JEAN PIAGET; 21192411500001013;13;23;20;87;86;10%;0%;90%;82;80;70;80;80;87;80;59;82
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF VER ANTONIO GIUDICE; 21192411500001040;11;21;15;71;81;0%;20%;80%;80;40;78;87;13;62;87;97;87
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF VER ANTONIO GIUDICE; 21192411500001041;12;20;14;70;64;21%;21%;57%;74;57;43;52;82;45;75;57;57
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF VER ANTONIO GIUDICE; 21192411500001042;13;22;18;82;70;22%;17%;61%;80;69;59;77;69;78;74;62;75
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF VER ANTONIO GIUDICE; 21192411500001043;14;24;18;75;31;61%;28%;11%;52;22;57;31;31;50;53;56;31
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF PROF ANISIO TEIXEIRA; 21192411500001069;11;18;15;83;62;27%;20%;53%;89;70;67;33;87;53;67;32;57
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF PROF ANISIO TEIXEIRA; 21192411500001070;12;22;18;82;77;11%;22%;67%;85;89;72;46;78;67;83;36;67
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF PROF ANISIO TEIXEIRA; 21192411500001071;13;16;12;75;70;8%;33%;58%;75;96;64;50;83;64;71;33;67
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF PROF ANISIO TEIXEIRA; 21192411500001072;14;21;16;76;61;19%;38%;44%;77;73;48;48;83;63;56;33;57
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF CAMPOS DO CRISTAL; 21192411500001105;11;20;17;85;83;0%;29%;71%;82;88;78;55;85;76;79;68;76
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF CAMPOS DO CRISTAL; 21192411500001106;12;18;15;83;47;33%;40%;27%;76;86;60;31;63;36;60;14;33
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF WENCESLAU FONTOURA; 21192411500001123;11;23;17;74;63;6%;47%;47%;71;7;67;65;33;86;59;71;79
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF WENCESLAU FONTOURA; 21192411500001124;12;26;21;81;50;38%;24%;38%;62;74;53;30;73;43;71;47;53
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF WENCESLAU FONTOURA; 21192411500001125;13;23;17;74;90;0%;18%;82%;84;82;82;80;88;94;68;74;82
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF WENCESLAU FONTOURA; 21192411500001126;14;21;15;71;42;47%;27%;27%;60;58;43;21;68;60;46;35;42
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF VILA MONTE CRISTO; 21192411500001153;11;12;7;58;81;14%;0%;86%;100;79;81;57;100;62;79;64;64
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF VILA MONTE CRISTO; 21192411500001154;12;12;12;100;96;0%;8%;92%;92;88;97;97;63;78;83;100;96
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF VILA MONTE CRISTO; 21192411500001155;13;15;13;87;72;15%;8%;77%;77;96;82;44;69;62;81;27;46
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF VILA MONTE CRISTO; 21192411500001156;14;21;11;52;94;0%;9%;91%;100;95;85;82;77;79;73;77;91
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF VILA MONTE CRISTO; 21192411500001157;15;19;13;68;72;15%;15%;69%;85;88;69;49;65;69;69;50;65
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF MIGRANTES; 21192411500001190;11;18;14;78;74;14%;14%;71%;74;89;79;67;50;62;68;86;71
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF MORRO DA CRUZ; 21192411500001200;11;18;15;83;52;27%;40%;33%;76;70;64;47;50;31;67;23;43
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF MORRO DA CRUZ; 21192411500001201;12;21;8;38;5;100%;0%;0%;28;10;11;7;33;33;25;25;0
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF MORRO DA CRUZ; 21192411500001202;13;23;17;74;10;88%;12%;0%;31;7;19;5;23;39;47;29;13
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF MORRO DA CRUZ; 21192411500001203;14;22;21;95;4;95%;5%;0%;49;3;26;5;10;30;38;36;31
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF NEUSA GOULART BRIZOLA; 21192411500001232;11;21;15;71;81;7%;13%;80%;91;87;80;58;86;76;70;47;50
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF NEUSA GOULART BRIZOLA; 21192411500001233;12;21;15;71;78;7%;27%;67%;87;67;76;62;80;71;77;54;73
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF CHICO MENDES; 21192411500001249;11;23;15;65;38;40%;60%;0%;56;80;31;49;0;44;83;50;40
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF CHICO MENDES; 21192411500001250;12;23;16;70;65;13%;38%;50%;88;90;64;54;59;75;57;21;44
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF CHICO MENDES; 21192411500001251;13;27;20;74;78;0%;25%;75%;88;85;55;73;53;82;93;29;30
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF CHICO MENDES; 21192411500001252;14;24;21;88;50;29%;38%;33%;77;73;56;37;43;62;68;41;38
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF MARIO QUINTANA; 21192411500001287;11;22;16;73;31;63%;13%;25%;46;53;33;36;65;31;66;4;46
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF MARIO QUINTANA; 21192411500001288;12;23;16;70;2;100%;0%;0%;31;25;30;21;0;25;42;33;62
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF CHAPEU DO SOL; 21192411500001305;11;21;15;71;69;13%;27%;60%;69;10;87;73;50;69;67;68;87
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF CHAPEU DO SOL; 21192411500001306;12;21;10;48;92;0%;10%;90%;87;95;80;73;90;77;85;90;95
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF CHAPEU DO SOL; 21192411500001307;13;24;18;75;16;72%;28%;0%;42;38;17;13;59;25;43;18;43
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF CHAPEU DO SOL; 21192411500001308;14;25;20;80;16;85%;15%;0%;65;7;37;12;19;25;44;28;55
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF CHAPEU DO SOL; 21192411500001309;15;23;14;61;66;7%;43%;50%;71;71;62;51;68;57;71;61;79
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF TIMBAUVA; 21192411500001344;11;19;15;79;19;80%;7%;13%;67;14;38;17;28;40;60;21;35
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF TIMBAUVA; 21192411500001345;12;20;13;65;35;54%;31%;15%;67;46;38;11;64;51;58;27;50
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF TIMBAUVA; 21192411500001346;13;18;15;83;67;27%;13%;60%;71;87;69;64;70;58;57;67;63
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;6002 EEF ALDEIA LUMIAR; 21192411500001371;11 - F1A;6;5;83;67;0%;20%;80%;100;80;40;47;60;53;40;90;80
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;6002 EEF ALDEIA LUMIAR; 21192411500001372;11 - F1B;6;5;83;64;20%;0%;80%;93;60;47;47;60;47;70;88;80
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;6002 EEF ALDEIA LUMIAR; 21192411500001373;11 - F1C;8;8;100;58;25%;38%;38%;75;81;43;42;44;50;81;75;75
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF NOSSA SENHORA DO CARMO; 21192411500001391;11;23;20;87;12;85%;15%;0%;48;27;31;23;27;25;38;35;42
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF NOSSA SENHORA DO CARMO; 21192411500001392;12;22;18;82;84;6%;17%;78%;89;89;61;74;89;72;76;53;64
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF NOSSA SENHORA DO CARMO; 21192411500001393;13;22;16;73;58;25%;19%;56%;71;10;73;60;44;69;87;62;75
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF JOAO CARLOS D AVILA PAIXAO CORTES (LACADOR); 21192411500001420;11;19;12;63;69;8%;33%;58%;89;71;67;39;86;64;83;30;41
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF RINCAO; 21192411500001424;11;22;18;82;95;0%;0%;100%;93;78;76;74;94;80;72;81;94
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF RINCAO; 21192411500001425;12;23;16;70;79;13%;13%;75%;83;91;85;54;75;69;78;57;63
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF MORADAS DA HIPICA; 21192411500001442;11;22;15;68;65;20%;27%;53%;78;70;56;62;75;62;79;46;80
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF MORADAS DA HIPICA; 21192411500001443;12;21;15;71;65;7%;47%;47%;69;80;78;51;67;44;70;33;57
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF MORADAS DA HIPICA; 21192411500001444;13;21;16;76;67;19%;31%;50%;73;78;63;63;63;69;47;77;75
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF MORADAS DA HIPICA; 21192411500001445;14;24;20;83;75;5%;20%;75%;87;70;47;50;78;73;80;47;75
