Avaliação;Rede;Ano Escolar;Componente Curricular;Estado;Regional;Município;Escola;Código da Turma;Turma;Previstos;Avaliados;Avaliados (%);Proficiência Média;Defasagem;Aprendizado intermediário;Aprendizado adequado;H 01 (%);H 02 (%);H 03 (%);H 04 (%);H 05 (%);H 06 (%);H 07 (%);H 08 (%);H 09 (%)
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF GRANDE ORIENTE DO RGS; 21192411500000522;11;21;16;76;69;13%;25%;63%;79;72;65;64;84;58;80;11;59
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF GRANDE ORIENTE DO RGS; 21192411500000523;12;21;10;48;93;0%;10%;90%;77;75;87;63;85;93;75;65;90
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF GRANDE ORIENTE DO RGS; 21192411500000524;13;21;13;62;56;23%;38%;38%;72;69;41;28;65;46;67;56;85
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF GRANDE ORIENTE DO RGS; 21192411500000525;14;22;12;55;87;0%;17%;83%;83;88;69;72;83;92;88;54;63
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF PROF JUDITH MACEDO DE ARAUJO; 21192411500000555;11;18;16;89;65;6%;50%;44%;92;47;56;53;14;88;80;59;75
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF PROF JUDITH MACEDO DE ARAUJO; 21192411500000556;12;20;16;80;18;75%;19%;6%;62;53;33;23;38;25;37;10;31
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF PROF JUDITH MACEDO DE ARAUJO; 21192411500000557;13;23;20;87;44;40%;20%;40%;60;21;60;51;36;54;76;59;58
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF PROF JUDITH MACEDO DE ARAUJO; 21192411500000558;14;20;17;85;71;18%;12%;71%;65;85;67;47;72;78;76;53;76
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF LEOCADIA FELIZARDO PRESTES; 21192411500000582;11;25;20;80;40;45%;35%;20%;73;69;47;32;43;48;38;19;29
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF LEOCADIA FELIZARDO PRESTES; 21192411500000583;12;24;16;67;40;38%;44%;19%;65;39;53;40;47;46;31;43;72
