Avaliação;Rede;Ano Escolar;Componente Curricular;Município;Escola;Código da Turma;Turma;Previstos;Avaliados;Avaliados (%);Proficiência Média;Defasagem;Aprendizado intermediário;Aprendizado adequado;H 01 (%);H 02 (%);H 03 (%);H 04 (%);H 05 (%);H 06 (%);H 07 (%);H 08 (%);H 09 (%);H 10 (%);H 11 (%)
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;LP;PORTO ALEGRE;EMEF MORRO DA CRUZ; 21912411500000800;41;25;19;76;27;74%;5%;21%;39;53;45;53;26;38;29;34;28;44;29
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;LP;PORTO ALEGRE;EMEF MORRO DA CRUZ; 21912411500000801;42;27;21;78;29;67%;10%;24%;45;38;40;45;36;36;40;40;40;40;45
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;LP;PORTO ALEGRE;EMEF MORRO DA CRUZ; 21912411500000802;43;21;16;76;32;69%;6%;25%;63;44;31;44;38;38;41;66;38;50;34
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;LP;PORTO ALEGRE;EMEF MORRO DA CRUZ; 21912411500000803;44;25;21;84;43;52%;10%;38%;50;61;43;63;57;47;33;60;40;47;53
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;LP;PORTO ALEGRE;EMEF NEUSA GOULART BRIZOLA; 21912411500000827;41;20;18;90;69;17%;28%;56%;58;67;47;78;61;58;44;81;72;69;56
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;LP;PORTO ALEGRE;EMEF NEUSA GOULART BRIZOLA; 21912411500000828;42;22;20;91;54;33%;28%;39%;61;67;50;69;47;58;50;75;56;56;39
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;LP;PORTO ALEGRE;EMEF NOSSA SENHORA DE FATIMA; 21912411500000848;41;26;20;77;41;47%;21%;32%;45;47;58;63;45;47;32;61;47;47;39
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;LP;PORTO ALEGRE;EMEF NOSSA SENHORA DE FATIMA; 21912411500000849;42;21;18;86;54;28%;33%;39%;69;61;42;69;58;50;47;78;72;56;39
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;LP;PORTO ALEGRE;EMEF NOSSA SENHORA DE FATIMA; 21912411500000850;43;23;21;91;27;60%;30%;10%;30;48;35;38;38;40;35;53;45;40;35
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;LP;PORTO ALEGRE;EMEF NOSSA SENHORA DO CARMO; 21912411500000872;41;26;22;85;49;30%;30%;40%;53;63;63;43;45;55;50;73;68;50;50
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;LP;PORTO ALEGRE;EMEF NOSSA SENHORA DO CARMO; 21912411500000873;42;23;21;91;64;20%;30%;50%;85;53;53;68;58;53;58;73;65;53;58
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;LP;PORTO ALEGRE;EMEF NOSSA SENHORA DO CARMO; 21912411500000874;43;26;24;92;52;25%;40%;35%;58;65;53;60;53;50;45;75;58;58;35
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;LP;PORTO ALEGRE;EMEF NOSSA SENHORA DO CARMO; 21912411500000875;44;28;26;93;42;54%;21%;25%;56;56;38;58;58;31;40;75;54;50;38
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;LP;PORTO ALEGRE;EMEF PEPITA DE LEAO; 21912411500000899;41;24;21;88;45;42%;21%;37%;63;47;50;44;53;47;53;64;44;53;56
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;LP;PORTO ALEGRE;EMEF PEPITA DE LEAO; 21912411500000900;42;21;18;86;50;24%;41%;35%;62;56;47;50;50;56;50;68;47;56;47
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;LP;PORTO ALEGRE;EMEF PEPITA DE LEAO; 21912411500000901;43;18;16;89;56;25%;42%;33%;75;58;46;50;67;46;46;79;58;58;46
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;LP;PORTO ALEGRE;EMEF PORTO NOVO; 21912411500000918;41;22;21;95;43;44%;33%;22%;64;53;44;44;39;33;53;81;56;44;47
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;LP;PORTO ALEGRE;EMEF PORTO NOVO; 21912411500000919;42;23;21;91;62;15%;35%;50%;70;78;58;63;58;55;43;83;53;55;58
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;LP;PORTO ALEGRE;EMEF PRES JOAO BELCHIOR MARQUES GOULART; 21912411500000941;41;22;19;86;69;21%;26%;53%;79;79;53;63;66;66;61;79;71;74;61
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;LP;PORTO ALEGRE;EMEF PRES JOAO BELCHIOR MARQUES GOULART; 21912411500000942;42;11;10;91;59;20%;40%;40%;67;60;60;50;70;70;55;85;65;55;55
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;LP;PORTO ALEGRE;EMEF PRES JOAO BELCHIOR MARQUES GOULART; 21912411500000943;43;20;19;95;57;25%;44%;31%;72;63;63;69;56;43;47;88;59;44;66
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;LP;PORTO ALEGRE;EMEF PRESIDENTE VARGAS; 21912411500000960;41;23;20;87;49;42%;16%;42%;71;45;42;58;50;58;39;76;53;53;39
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;LP;PORTO ALEGRE;EMEF PRESIDENTE VARGAS; 21912411500000961;42;24;23;96;54;40%;15%;45%;60;55;40;70;55;50;40;68;48;60;45
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;LP;PORTO ALEGRE;EMEF PROF ANA IRIS DO AMARAL; 21912411500000979;41;23;22;96;62;23%;41%;36%;66;66;66;64;68;55;57;77;64;61;61
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;LP;PORTO ALEGRE;EMEF PROF ANA IRIS DO AMARAL; 21912411500000980;42;23;23;100;76;9%;27%;64%;75;70;84;84;64;61;68;75;68;73;57
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;LP;PORTO ALEGRE;EMEF PROF ANISIO TEIXEIRA; 21912411500001002;41;24;21;88;84;14%;0%;86%;81;85;70;85;88;80;70;83;83;73;63
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;LP;PORTO ALEGRE;EMEF PROF ANISIO TEIXEIRA; 21912411500001003;42;24;18;75;65;23%;23%;54%;73;65;58;81;62;62;46;88;69;58;46
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;LP;PORTO ALEGRE;EMEF PROF ANISIO TEIXEIRA; 21912411500001004;43;24;23;96;72;19%;10%;71%;79;71;62;67;64;50;67;81;81;67;62
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;LP;PORTO ALEGRE;EMEF PROF ANISIO TEIXEIRA; 21912411500001005;44;25;24;96;67;23%;18%;59%;75;64;70;80;59;48;68;77;66;57;45
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;LP;PORTO ALEGRE;EMEF PROF GILBERTO JORGE GONCALVES DA SILVA; 21912411500001029;41;21;21;100;68;11%;32%;58%;82;63;58;79;68;45;63;82;63;58;45
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;LP;PORTO ALEGRE;EMEF PROF JUDITH MACEDO DE ARAUJO; 21912411500001045;41;29;28;97;65;26%;19%;56%;69;61;69;72;57;59;57;76;67;61;59
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;LP;PORTO ALEGRE;EMEF PROF JUDITH MACEDO DE ARAUJO; 21912411500001046;42;21;20;95;55;35%;25%;40%;60;58;53;70;60;50;50;78;58;55;45
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;LP;PORTO ALEGRE;EMEF PROF JUDITH MACEDO DE ARAUJO; 21912411500001047;43;26;25;96;59;25%;29%;46%;71;58;48;69;56;56;58;77;63;54;58
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;LP;PORTO ALEGRE;EMEF PROF LARRY JOSE RIBEIRO ALVES; 21912411500001074;41;28;26;93;47;31%;42%;27%;62;58;52;52;27;48;52;69;50;52;46
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;LP;PORTO ALEGRE;EMEF PROF LARRY JOSE RIBEIRO ALVES; 21912411500001075;42;26;21;81;83;10%;19%;71%;81;74;69;79;83;60;71;86;71;83;69
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;LP;PORTO ALEGRE;EMEF PROF LARRY JOSE RIBEIRO ALVES; 21912411500001076;43;22;18;82;70;6%;33%;61%;69;69;58;72;67;72;81;75;56;50;47
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;LP;PORTO ALEGRE;EMEF PROF LARRY JOSE RIBEIRO ALVES; 21912411500001077;44;25;24;96;50;32%;36%;32%;57;61;43;55;52;50;55;77;55;55;41
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;LP;PORTO ALEGRE;EMEF RINCAO; 21912411500001099;41;25;23;92;77;10%;19%;71%;83;79;74;81;69;60;67;79;64;69;62
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;LP;PORTO ALEGRE;EMEF RINCAO; 21912411500001100;42;24;19;79;45;24%;59%;18%;59;59;59;41;59;41;47;59;47;53;35
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;LP;PORTO ALEGRE;EMEF SAINT HILAIRE; 21912411500001122;41;24;20;83;77;10%;20%;70%;90;65;65;75;58;68;65;83;65;63;58
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;LP;PORTO ALEGRE;EMEF SAINT HILAIRE; 21912411500001123;42;23;17;74;39;38%;38%;25%;47;57;41;63;34;30;40;69;38;43;53
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;LP;PORTO ALEGRE;EMEF SAINT HILAIRE; 21912411500001124;43;26;22;85;43;43%;29%;29%;48;45;60;50;55;55;50;52;55;48;40
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;LP;PORTO ALEGRE;EMEF SAINT HILAIRE; 21912411500001125;44;25;23;92;55;36%;14%;50%;70;60;52;64;48;45;48;73;45;69;52
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;LP;PORTO ALEGRE;EMEF SAO PEDRO; 21912411500001157;41;27;24;89;66;25%;21%;54%;73;67;42;75;65;56;58;83;67;54;54
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;LP;PORTO ALEGRE;EMEF SAO PEDRO; 21912411500001158;42;26;24;92;47;42%;25%;33%;56;58;46;58;54;52;35;69;58;50;52
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;LP;PORTO ALEGRE;EMEF SAO PEDRO; 21912411500001159;43;28;27;96;64;19%;30%;52%;67;67;57;76;59;54;63;78;72;57;56
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;LP;PORTO ALEGRE;EMEF SAO PEDRO; 21912411500001160;44;28;22;79;45;41%;36%;23%;57;57;50;58;45;45;33;52;55;58;50
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;LP;PORTO ALEGRE;EMEF SEN ALBERTO PASQUALINI; 21912411500001193;41;27;22;81;50;40%;20%;40%;58;50;50;55;45;50;48;70;55;47;43
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;LP;PORTO ALEGRE;EMEF SEN ALBERTO PASQUALINI; 21912411500001194;42;22;21;95;38;44%;39%;17%;61;50;31;68;36;44;24;61;44;44;41
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;LP;PORTO ALEGRE;EMEF SEN ALBERTO PASQUALINI; 21912411500001195;43;24;19;79;57;37%;11%;53%;66;76;66;74;47;53;42;63;66;55;53
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;LP;PORTO ALEGRE;EMEF SEN ALBERTO PASQUALINI; 21912411500001196;44;24;20;83;55;37%;21%;42%;63;59;56;68;56;47;42;66;53;56;42
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;LP;PORTO ALEGRE;EMEF SEN ALBERTO PASQUALINI; 21912411500001197;45;28;21;75;33;50%;30%;20%;45;48;28;40;45;48;40;48;45;38;53
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;LP;PORTO ALEGRE;EMEF TIMBAUVA; 21912411500001226;41;25;24;96;55;30%;26%;43%;59;65;67;67;63;54;46;72;54;41;50
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;LP;PORTO ALEGRE;EMEF TIMBAUVA; 21912411500001227;42;22;22;100;54;23%;45%;32%;66;68;52;64;50;45;45;80;59;61;43
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;LP;PORTO ALEGRE;EMEF TIMBAUVA; 21912411500001228;43;21;21;100;48;37%;32%;32%;63;55;50;53;39;58;39;79;42;45;37
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;LP;PORTO ALEGRE;EMEF VER ANTONIO GIUDICE; 21912411500001255;41;27;25;93;72;8%;29%;63%;77;79;54;79;54;60;56;88;63;63;75
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;LP;PORTO ALEGRE;EMEF VER ANTONIO GIUDICE; 21912411500001256;42;26;26;100;71;17%;21%;63%;75;69;71;79;73;60;63;73;67;67;73
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;LP;PORTO ALEGRE;EMEF VER ANTONIO GIUDICE; 21912411500001257;43;24;20;83;62;24%;24%;53%;82;71;44;65;65;50;65;79;59;59;44
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;LP;PORTO ALEGRE;EMEF VER CARLOS PESSOA DE BRUM; 21912411500001288;41;30;22;73;44;53%;5%;42%;53;53;55;56;34;56;45;50;47;39;50
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;LP;PORTO ALEGRE;EMEF VER CARLOS PESSOA DE BRUM; 21912411500001289;42;25;14;56;27;71%;7%;21%;54;43;43;31;50;27;15;57;36;46;46
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;LP;PORTO ALEGRE;EMEF VER CARLOS PESSOA DE BRUM; 21912411500001290;43;23;15;65;22;75%;8%;17%;33;46;25;58;29;50;42;38;29;25;33
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;LP;PORTO ALEGRE;EMEF VER CARLOS PESSOA DE BRUM; 21912411500001291;44;28;26;93;46;38%;33%;29%;54;52;52;57;46;39;45;65;54;59;45
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;LP;PORTO ALEGRE;EMEF VER MARTIM ARANHA; 21912411500001323;41;27;24;89;44;45%;23%;32%;55;52;45;62;57;48;45;50;50;50;50
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;LP;PORTO ALEGRE;EMEF VER MARTIM ARANHA; 21912411500001324;42;22;21;95;57;28%;28%;44%;53;56;53;64;50;64;53;75;50;53;61
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;LP;PORTO ALEGRE;EMEF VER MARTIM ARANHA; 21912411500001325;43;23;20;87;49;41%;18%;41%;65;44;41;56;59;53;32;68;56;62;41
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;LP;PORTO ALEGRE;EMEF VILA MONTE CRISTO; 21912411500001353;41;26;24;92;75;10%;30%;60%;80;73;70;70;83;63;68;85;70;70;68
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;LP;PORTO ALEGRE;EMEF VILA MONTE CRISTO; 21912411500001354;42;24;22;92;82;6%;17%;78%;83;81;64;86;67;58;69;94;81;81;78
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;LP;PORTO ALEGRE;EMEF VILA MONTE CRISTO; 21912411500001355;43;23;19;83;76;21%;14%;64%;79;82;75;64;71;71;68;82;68;68;50
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;LP;PORTO ALEGRE;EMEF VILA MONTE CRISTO; 21912411500001356;44;22;18;82;58;23%;31%;46%;69;58;69;50;65;42;54;73;69;54;50
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;LP;PORTO ALEGRE;EMEF WENCESLAU FONTOURA; 21912411500001388;41;27;26;96;41;48%;32%;20%;62;56;40;58;50;46;40;68;56;52;42
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;LP;PORTO ALEGRE;EMEF WENCESLAU FONTOURA; 21912411500001389;42;27;25;93;45;29%;46%;25%;65;50;33;50;48;61;50;65;48;50;50
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;LP;PORTO ALEGRE;EMEF WENCESLAU FONTOURA; 21912411500001390;43;26;25;96;45;33%;42%;25%;56;56;48;71;40;44;40;71;48;50;50
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;LP;PORTO ALEGRE;EMEF WENCESLAU FONTOURA; 21912411500001391;44;27;22;81;10;82%;14%;5%;32;32;34;30;32;23;24;34;18;25;20
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;LP;PORTO ALEGRE;EMEM EMILIO MEYER; 21912411500001421;41;26;22;85;35;55%;20%;25%;43;60;40;63;30;40;33;53;45;53;48
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;LP;PORTO ALEGRE;EMEM EMILIO MEYER; 21912411500001422;42;18;15;83;48;50%;8%;42%;75;67;58;58;58;42;38;58;58;50;46
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;LP;PORTO ALEGRE;EMEM EMILIO MEYER; 21912411500001423;43;23;23;100;48;41%;18%;41%;66;59;55;57;57;45;52;68;55;43;41
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;LP;PORTO ALEGRE;EMEM EMILIO MEYER; 21912411500001424;44;24;21;88;69;19%;29%;52%;79;74;62;76;62;69;55;76;69;74;43
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;LP;PORTO ALEGRE;ESC EST ENS FUN PROFESSORA LEOPOLDA BARNEWITZ; 21912411500001444;41;25;25;100;83;8%;20%;72%;88;74;66;84;88;76;92;82;76;78;70
