Avaliação;Rede;Ano Escolar;Componente Curricular;Município;Escola;Código da Turma;Turma;Previstos;Avaliados;Avaliados (%);Proficiência Média;Defasagem;Aprendizado intermediário;Aprendizado adequado;H 01 (%);H 02 (%);H 03 (%);H 04 (%);H 05 (%);H 06 (%);H 07 (%);H 08 (%);H 09 (%);H 10 (%);H 11 (%)
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;LP;PORTO ALEGRE;EMEF DEP VICTOR ISSLER; 21912411500000334;41;28;23;82;62;26%;26%;48%;74;70;57;72;54;57;50;67;61;54;52
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;LP;PORTO ALEGRE;EMEF DEP VICTOR ISSLER; 21912411500000335;42;27;27;100;75;4%;35%;62%;88;65;58;67;79;79;65;92;75;71;63
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;LP;PORTO ALEGRE;EMEF DEP VICTOR ISSLER; 21912411500000336;43;28;23;82;58;23%;36%;41%;68;66;43;61;59;52;50;73;66;66;43
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;LP;PORTO ALEGRE;EMEF DEP VICTOR ISSLER; 21912411500000337;44;28;25;89;42;52%;13%;35%;63;52;50;59;48;43;43;52;50;43;48
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;LP;PORTO ALEGRE;EMEF DEP VICTOR ISSLER; 21912411500000338;45;25;23;92;37;55%;18%;27%;57;50;43;43;48;34;36;64;50;45;45
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;LP;PORTO ALEGRE;EMEF DOLORES ALCARAZ CALDAS; 21912411500000376;41;28;25;89;66;20%;28%;52%;74;64;60;62;56;70;54;82;62;78;54
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;LP;PORTO ALEGRE;EMEF DOLORES ALCARAZ CALDAS; 21912411500000377;42;32;29;91;54;23%;46%;31%;65;58;63;67;50;50;52;73;62;46;48
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;LP;PORTO ALEGRE;EMEF DOLORES ALCARAZ CALDAS; 21912411500000378;43;31;30;97;41;41%;34%;24%;67;62;43;55;38;28;36;62;47;57;45
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;LP;PORTO ALEGRE;EMEF DOLORES ALCARAZ CALDAS; 21912411500000379;44;31;27;87;45;42%;23%;35%;60;56;38;46;46;50;52;67;48;44;42
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;LP;PORTO ALEGRE;EMEF DOLORES ALCARAZ CALDAS; 21912411500000380;45;30;29;97;56;27%;38%;35%;58;58;65;62;58;63;44;71;54;52;40
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;LP;PORTO ALEGRE;EMEF ESPIRITO SANTO; 21912411500001805;41;17;14;82;72;14%;29%;57%;71;75;64;82;50;71;57;82;68;54;57
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;LP;PORTO ALEGRE;EMEF EVARISTO GONCALVES NETTO; 21912411500001811;41;18;14;78;43;43%;29%;29%;54;57;39;50;43;32;31;75;61;57;46
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;LP;PORTO ALEGRE;EMEF EVARISTO GONCALVES NETTO; 21912411500001812;42;16;12;75;37;50%;25%;25%;46;42;40;59;41;40;45;42;38;42;45
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;LP;PORTO ALEGRE;EMEF GABRIEL OBINO; 21912411500000408;41;19;16;84;56;31%;19%;50%;50;59;56;66;59;59;59;72;56;66;50
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;LP;PORTO ALEGRE;EMEF GABRIEL OBINO; 21912411500000409;42;19;15;79;49;43%;14%;43%;50;64;71;36;50;29;43;54;61;61;43
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;LP;PORTO ALEGRE;EMEF GABRIEL OBINO; 21912411500000410;43;20;18;90;45;39%;39%;22%;47;62;47;58;53;35;47;72;58;69;53
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;LP;PORTO ALEGRE;EMEF GOV ILDO MENEGHETTI; 21912411500000434;41;28;21;75;54;35%;30%;35%;73;50;58;50;58;53;66;68;55;55;66
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;LP;PORTO ALEGRE;EMEF GOV ILDO MENEGHETTI; 21912411500000435;42;28;24;86;88;8%;0%;92%;88;58;56;88;81;83;65;83;83;77;71
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;LP;PORTO ALEGRE;EMEF GOV ILDO MENEGHETTI; 21912411500000436;43;26;22;85;60;32%;14%;55%;73;64;64;71;50;57;45;83;62;62;38
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;LP;PORTO ALEGRE;EMEF GOV ILDO MENEGHETTI; 21912411500000437;44;24;21;88;83;10%;10%;81%;74;76;76;86;74;79;64;83;83;71;76
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;LP;PORTO ALEGRE;EMEF GOV ILDO MENEGHETTI; 21912411500000438;45;27;25;93;37;48%;32%;20%;68;40;50;42;42;60;36;56;46;32;34
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;LP;PORTO ALEGRE;EMEF GRANDE ORIENTE DO RGS; 21912411500000471;41;25;20;80;38;53%;18%;29%;53;44;35;47;50;41;35;59;44;43;47
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;LP;PORTO ALEGRE;EMEF GRANDE ORIENTE DO RGS; 21912411500000472;42;28;20;71;43;45%;20%;35%;53;45;53;50;53;50;25;58;68;35;45
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;LP;PORTO ALEGRE;EMEF GRANDE ORIENTE DO RGS; 21912411500000473;43;26;23;88;31;55%;32%;14%;48;38;50;52;45;26;36;52;38;40;40
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;LP;PORTO ALEGRE;EMEF GRANDE ORIENTE DO RGS; 21912411500000474;44;23;22;96;34;50%;41%;9%;57;48;36;57;45;36;43;59;41;26;43
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;LP;PORTO ALEGRE;EMEF HEITOR VILLA LOBOS; 21912411500000502;41;28;28;100;42;41%;33%;26%;56;61;41;44;39;37;50;63;52;54;48
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;LP;PORTO ALEGRE;EMEF HEITOR VILLA LOBOS; 21912411500000503;42;30;29;97;51;39%;21%;39%;66;66;57;54;50;55;34;73;55;45;45
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;LP;PORTO ALEGRE;EMEF HEITOR VILLA LOBOS; 21912411500000504;43;23;22;96;49;35%;30%;35%;63;60;48;60;50;50;50;70;48;43;43
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;LP;PORTO ALEGRE;EMEF HEITOR VILLA LOBOS; 21912411500000505;44;22;18;82;45;43%;21%;36%;68;57;57;50;36;39;36;79;46;46;39
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;LP;PORTO ALEGRE;EMEF JEAN PIAGET; 21912411500000531;41;24;24;100;70;10%;43%;48%;76;67;74;71;55;74;48;83;76;60;55
