id_escola,codigo_inep,nome_canonico,assessora,ano_escolar,componente,numero_turmas_2025,numero_turmas_2026,previstos_2025,previstos_2026,avaliados_2025,avaliados_2026,taxa_participacao_2025,taxa_participacao_2026,proficiencia_media_2025,proficiencia_media_2026,pct_defasagem_2025,pct_defasagem_2026,pct_intermediario_2025,pct_intermediario_2026,pct_adequado_2025,pct_adequado_2026,presente_2025,presente_2026,painel_balanceado,resultado_disponivel_2025,resultado_disponivel_2026,painel_resultado_balanceado,delta_numero_turmas,delta_previstos,delta_avaliados,delta_participacao,delta_proficiencia,delta_pct_defasagem,delta_pct_intermediario,delta_pct_adequado,variacao_relativa_previstos,variacao_relativa_avaliados,participacao_minima_70_ambos,participacao_minima_80_ambos,participacao_minima_90_ambos,aumento_participacao_10pp,queda_participacao_10pp,mudanca_previstos_20pct,turma_escola_pequena_2025,turma_escola_pequena_2026,observacao_composicao,peso_medio_avaliados,participacao_70_ambos,participacao_80_ambos,participacao_estavel_5pp,previstos_estaveis_20pct,faixa_delta_participacao,ano_escolar_fator,delta_proficiencia_predita_observada,delta_proficiencia_predita_participacao_estavel
ESC_010,,EMEF DEP MARCIRIO GOULART LOUREIRO,marian,1,Língua Portuguesa,4,4,95,85,66,66,69.47368421052632,77.6470588235294,24,14.787878787878787,63.45454545454545,75.93939393939394,31.818181818181817,19.21212121212121,4.7272727272727275,4.545454545454546,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0,-10,0,8.17337461300309,-9.212121212121213,12.484848484848484,-12.606060606060606,-0.18181818181818168,-10.526315789473683,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Sem alerta principal de composição,66,FALSE,FALSE,FALSE,TRUE,Aumento entre 5 e 10 p.p.,1,-4.761786493820629,-7.491916573636693
ESC_011,,EMEF DEP VICTOR ISSLER,clarissa,1,Língua Portuguesa,5,5,116,102,90,86,77.58620689655173,84.31372549019608,51.82222222222222,39.7906976744186,27.933333333333337,40.72093023255814,35.37777777777778,38.18604651162791,36.48888888888889,21.302325581395348,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0,-14,-4,6.727518593644348,-12.03152454780362,12.787596899224804,2.8082687338501273,-15.18656330749354,-12.06896551724138,-4.444444444444445,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Sem alerta principal de composição,88,TRUE,FALSE,FALSE,TRUE,Aumento entre 5 e 10 p.p.,1,-19.867359758946865,-22.114534487217615
ESC_012,,EMEF DOLORES ALCARAZ CALDAS,jalize,1,Língua Portuguesa,6,6,142,142,94,106,66.19718309859155,74.64788732394366,40.17021276595744,24.28301886792453,46.97872340425532,62.4811320754717,28.70212765957447,31.433962264150946,24.329787234042552,6.443396226415095,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0,0,12,8.450704225352112,-15.887193898032915,15.50240867121638,2.7318346045764734,-17.88639100762746,0,12.76595744680851,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Sem alerta principal de composição,100,FALSE,FALSE,FALSE,TRUE,Aumento entre 5 e 10 p.p.,1,-18.032278000429642,-20.855043735962894
ESC_015,,EMEF GABRIEL OBINO,amanda,1,Língua Portuguesa,3,3,45,57,27,43,60,75.43859649122807,78.48148148148148,39.30232558139535,7.518518518518518,48.30232558139535,22.03703703703704,35.604651162790695,70.44444444444444,16.41860465116279,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0,12,16,15.438596491228068,-39.17915590008613,40.78380706287683,13.567614125753655,-54.02583979328165,26.666666666666668,59.25925925925926,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,Mudança relevante no público previsto e aumento de participação,35,FALSE,FALSE,FALSE,FALSE,Aumento de 10 p.p. ou mais,1,-46.26582042717414,-51.42273280016004
ESC_016,,EMEF GOV ILDO MENEGHETTI,clarissa,1,Língua Portuguesa,5,5,109,114,79,87,72.4770642201835,76.3157894736842,49.10126582278481,34.632183908045974,31.64556962025317,47.44827586206897,38.037974683544306,37.12643678160919,30.20253164556962,15.839080459770114,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0,5,8,3.838725253500712,-14.469081914738837,15.802706241815802,-0.9115379019351124,-14.363451185799509,4.587155963302752,10.126582278481013,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Sem alerta principal de composição,83,TRUE,FALSE,TRUE,TRUE,Variação entre -5 e 5 p.p.,1,-21.6646947705394,-22.94693372066152
ESC_017,,EMEF GRANDE ORIENTE DO RGS,andreia,1,Língua Portuguesa,4,4,85,82,51,65,60,79.26829268292683,74.62745098039215,19.123076923076923,9.941176470588236,77.3076923076923,23.49019607843137,17.246153846153845,66.62745098039215,5.676923076923077,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0,-3,14,19.268292682926827,-55.50437405731523,67.36651583710407,-6.2440422322775255,-60.95052790346908,-3.5294117647058822,27.45098039215686,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Aumento de participação igual ou superior a 10 p.p.,58,FALSE,FALSE,FALSE,TRUE,Aumento de 10 p.p. ou mais,1,-43.29291616495434,-49.7290515351194
ESC_018,,EMEF HEITOR VILLA LOBOS,jalize,1,Língua Portuguesa,3,3,68,69,48,59,70.58823529411765,85.5072463768116,78.83333333333333,7.338983050847458,4.354166666666667,88.79661016949153,24.958333333333332,9.3389830508474585,71.08333333333333,1.8644067796610169,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0,1,11,14.919011082693942,-71.49435028248587,84.44244350282486,-15.619350282485874,-69.21892655367232,1.4705882352941178,22.916666666666668,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Aumento de participação igual ou superior a 10 p.p.,53.5,TRUE,FALSE,FALSE,TRUE,Aumento de 10 p.p. ou mais,1,-40.600953045402235,-45.58430971832078
ESC_019,,EMEF JEAN PIAGET,clarissa,1,Língua Portuguesa,3,5,61,109,51,90,83.60655737704919,82.56880733944953,72.92156862745098,36.84444444444444,23.62745098039216,45.13333333333333,1.8823529411764703,37.18888888888889,74.49019607843137,17.866666666666667,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,2,48,39,-1.0377500375996505,-36.07712418300654,21.505882352941175,35.30653594771242,-56.6235294117647,78.68852459016394,76.47058823529412,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Mudança relevante no número de estudantes previstos,70.5,TRUE,TRUE,TRUE,FALSE,Variação entre -5 e 5 p.p.,1,-30.394920140079122,-30.048283319043932
ESC_020,,EMEF JOAO ANTONIO SATTE,eliane,1,Língua Portuguesa,3,5,61,114,45,92,73.77049180327869,80.70175438596492,72.71111111111111,40.28260869565217,9.133333333333333,49.65217391304348,24.35555555555555,22.304347826086957,66.5111111111111,28.217391304347824,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,2,53,47,6.93126258268623,-32.42850241545894,40.518840579710144,-2.0512077294685973,-38.29371980676328,86.88524590163935,104.44444444444444,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Mudança relevante no número de estudantes previstos,68.5,TRUE,FALSE,FALSE,FALSE,Aumento entre 5 e 10 p.p.,1,-33.77650794250712,-36.09173872098998
ESC_021,,EMEF JOAO CARLOS DAVILA PAIXAO CORTES - LACADOR,julia,1,Língua Portuguesa,1,2,19,41,12,36,63.1578947368421,87.8048780487805,69,46,8,31.5,33,52,58,17,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,22,24,24.646983311938392,-23,23.5,19,-41,115.78947368421052,200,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,Mudança relevante no público previsto e aumento de participação,24,FALSE,FALSE,FALSE,FALSE,Aumento de 10 p.p. ou mais,1,-31.178074914848057,-39.41083967881669
