ano,periodo_programa,exposicao_programa,id_escola,codigo_inep,nome_canonico,assessora,ano_escolar,componente,avaliacao,numero_turmas,previstos,avaliados,proficiencia_min_turma,proficiencia_max_turma,desvio_proficiencia_entre_turmas,cv_proficiencia_entre_turmas,menor_participacao_turma,maior_participacao_turma,taxa_participacao,proficiencia_media,pct_defasagem,pct_intermediario,pct_adequado,soma_niveis_aprendizagem,diferenca_soma_100,participacao_70,participacao_80,participacao_90,presente_2025,presente_2026,painel_balanceado
2026,pos_inicio_programa,1,ESC_002,,EMEB DR LIBERATO SALZANO VIEIRA DA CUNHA,clarissa,3,Língua Portuguesa,1ª Avaliação Formativa,4,98,82,24,58,14.080127840328723,32.935971556324496,70.83333333333333,100,83.6734693877551,43.74390243902439,36.48780487804878,34.28048780487805,28.914634146341463,99.6829268292683,0.31707317073170316,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
2025,linha_base_pre_programa,0,ESC_002,,EMEB DR LIBERATO SALZANO VIEIRA DA CUNHA,clarissa,4,Língua Portuguesa,1ª Avaliação Formativa,4,99,80,9,82,32.64965543462902,57.280097253735114,72,92,80.8080808080808,56.5875,36.2875,16.225,47.775,100.2875,0.2874999999999943,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
2026,pos_inicio_programa,1,ESC_002,,EMEB DR LIBERATO SALZANO VIEIRA DA CUNHA,clarissa,4,Língua Portuguesa,1ª Avaliação Formativa,4,92,81,41,65,11.026483271348727,19.260232788382055,81.81818181818181,100,88.04347826086956,57.44444444444444,31.061728395061728,22.506172839506174,46.135802469135804,99.7037037037037,0.2962962962963047,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
2025,linha_base_pre_programa,0,ESC_002,,EMEB DR LIBERATO SALZANO VIEIRA DA CUNHA,clarissa,5,Língua Portuguesa,1ª Avaliação Formativa,4,82,62,32,76,21.11081871142535,33.24538379752023,70,82.6086956521739,75.60975609756098,64.30645161290323,19.387096774193548,22.532258064516128,57.854838709677416,99.7741935483871,0.2258064516128968,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
2026,pos_inicio_programa,1,ESC_002,,EMEB DR LIBERATO SALZANO VIEIRA DA CUNHA,clarissa,5,Língua Portuguesa,1ª Avaliação Formativa,4,99,90,38,77,16.132265804901678,27.227452835277095,86.95652173913044,96.42857142857144,90.9090909090909,60.71111111111111,27.38888888888889,23.755555555555556,49.08888888888889,100.23333333333333,0.23333333333333428,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2025,linha_base_pre_programa,0,ESC_003,,EMEF AFONSO GUERREIRO LIMA,graziela,1,Língua Portuguesa,1ª Avaliação Formativa,4,87,64,35,79,21.2602916254693,40.885176202825576,59.09090909090909,86.36363636363636,73.5632183908046,52.9375,28,30.96875,40.828125,99.796875,0.203125,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
2026,pos_inicio_programa,1,ESC_003,,EMEF AFONSO GUERREIRO LIMA,graziela,1,Língua Portuguesa,1ª Avaliação Formativa,4,94,77,7,22,6.137317546507322,42.32632790694705,78.26086956521739,84,81.91489361702128,14.480519480519481,81.6103896103896,14.155844155844155,4.48051948051948,100.24675324675323,0.2467532467532294,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
2025,linha_base_pre_programa,0,ESC_003,,EMEF AFONSO GUERREIRO LIMA,graziela,2,Língua Portuguesa,1ª Avaliação Formativa,4,97,74,62,74,5.477225575051661,7.824607964359516,70.83333333333333,84,76.28865979381443,70.14864864864865,18.93243243243243,25.58108108108108,55.472972972972975,99.98648648648648,0.013513513513515818,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
2026,pos_inicio_programa,1,ESC_003,,EMEF AFONSO GUERREIRO LIMA,graziela,2,Língua Portuguesa,1ª Avaliação Formativa,4,81,73,32,59,12.816005617976296,26.56166967456227,82.6086956521739,100,90.12345679012346,47.83561643835616,39.917808219178085,27,33.082191780821915,100,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2025,linha_base_pre_programa,0,ESC_003,,EMEF AFONSO GUERREIRO LIMA,graziela,3,Língua Portuguesa,1ª Avaliação Formativa,5,121,97,34,72,14.24078649513432,26.66813950399685,70.83333333333333,91.30434782608695,80.16528925619835,53.28865979381443,34.75257731958763,29.938144329896907,34.91752577319588,99.60824742268042,0.39175257731957913,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
