ano_escolar,componente,numero_escolas_2025,numero_escolas_2026,numero_turmas_2025,numero_turmas_2026,previstos_2025,previstos_2026,avaliados_2025,avaliados_2026,taxa_participacao_2025,taxa_participacao_2026,proficiencia_media_2025,proficiencia_media_2026,pct_defasagem_2025,pct_defasagem_2026,pct_intermediario_2025,pct_intermediario_2026,pct_adequado_2025,pct_adequado_2026,delta_participacao,delta_proficiencia,delta_pct_defasagem,delta_pct_intermediario,delta_pct_adequado
1,Língua Portuguesa,54,56,175,190,3711,3926,2705,3198,72.89140393424952,81.45695364238411,55.971903881700555,31.944340212632895,29.90536044362292,56.21263289555972,25.53086876155268,27.62539086929331,44.597042513863215,16.316135084427767,8.565549708134583,-24.02756366906766,26.3072724519368,2.09452210774063,-28.280907429435448
2,Língua Portuguesa,54,55,171,170,3937,3691,3024,3149,76.80975361950723,85.31563261988622,58.08465608465608,52.305811368688474,30.672949735449734,34.18450301683074,27.305886243386244,29.810098443950462,42.074074074074076,36.04922197523023,8.505879000378982,-5.778844715967608,3.511553281381005,2.5042122005642184,-6.024852098843844
3,Língua Portuguesa,54,55,185,181,4502,4390,3450,3688,76.63260772989783,84.00911161731207,52.498260869565215,48.409978308026034,35.07826086956522,35.54338394793926,28.88231884057971,27.12472885032538,36.09101449275362,37.373373101952275,7.376503887414245,-4.088282561539181,0.46512307837404165,-1.7575899902543313,1.2823586091986527
4,Língua Portuguesa,54,55,175,176,4321,4219,3454,3719,79.93520018514232,88.14885043849253,59.65634047481181,53.580801290669534,27.927620150550087,33.16886259747244,26.26577880718008,25.98736219413821,45.86508396062536,40.939230976068835,8.21365025335021,-6.075539184142279,5.241242446922353,-0.2784166130418697,-4.925852984556528
5,Língua Portuguesa,53,55,164,168,4046,4095,3268,3632,80.77113198220465,88.69352869352869,61.99296205630355,59.85958149779736,23.25091799265606,22.332048458149778,25.59547123623011,36.842235682819386,51.21481028151775,40.84471365638767,7.9223967113240406,-2.1333805585061896,-0.9188695345062818,11.246764446589275,-10.370096625130081
