ano,periodo_programa,exposicao_programa,id_escola,codigo_inep,nome_canonico,nome_escola_caed,assessora,ano_escolar,componente,avaliacao,codigo_turma,turma,Estado,Regional,Município,arquivo_origem,previstos,avaliados,taxa_participacao_caed,proficiencia_media,pct_defasagem,pct_intermediario,pct_adequado,nome_sem_codigo,chave_nome_caed,taxa_participacao_calculada,possivel_municipalizacao_recente,status_rede_2025
2025,linha_base_pre_programa,0,ESC_020,,EMEF JOAO ANTONIO SATTE,EMEF JOAO ANTONIO SATTE,eliane,3,Língua Portuguesa,1ª Avaliação Formativa, 21192411500000821,32,RIO GRANDE DO SUL,PORTO ALEGRE,PORTO ALEGRE,2025_1av_form_HABILIDADES_DESEMPENHO_TURMA_03anos_LP.csv,24,14,58,50,43,21,36,EMEF JOAO ANTONIO SATTE,EMEF JOAO ANTONIO SATTE,58.333333333333336,FALSE,
2025,linha_base_pre_programa,0,ESC_020,,EMEF JOAO ANTONIO SATTE,EMEF JOAO ANTONIO SATTE,eliane,3,Língua Portuguesa,1ª Avaliação Formativa, 21192411500000822,33,RIO GRANDE DO SUL,PORTO ALEGRE,PORTO ALEGRE,2025_1av_form_HABILIDADES_DESEMPENHO_TURMA_03anos_LP.csv,25,16,64,56,44,13,44,EMEF JOAO ANTONIO SATTE,EMEF JOAO ANTONIO SATTE,64,FALSE,
2025,linha_base_pre_programa,0,ESC_020,,EMEF JOAO ANTONIO SATTE,EMEF JOAO ANTONIO SATTE,eliane,3,Língua Portuguesa,1ª Avaliação Formativa, 21192411500000823,34,RIO GRANDE DO SUL,PORTO ALEGRE,PORTO ALEGRE,2025_1av_form_HABILIDADES_DESEMPENHO_TURMA_03anos_LP.csv,27,21,78,78,14,10,76,EMEF JOAO ANTONIO SATTE,EMEF JOAO ANTONIO SATTE,77.77777777777777,FALSE,
2025,linha_base_pre_programa,0,ESC_011,,EMEF DEP VICTOR ISSLER,EMEF DEP VICTOR ISSLER,clarissa,3,Língua Portuguesa,1ª Avaliação Formativa, 21192411500000857,31,RIO GRANDE DO SUL,PORTO ALEGRE,PORTO ALEGRE,2025_1av_form_HABILIDADES_DESEMPENHO_TURMA_03anos_LP.csv,25,20,80,70,20,25,55,EMEF DEP VICTOR ISSLER,EMEF DEP VICTOR ISSLER,80,FALSE,
2025,linha_base_pre_programa,0,ESC_011,,EMEF DEP VICTOR ISSLER,EMEF DEP VICTOR ISSLER,clarissa,3,Língua Portuguesa,1ª Avaliação Formativa, 21192411500000858,32,RIO GRANDE DO SUL,PORTO ALEGRE,PORTO ALEGRE,2025_1av_form_HABILIDADES_DESEMPENHO_TURMA_03anos_LP.csv,27,23,85,62,26,22,52,EMEF DEP VICTOR ISSLER,EMEF DEP VICTOR ISSLER,85.18518518518519,FALSE,
2025,linha_base_pre_programa,0,ESC_011,,EMEF DEP VICTOR ISSLER,EMEF DEP VICTOR ISSLER,clarissa,3,Língua Portuguesa,1ª Avaliação Formativa, 21192411500000859,33,RIO GRANDE DO SUL,PORTO ALEGRE,PORTO ALEGRE,2025_1av_form_HABILIDADES_DESEMPENHO_TURMA_03anos_LP.csv,26,22,85,47,45,23,32,EMEF DEP VICTOR ISSLER,EMEF DEP VICTOR ISSLER,84.61538461538461,FALSE,
2025,linha_base_pre_programa,0,ESC_011,,EMEF DEP VICTOR ISSLER,EMEF DEP VICTOR ISSLER,clarissa,3,Língua Portuguesa,1ª Avaliação Formativa, 21192411500000860,34,RIO GRANDE DO SUL,PORTO ALEGRE,PORTO ALEGRE,2025_1av_form_HABILIDADES_DESEMPENHO_TURMA_03anos_LP.csv,26,22,85,43,50,23,27,EMEF DEP VICTOR ISSLER,EMEF DEP VICTOR ISSLER,84.61538461538461,FALSE,
2025,linha_base_pre_programa,0,ESC_011,,EMEF DEP VICTOR ISSLER,EMEF DEP VICTOR ISSLER,clarissa,3,Língua Portuguesa,1ª Avaliação Formativa, 21192411500000861,35,RIO GRANDE DO SUL,PORTO ALEGRE,PORTO ALEGRE,2025_1av_form_HABILIDADES_DESEMPENHO_TURMA_03anos_LP.csv,26,23,88,60,22,43,35,EMEF DEP VICTOR ISSLER,EMEF DEP VICTOR ISSLER,88.46153846153847,FALSE,
2025,linha_base_pre_programa,0,ESC_011,,EMEF DEP VICTOR ISSLER,EMEF DEP VICTOR ISSLER,clarissa,3,Língua Portuguesa,1ª Avaliação Formativa, 21192411500000862,36,RIO GRANDE DO SUL,PORTO ALEGRE,PORTO ALEGRE,2025_1av_form_HABILIDADES_DESEMPENHO_TURMA_03anos_LP.csv,27,23,85,52,30,35,35,EMEF DEP VICTOR ISSLER,EMEF DEP VICTOR ISSLER,85.18518518518519,FALSE,
2025,linha_base_pre_programa,0,ESC_015,,EMEF GABRIEL OBINO,EMEF GABRIEL OBINO,amanda,3,Língua Portuguesa,1ª Avaliação Formativa, 21192411500000892,31,RIO GRANDE DO SUL,PORTO ALEGRE,PORTO ALEGRE,2025_1av_form_HABILIDADES_DESEMPENHO_TURMA_03anos_LP.csv,25,21,84,42,48,29,24,EMEF GABRIEL OBINO,EMEF GABRIEL OBINO,84,FALSE,
