numero_series_comparaveis,painel_completo_cinco_series,numero_escolas,percentual_escolas
5,TRUE,52,92.85714285714286
4,FALSE,1,1.7857142857142858
1,FALSE,1,1.7857142857142858
0,FALSE,2,3.5714285714285716
