id_escola,codigo_inep,nome_canonico,assessora_vinculo_administrativo,assessora_gerencial_2026,elegivel_assessoramento_2026,recebe_assessoramento_2026,incluir_indice_carga_2026,status_carga_operacional_2026,grupo_exposicao_2026,incluida_analise_operacional,motivo_nao_inclusao,nota_institucional
ESC_001,43105416,EEF PEQUENA CASA DA CRIANCA,outras,,FALSE,FALSE,FALSE,ZERO_OU_TENDENTE_A_ZERO,NAO_EXPOSTA_INELEGIVEL,FALSE,Não elegível ao universo operacional homologado; fora da carga de assessoramento.,"Escola preservada no universo institucional de 56 escolas, mas excluída das carteiras operacionais."
ESC_055,43105300,ESCOLA DE ENSINO FUNDAMENTAL MADRE RAFFO,outras,,FALSE,FALSE,FALSE,ZERO_OU_TENDENTE_A_ZERO,NAO_EXPOSTA_INELEGIVEL,FALSE,Não elegível ao universo operacional homologado; fora da carga de assessoramento.,"Escola preservada no universo institucional de 56 escolas, mas excluída das carteiras operacionais."
ESC_056,43189768,EEF ALDEIA LUMIAR,Sem vinculação informada,,FALSE,FALSE,FALSE,ZERO_OU_TENDENTE_A_ZERO,NAO_EXPOSTA_INELEGIVEL,FALSE,Não elegível ao universo operacional homologado; fora da carga de assessoramento.,"Escola preservada no universo institucional de 56 escolas, mas excluída das carteiras operacionais."
